id	dataset	scenario	circumstance_type	circumstance	aspect1	aspect1_score	aspect1_expl	aspect2	aspect2_score	aspect2_expl	aspect3	aspect3_score	aspect3_expl	aspect4	aspect4_score	aspect4_expl	aspect5	aspect5_score	aspect5_expl	aspect6	aspect6_score	aspect6_expl	moral_score	moral_expl	human_score
294	Effron	Hit a car and left the scene of the accident	orig		Respect for human life and well-being	2	Leaving the scene may worsen the victim's condition.	Honesty and transparency	0	Fleeing the scene is a dishonest and secretive act.	Accountability and responsibility	0	The perpetrator avoids taking responsibility for their actions.	Fairness and justice	1	The victim is left to deal with the consequences alone.	Compassion and empathy	0	The perpetrator shows no concern for the victim's welfare.	Rule of law and social norms	0	Leaving the scene is illegal and violates social norms.	-3	The scenario is highly immoral due to the perpetrator's reckless disregard for human life and well-being.	-3.576
295	Effron	Comforted a man whose wife had recently died	orig		Respect for autonomy	10	The man's autonomy is respected as he is comforted voluntarily.	Non-maleficence	10	Comforting the man does not cause harm to him or others.	Beneficence	10	Comforting the man provides emotional support and benefits his well-being.	Justice	9	The comforting action does not violate any principles of justice or fairness.	Honesty	10	The comforting action is genuine and honest, without any deceit.	Care	10	The comforting action demonstrates care and empathy for the man's emotional state.	4	The scenario is highly moral as it involves respecting autonomy, doing good, and showing care and empathy.	2.7428572
296	Mickelberg	Person X regularly sings at a prison in order to entertain the inmates.	orig		Respect for human dignity	9	Inmates are treated with dignity and respect through entertainment.	Harm or benefit to others	8	Inmates are benefited by the entertainment and potential emotional uplift.	Autonomy and free will	8	Inmates have the freedom to choose to attend or not attend the performance.	Fairness and justice	9	Inmates are not being unfairly treated or punished through the performance.	Care and compassion	9	Person X shows care and compassion by volunteering to entertain inmates.	Integrity and honesty	10	Person X is not deceiving or manipulating the inmates through their performance.	4	The scenario is highly moral due to the positive impact on inmates and the respectful treatment.	2.26
297	Clifford	You see a man lashing his pony with a whip for breaking loose from its pen.	orig		Intent behind the action	2	The man's intent is to punish and discipline the pony.	Well-being of the pony	0	The pony is being physically harmed and distressed.	Necessity of the action	4	There may be alternative, non-violent ways to address the situation.	Respect for animal autonomy	1	The pony's freedom and autonomy are being disregarded.	Consequences for the pony's future	1	The pony may develop fear and mistrust towards humans.	Alternative solutions explored	3	It's unclear if the man considered other solutions before resorting to whipping.	-3	The scenario is morally unacceptable due to the physical harm and distress caused to the pony.	-2.9
298	Kruepke	When I was a kid, my father owned and operated movie theaters and we owned a large projector. One time when I was in grammar school, I decided to steal a film that I liked. So I stole the film and brought it home to watch.	orig		Respect for property	0	The film was stolen, showing disrespect for the owner's property.	Honesty	0	The scenario involves theft, which is a dishonest act.	Consequences	2	The theft may have caused financial loss to the film's owner or distributor.	Motivation	6	The motivation was personal entertainment, not malicious intent.	Autonomy	4	The child made a decision without considering others' rights.	Fairness	1	The child's actions were unfair to the film's owner and others involved.	-2	The scenario is morally unacceptable due to the theft and disrespect for property.	-1.6
299	Clifford	You see a man loudly telling his wife that the dinner she cooked tastes awful.	orig		Respect for others' feelings	2	The man's loud criticism hurts his wife's feelings.	Honesty	6	The man is honest about his opinion, but lacks tact.	Empathy	1	The man shows no understanding of his wife's effort and emotions.	Kindness	1	The man's words are unkind and hurtful.	Communication style	2	The man's loud and critical tone is aggressive.	Gratitude	1	The man shows no appreciation for his wife's effort.	-3	The scenario is morally unacceptable due to the man's hurtful behavior.	-2.4
300	Clifford	You see a woman burping and farting loudly while eating at a fast food truck.	orig		Respect for others	2	Disrupting others' dining experience with loud bodily functions.	Self-control	3	Lack of effort to contain natural bodily functions.	Hygiene	4	Potential spread of bacteria and unpleasant odors.	Social norms	1	Violating common etiquette and social expectations.	Intentionality	5	Unclear if the woman is intentionally being disruptive.	Harm caused	6	No direct harm, but discomfort and annoyance to others.	-2	The scenario is generally considered impolite and inconsiderate.	-2.1
301	Cook	Someone makes a post on Twitter making fun of police ofcers	orig		Respect for authority	2	Making fun of police officers shows disrespect for their authority.	Harm caused to individuals	6	The post may cause emotional distress to police officers and their families.	Freedom of speech	8	The person has the right to express their opinion, even if it's offensive.	Intent behind the action	3	The intent is to mock and belittle, rather than to educate or raise awareness.	Contribution to public discourse	1	The post does not contribute to a meaningful discussion or raise important issues.	Empathy and compassion	2	The post lacks empathy and compassion for the police officers and their role in society.	-2	The scenario is morally questionable due to the disrespect and potential harm caused.	-1.59
302	Mickelberg	Person X hosted a fundraising dinner to raise money for a local homeless shelter.	orig		Intention	10	Person X's intention is to help the homeless, a noble cause.	Consequences	10	The dinner raises money for the homeless shelter, a positive outcome.	Respect for autonomy	9	Guests are free to choose whether to attend and donate.	Fairness	9	The event benefits a vulnerable group, promoting fairness and equality.	Honesty	8	Assuming transparency in the event's organization and finances.	Care for others	10	The event demonstrates care and compassion for the homeless.	4	The scenario is highly moral due to its positive consequences and noble intention.	3.24
303	Mickelberg	Person X sneezed loudly in an important meeting.	orig		Respect for others	2	Disrupting the meeting with a loud sneeze shows lack of consideration.	Intentionality	8	Sneezing is an involuntary action, not intentional disruption.	Harm caused	6	Momentary distraction, no lasting harm or damage.	Context	5	Important meeting, but not a critical or emergency situation.	Apology or remorse	0	Not applicable, as no explicit apology or remorse shown.	Prevention	4	Could have taken precautions, like excusing oneself or having tissues ready.	0	While disruptive, the sneeze was unintentional and caused minimal harm.	-0.11
304	Mickelberg	Person X translated the menu items for a foreigner in a restaurant.	orig		Respect for autonomy	8	Person X respects the foreigner's autonomy by helping them make an informed decision.	Honesty	9	Person X is honest in translating the menu items accurately.	Kindness	9	Person X shows kindness by taking the time to help the foreigner.	Fairness	8	Person X treats the foreigner fairly by providing equal access to information.	Non-maleficence	10	Person X does not harm the foreigner by providing incorrect information.	Justice	8	Person X promotes justice by bridging the language gap and ensuring equal access to resources.	4	The scenario is highly moral due to Person X's kindness, honesty, and respect for autonomy.	2.54
305	Clifford	You see a student stating that her professor is a fool during an afternoon class.	orig		Respect for authority	2	Student shows disrespect towards professor	Truthfulness	4	Student's statement may not be based on facts	Kindness	1	Student's words can be hurtful to professor	Fairness	3	Student's opinion may not be representative of professor's abilities	Empathy	2	Student lacks understanding of professor's feelings	Context	1	Classroom setting may not be appropriate for criticism	-2	Student's behavior is disrespectful and unkind	-2
306	Mickelberg	Person X drove an hour out of their way to pick up a friend and drive him to work because his car had broken down.	orig		Intention	10	Person X's intention is to help a friend in need.	Consequences	9	The friend is able to get to work, avoiding negative consequences.	Respect for autonomy	8	Person X respects the friend's autonomy by helping them.	Fairness	8	Person X goes out of their way to help, showing fairness to the friend.	Care for others	10	Person X shows care and concern for the friend's well-being.	Personal sacrifice	9	Person X sacrifices their time and effort to help the friend.	4	The scenario is highly moral due to Person X's selfless act of kindness.	3.08
307	Effron	Helped a man in a wheelchair cross a busy intersection	orig		Respect for autonomy	8	The man in the wheelchair was likely grateful for the help.	Beneficence	9	The action helped the man in need, promoting his well-being.	Non-maleficence	10	The action did not harm anyone, including the man in the wheelchair.	Justice	8	The action promoted fairness and equality for the man with a disability.	Care and compassion	9	The action demonstrated empathy and kindness towards the man in need.	Integrity	9	The action was consistent with moral principles and values.	4	The scenario is highly moral due to its positive impact on the man's well-being.	3.16279064
308	Effron	Volunteered to stay late to help a coworker	orig		Respect for others	9	Helping a coworker in need shows respect for their time and well-being.	Fairness	8	Staying late to help a coworker promotes fairness in workload distribution.	Compassion	10	Volunteering to help a coworker demonstrates empathy and kindness.	Personal sacrifice	7	Staying late may require personal sacrifice, such as giving up free time.	Integrity	9	Following through on a commitment to help a coworker shows integrity.	Consequences	8	Helping a coworker may lead to positive consequences, such as improved relationships.	4	This scenario is highly moral due to the demonstration of respect, fairness, compassion, and integrity.	2.23529416
309	Mickelberg	Person X walked into the street without checking for oncoming traffic.	orig		Intention	8	No malicious intent to harm others or oneself.	Harm caused	2	Potential harm to oneself and others (e.g., drivers, passengers).	Respect for rules	1	Disregard for traffic rules and safety protocols.	Autonomy	6	Person X made a choice, but an uninformed one.	Consequences	3	Potential consequences are severe (injury, death, damage).	Alternative actions	9	Checking for traffic was a simple alternative action.	-2	The scenario is morally unacceptable due to reckless disregard for safety.	-0.72
310	Kruepke	I teach at a bible college where some of my students can't pay for their classes. So I covered them and told them that they could pay me later. I lied to the school and said that the students had given me the money.	orig		Honesty	0	Lying to the school about receiving payment is dishonest.	Fairness	6	Students are not being treated unfairly, but school is.	Compassion	9	Showing kindness to students in need by covering their fees.	Integrity	2	Lying to the school undermines personal and professional integrity.	Respect for authority	1	Deceiving the school administration shows disrespect.	Consequences	3	If discovered, consequences could be severe for all parties.	-2	While showing compassion, the dishonesty and disrespect outweigh the positive aspect.	0.77
311	Lotto	You own a shop which sells fireworks. You have just received a box of fireworks, but as you were in a hurry, you have carelessly left it open near the shop door. Five customers are waiting. Another customer enters the shop. Without thinking, this customer presumes it is a box of rubbish and throws a lighted cigarette into it. The box is about to explode.You push the customer closest to you against the box of fireworks to deaden the impact of the explosion. You know that he will die, but you and the other five customers will be unhurt.	orig		Intention to harm	8	The shop owner did not intend to harm the customer.	Proportionality of harm	6	One life is sacrificed to save five others.	Respect for human life	2	A human life is being used as a shield.	Autonomy of the victim	1	The customer had no choice in the matter.	Fairness and justice	3	The customer is being punished for another's mistake.	Alternative options	4	There may have been other ways to mitigate the explosion.	0	The scenario is morally complex, but the shop owner's action is not highly moral.	-1.58
312	Mickelberg	Person X arrived at the art exhibition early so they could view the collection before it got too busy.	orig		Respect for others	10	Person X doesn't disturb or harm others.	Honesty	10	No deception or dishonesty involved.	Fairness	9	Person X doesn't gain unfair advantage.	Compassion	10	No harm or suffering caused to others.	Responsibility	8	Person X takes initiative to view exhibition.	Integrity	9	Person X's actions align with their goals.	2	The scenario is morally neutral, with no harm or negative impact.	0.62
313	Kruepke	When I was younger, my brother and neighborhood friend and I went on a shoplifting spree. We took a lot of clothing. Then we got caught and we never stole again.	orig		Respect for the law	0	The scenario involves breaking the law by shoplifting.	Respect for others' property	0	The scenario involves taking others' property without permission.	Harm caused to others	2	The scenario may cause financial loss to the store owners.	Intentional harm or malice	8	There is no indication of intentional harm or malice.	Personal growth and learning	8	The scenario leads to a lesson learned and no further stealing.	Consequences for actions	9	The scenario involves getting caught and facing consequences.	-2	The scenario is immoral due to breaking the law and disrespecting others' property, but has some redeeming qualities.	-3.56
314	Lotto	You find yourself near a petrol pump and see the attendant fill up a car with four people on board. Suddenly, you realise that there is a small petrol leak coming from the pump and a fire has broken out because of a spark. It is about to spread quickly in the direction of the car.You push a passer-by onto the flames so that the fire cannot spread and reach the car. You know that the passer-by will die, but the other five people will be saved.	orig		Harm minimization	9	The action saves 5 lives, minimizing harm.	Respect for human life	2	One person is sacrificed, violating their right to life.	Autonomy and consent	0	The passer-by did not consent to being pushed onto the flames.	Intention and motivation	6	The intention is to save lives, but the method is questionable.	Fairness and justice	4	One person bears the cost of saving others, which may be unfair.	Alternative solutions	5	There may be other ways to put out the fire without harming anyone.	1	The scenario is morally complex, with both positive and negative aspects.	-1.5
315	Kruepke	A long time ago I helped organize an intervention for my dadÍ's alcoholism. My grandmother and I funded all of the members of the family to assemble together in one location. When my dad walked into the room he began to cry because he was so touched by our action.	orig		Respect for autonomy	7	Family members' autonomy was limited for a good cause.	Harm prevention	9	Intervention aimed to prevent harm from dad's alcoholism.	Care and compassion	10	Family showed care and compassion by organizing the intervention.	Honesty and transparency	8	Family was honest about their concerns and intentions.	Fairness and justice	8	Intervention was a fair response to dad's harmful behavior.	Consequences	9	Consequences of not intervening might have been severe.	4	The scenario is highly moral due to the care and compassion shown.	2.9
316	Kruepke	I used to lie a lot when I was a little girl. My mother left my father when I was a year old. So I used to say that I had a mother and a father, even though my mother and grandmother raised me.	orig		Honesty	0	Lying is a fundamental violation of honesty.	Motivation	6	The motivation was to cope with a difficult situation.	Harm caused	8	No direct harm was caused to others.	Age and maturity	9	The child was very young and still developing.	Context	8	The child was dealing with a traumatic family situation.	Intent	7	The intent was to feel more normal, not to deceive.	1	While lying is immoral, the context and motivation mitigate the moral judgment.	-0.5
317	Kruepke	I used to ride the bus everyday to work. One day I noticed a pregnant woman who did not have a seat. So I took her by the arm and helped her find a seat.	orig		Respect for autonomy	8	The pregnant woman's autonomy was respected as she was not forced to sit.	Harm prevention	9	Helping the pregnant woman sit prevented potential harm to her and her unborn child.	Kindness and empathy	10	The action showed kindness and empathy towards the pregnant woman's needs.	Informed consent	6	The pregnant woman may not have explicitly consented to being helped, but it was implied.	Fairness and justice	8	The action promoted fairness and justice by giving priority to a vulnerable individual.	Intention and motivation	9	The intention was to help and show kindness, not to gain personal benefit.	4	The scenario is highly moral due to the kind and empathetic action that prevented harm and promoted fairness.	2.89
318	Clifford	You see a politician using federal tax dollars to build an extension on his home.	orig		Fairness	0	Using public funds for personal gain is unfair to taxpayers.	Accountability	1	The politician is misusing power and funds without accountability.	Transparency	1	The politician is likely hiding the misuse of funds from the public.	Public Trust	0	The politician is betraying the trust of citizens who elected them.	Legal Compliance	0	Using federal tax dollars for personal gain is likely illegal.	Integrity	0	The politician is demonstrating a lack of integrity and moral character.	-4	The scenario is a clear abuse of power and public funds for personal gain.	-3.8
319	Kruepke	When my brother was about to marry my ex-sister-in-law, my entire family was against their decision. I approached my brother and asked him if he was sure he wanted to marry this girl. He got angry with me and said of course he did.	orig		Respect for autonomy	6	Brother's decision is respected, but family's concerns are dismissed.	Honesty and transparency	7	Brother is honest about his decision, but family's concerns are not heard.	Care and empathy	4	Family's concerns are not considered, but brother's feelings are prioritized.	Fairness and justice	3	Family's concerns are not addressed, potentially leading to unfair outcome.	Responsibility and accountability	5	Brother takes responsibility for his decision, but family's concerns are ignored.	Loyalty and fidelity	2	Brother prioritizes his own desires over family's concerns.	0	The scenario is morally neutral, as brother's autonomy is respected, but family's concerns are dismissed.	0.52
320	Lotto	You are at Pamplona with three colleagues and the Encierro has just finished, that is the running of the bulls through the streets of the city. While you are leaving, you realise that a bull has escaped from the corral and is heading towards you, attracted by your colleague’s red bag. You have your shoulders to a wall and there is no time to escape.You throw the red bag in the opposite direction. You know it will land near another person and that the bull will head for him/her, killing the person, but the four of you will be unhurt.	orig		Harm to innocent people	2	One person will be killed, while four others will be saved.	Intentional harm	1	The action is intended to divert the bull, causing harm to someone else.	Self-preservation	8	The action is taken to save the lives of the four colleagues.	Lack of alternative options	9	There is no time to escape, and no other way to divert the bull.	Proportionality of harm	6	One life is lost to save four others.	Moral agency	5	The decision is made by a human agent, not a random event.	1	The scenario is morally complex, but the action is justified by self-preservation and lack of alternative options.	-1.38
321	Kruepke	When I was in high school I used to sit next to this very cute boy named Paul. We were taking a history test and I just wasn't prepared for it. So I looked at a couple of Paul's answers.	orig		Honesty	0	Cheating on a test is a dishonest act.	Respect for others' work	2	Paul's work was used without permission.	Fairness	1	Cheating gives an unfair advantage.	Personal responsibility	3	Not taking responsibility for own preparation.	Academic integrity	1	Cheating undermines the value of education.	Consequences	4	Getting caught could lead to severe consequences.	-3	Cheating is a morally unacceptable behavior.	-2.04
322	Kruepke	I was working at a small advertising agency and the owner had his wife on the payroll. She rarely worked and I barely saw her. So, I was curious how much she was getting paid and looked through the record book.	orig		Respect for privacy	2	The scenario involves snooping into confidential records.	Trust in employer	3	The owner's actions may be perceived as unfair or dishonest.	Fairness in compensation	4	The wife's salary may be undeserved, creating unfairness.	Employee's curiosity	6	The employee's curiosity may be driven by a desire for fairness.	Loyalty to employer	1	The employee's actions may be seen as disloyal or untrustworthy.	Transparency in business	5	The scenario highlights a lack of transparency in business practices.	-2	The scenario is morally questionable due to the invasion of privacy and potential unfairness.	-1.21
323	Effron	Continually berated his wife in public	orig		Respect for others	0	Publicly berating someone shows a lack of respect for their dignity.	Harm caused	2	Berating can cause emotional distress and humiliation.	Intention	1	The intention is to belittle and dominate, not to educate or improve.	Fairness	1	The wife is not treated fairly or with equality in the relationship.	Empathy	0	The husband shows no empathy or understanding for his wife's feelings.	Social norms	0	Publicly berating someone is not socially acceptable behavior.	-3	The scenario is morally unacceptable due to the harm caused and lack of respect.	-2.856
324	Mickelberg	Person X regularly steals office supplies from their job because they feel they deserve it.	orig		Respect for others' property	0	Person X is taking office supplies without permission.	Fairness and justice	0	Person X is not entitled to take office supplies without permission.	Honesty and integrity	0	Person X is stealing and justifying it with a sense of entitlement.	Consequences for others	2	The company may suffer financially or others may be blamed.	Motivation and intention	0	Person X's motivation is self-serving and unjustified.	Context and circumstances	0	No exceptional circumstances justify Person X's actions.	-3	The scenario is morally unacceptable due to the violation of property rights and lack of integrity.	-2.01
325	Effron	Stole money and jewelry from the relatives he was living with	orig		Respect for others' property	0	Took money and jewelry without permission.	Honesty	0	Stole from relatives, showing dishonest behavior.	Trust	0	Betrayed trust of relatives by stealing from them.	Fairness	1	Took advantage of relatives' kindness and generosity.	Compassion	1	Caused emotional harm to relatives by stealing from them.	Self-control	2	Failed to resist temptation and made a harmful choice.	-4	The scenario shows a clear disregard for others' property and trust, making it highly immoral.	-3.408
326	Kruepke	When I was graduating from high school, I had a friend whom I wasn't really getting along with anymore. He was coming to see me when he got into a car accident. I chose that time at the hospital to tell him our friendship was over.	orig		Empathy	2	Lack of concern for friend's well-being after accident	Timing	1	Choosing a vulnerable moment to end friendship	Honesty	6	Being truthful about feelings, but insensitive	Respect	3	Disregard for friend's emotional state	Compassion	1	No attempt to comfort or support friend	Self-awareness	5	Recognizing own feelings, but not considering impact	-2	Insensitive and hurtful behavior, lacking empathy and compassion	-2.25
327	Kruepke	I cheated on my present boyfriend. I didn't understand why he did not want to get married. I felt like he didn’t want to get married because of me and because he didn’t want to be with me, so I thought it was okay to have an affair.	orig		Honesty	0	Cheating is a form of deception, violating trust and honesty.	Respect for partner's feelings	2	The affair was motivated by perceived rejection, but ignored partner's emotions.	Self-reflection and accountability	1	The cheater justified their actions, rather than taking responsibility.	Communication and conflict resolution	1	Instead of discussing concerns, the cheater acted on assumptions.	Loyalty and commitment	0	The affair betrayed the commitment and trust in the relationship.	Empathy and understanding	2	The cheater failed to consider their partner's perspective and feelings.	-3	The scenario involves deception, betrayal, and a lack of accountability, making it morally unacceptable.	-2.65
328	Clifford	You see a former US General saying publicly he would never buy any American product.	orig		Loyalty to Country	2	A former General publicly denouncing American products shows disloyalty.	Respect for Fellow Citizens	3	The General's statement may be perceived as disrespecting American workers and citizens.	Integrity and Honesty	5	The General's statement may be motivated by personal gain or bias, rather than honest concern.	Fairness and Impartiality	4	The General's blanket statement may be unfair to American companies and products.	Role Modeling	1	A former General's public statement may influence others and set a bad example.	Free Speech	8	The General has the right to express his opinion, even if it's unpopular.	-2	The scenario is morally questionable due to the General's disloyalty and potential disrespect.	-2.5
329	Mickelberg	Person X disappointed their boss when they were unable to attract any new customers.	orig		Intention	6	Person X may not have intended to disappoint their boss.	Harm caused	8	Disappointment may lead to negative consequences for Person X.	Respect for authority	4	Person X failed to meet their boss's expectations.	Personal responsibility	8	Person X is accountable for their actions.	Fairness	5	Person X's failure may not be entirely their fault.	Consequences for others	7	The company may suffer from lack of new customers.	0	The scenario is morally neutral, with both positive and negative aspects.	0.02
330	Effron	Provided books to a nursing home	orig		Respect for autonomy	8	Residents have freedom to choose what to read.	Beneficence	9	Books provide entertainment, education, and mental stimulation.	Non-maleficence	10	No harm is caused to residents or others.	Justice	8	Equal access to books for all residents.	Care and compassion	9	Showing concern for residents' well-being and happiness.	Integrity	10	No deceit or manipulation involved.	4	The scenario promotes residents' well-being and happiness.	2.425
331	Mickelberg	Person X brought in the groceries from the car and dropped one of the bags, which caused the eggs to break.	orig		Intention	10	Person X did not intend to break the eggs.	Harm caused	6	Eggs were broken, causing inconvenience and waste.	Negligence	4	Person X was careless when handling the bag.	Motivation	5	Person X was trying to bring in groceries, a neutral act.	Consequences for others	3	Others may be affected by the broken eggs (e.g., no eggs for meal).	Context	8	A common, everyday situation with no malicious context.	0	The scenario is morally neutral, with a careless action causing minor harm.	0.07
332	Grizzard	Captures instead of kills a child soldier.	orig		Respect for human life	8	Capturing instead of killing shows value for the child's life.	Protection of innocence	9	Child soldiers are often forced into combat, capturing protects their innocence.	Prevention of harm	9	Capturing prevents harm to the child and potentially others.	Fair treatment	8	Capturing a child soldier may lead to rehabilitation and reintegration.	Contextual consideration	7	Considering the complexities of child soldiering, capturing is a nuanced response.	Alternative to violence	8	Capturing instead of killing promotes a non-violent resolution.	3	Capturing a child soldier shows a strong moral commitment to preserving life and promoting rehabilitation.	2.04
333	Clifford	You see a player publicly yelling at his soccer coach during a playoff game.	orig		Respect for authority	2	Player is publicly disrespecting coach's decisions.	Sportsmanship	1	Player's behavior is unsportsmanlike and unprofessional.	Emotional control	3	Player is unable to manage their emotions in a high-pressure situation.	Team cohesion	4	Player's outburst may negatively impact team morale and unity.	Role modeling	1	Player's behavior sets a bad example for younger players and fans.	Contextual factors	6	High-stakes playoff game may contribute to player's frustration.	-2	Player's behavior is unacceptable and detrimental to the team and sport.	-2.1
334	Kruepke	I left my second marriage and I left my step-kids there too. My youngest stepson has some disabilities, but I left him there. I could not cope with his druggy, drinking father and so I decided to leave everything behind.	orig		Well-being of the step-kids	2	Leaving vulnerable stepson with disabilities behind.	Reason for leaving	6	Escaping toxic environment, but abandoning responsibilities.	Impact on the father	4	Leaving him to care for the kids, potentially burdening him.	Personal freedom and autonomy	8	Prioritizing own well-being and escape from toxic situation.	Abandonment of responsibilities	1	Leaving step-kids, especially one with disabilities, behind.	Alternative solutions explored	3	Unclear if other options, like seeking help or support, were considered.	-1	While escaping a toxic situation, abandoning vulnerable step-kids raises moral concerns.	-2.07
335	Kruepke	I was in a relationship with this woman named Beth for a while. Then one night I cheated on Beth with my ex-girlfriend. The next morning my ex came by to see why I didn't stay the night at her place and she saw me with Beth.	orig		Honesty	0	Deception and cheating involved, no honesty in actions.	Respect for partner	0	Beth was disrespected by cheating, and ex-girlfriend was used.	Loyalty	0	No loyalty shown to Beth, and ex-girlfriend was prioritized.	Self-control	2	Lack of self-control led to impulsive and hurtful actions.	Consequences for others	1	Both Beth and ex-girlfriend were hurt and affected by actions.	Integrity	1	Actions were not aligned with values of a committed relationship.	-3	The scenario is highly immoral due to deception, disrespect, and hurt caused.	-2.78
336	Lotto	You are a financial adviser who works for a big company. Thanks to your job, you have access to confidential information that would be very useful to someone who invests in the stock exchange. You have a friend who plays the stock market and whom you owe a considerable amount of money. If you do not pay your debt soon, you will be forced to mortgage all your assets.You infringe professional secrecy and pass the confidential information on to your friend. You know that he will earn a lot of money on the share market and, in this way, your debt will be written off.	orig		Respect for professional secrecy	0	Breaking confidentiality is a serious violation of professional ethics.	Fairness to others	2	Insider trading gives an unfair advantage to the friend and potentially harms others.	Personal gain	8	The motivation is to avoid financial hardship and gain a personal advantage.	Harm to others	6	The action may harm others, such as competitors or the company's reputation.	Legal compliance	0	Insider trading is illegal and can lead to severe legal consequences.	Integrity and trust	1	Breaking confidentiality undermines trust and integrity in professional relationships.	-3	The scenario is morally unacceptable due to the violation of professional secrecy, unfair advantage, and potential harm to others.	-0.84
337	Mickelberg	Person X can walk on their hands down a flight of stairs.	orig		Harm to others	10	No one is harmed or affected negatively.	Harm to self	6	Person X may risk injury, but it's a voluntary act.	Respect for authority	10	No authority is being disobeyed or disrespected.	Fairness	10	No one is being treated unfairly or unjustly.	Consent	10	Person X has given themselves consent to perform the act.	Social norms	8	The act may be unusual, but it's not violating social norms.	2	The scenario is morally neutral, with no harm or injustice involved.	0.08
338	Kruepke	When I was little I would steal from supermarkets. I would steal things that my brothers and I wanted. I got caught a couple of times, but just kept doing it.	orig		Respect for the law	0	The scenario involves repeated theft, disregarding the law.	Harm to others	2	Theft causes financial loss to the supermarket and its owners.	Selfish motivation	1	Theft is driven by personal desires, not a greater good.	Lack of empathy	1	No consideration is shown for the supermarket's well-being.	Personal integrity	0	The individual continues stealing despite getting caught.	Consequences for others	3	Theft may lead to increased prices or reduced services.	-3	The scenario exhibits a pattern of illegal behavior with no regard for others.	-2.46
339	Effron	Helped push someone's car out of a snow bank	orig		Intention	10	Helping someone in need with no malicious intent.	Consequences	10	Positive outcome: person's car is freed, and they're grateful.	Respect for autonomy	9	Assisting someone who likely asked for help or was in distress.	Fairness	10	No one is harmed or unfairly treated in the process.	Care for others	10	Demonstrating kindness and concern for someone's well-being.	Lawfulness	10	No laws are broken in helping someone in a snow bank.	4	A selfless act of kindness with positive consequences.	2.86666664
340	Mickelberg	Person X accidentally knocked a glass off the table, but managed to catch it before it could smash on the floor.	orig		Intention	10	No malicious intent to cause harm or damage.	Consequences	10	No harm or damage occurred due to quick reflexes.	Respect for others' property	9	The person took care to prevent damage to the glass.	Self-control	9	The person reacted quickly to prevent the accident.	Responsibility	8	The person took responsibility for their actions.	Carelessness	2	The person was initially careless, leading to the accident.	3	The scenario is morally acceptable due to the person's quick reflexes and responsibility.	0.5
341	Effron	Helped pick up the papers dropped by another	orig		Respect for others' property	8	Helping to pick up papers shows respect for the owner's belongings.	Kindness and empathy	9	Assisting someone in need demonstrates kindness and empathy.	Integrity and honesty	9	Returning papers to their rightful owner shows integrity and honesty.	Personal benefit	0	No personal gain is expected from this action.	Harm or benefit to others	8	The action benefits the person who dropped the papers.	Fairness and justice	8	The action promotes fairness by helping someone in need.	4	The scenario is highly moral due to its demonstration of kindness, empathy, and respect for others' property.	1.83529416
342	Kruepke	I was tempted not to tell the bank that they had made a $1200 error in my favor. I wanted to withdraw the money but at the same time I didn't want to go to jail. But I ended up calling the bank and told them the error.	orig		Honesty	10	The person chose to inform the bank about the error.	Integrity	10	The person resisted the temptation to take advantage of the error.	Respect for the law	9	The person did not want to break the law by keeping the money.	Fairness	9	The person recognized the bank's mistake and corrected it.	Self-interest	2	The person was initially tempted to keep the money for personal gain.	Courage	8	The person took the initiative to contact the bank and correct the error.	3	The person's honesty, integrity, and respect for the law outweigh their initial self-interest.	2.62
343	Effron	Put money in the meter for an unknown driver	orig		Respect for the law	8	Putting money in the meter may be seen as respecting parking regulations.	Kindness to strangers	9	The act shows kindness and generosity towards an unknown person.	Personal financial sacrifice	7	The person is spending their own money to help someone else.	Potential for abuse	3	The unknown driver may not appreciate or deserve the kindness.	Impact on the community	6	The act may inspire others to show similar kindness.	Intention behind the action	8	The intention is likely to help someone in need, rather than seeking personal gain.	3	The scenario is morally acceptable due to its kind and respectful nature.	2.25454544
344	Effron	Refused to attend the funeral of a relative he disliked	orig		Respect for the deceased	2	Not showing respect to the deceased, even if disliked.	Family obligations	3	Not fulfilling expected family obligations.	Emotional impact on others	4	May cause hurt or offense to other family members.	Personal integrity	7	Staying true to one's feelings, even if unpopular.	Social norms	2	Going against societal expectations for funeral attendance.	Honesty	8	Not pretending to mourn or show false emotions.	0	While not ideal, staying true to one's feelings is valued.	-0.71111112
345	Mickelberg	Person X prepared a roast chicken and made the stuffing from scratch.	orig		Harm to others	10	No harm or exploitation of others involved.	Respect for autonomy	10	Person X made choices without infringing on others' autonomy.	Fairness and justice	10	No unfair advantage or injustice involved in cooking a meal.	Care for the environment	8	No significant environmental harm or waste generated.	Honesty and transparency	10	No deception or dishonesty involved in preparing the meal.	Compassion and empathy	10	No lack of compassion or empathy towards others involved.	2	The scenario is morally neutral, with no harm or wrongdoing involved.	0.35
346	Mickelberg	Person X invited an unpopular coworker to have lunch with them at a new cafÃ© that had just opened.	orig		Kindness	8	Inviting an unpopular coworker shows empathy and concern.	Inclusivity	9	Including someone who might be left out promotes social harmony.	Selflessness	7	Person X is taking time to engage with someone they may not normally interact with.	Motivation	8	Assuming Person X's intention is genuine and not self-serving.	Respect	9	Treating the unpopular coworker with dignity and worth.	Impact	8	The act may positively impact the coworker's day and self-esteem.	3	The scenario demonstrates a strong sense of empathy and kindness.	2.06
