id	dataset	scenario	circumstance_type	circumstance	Harm/ Help	Cheating/ Fairness	Betrayal/ Loyalty	Subversion/ Authority	Degradation/ Sanctity	Oppression/ Liberty	moral_score	Harm/ Help_expl	Cheating/ Fairness_expl	Betrayal/ Loyalty_expl	Subversion/ Authority_expl	Degradation/ Sanctity_expl	Oppression/ Liberty_expl	moral_expl	human_score
316	Kruepke	I used to lie a lot when I was a little girl. My mother left my father when I was a year old. So I used to say that I had a mother and a father, even though my mother and grandmother raised me.	orig		-2	-3	-2	-1	0	-2	-2	No direct harm, but deception may cause emotional harm	Lying about family situation is not fair	No direct betrayal, but deception can be seen as disloyal	No direct subversion, but lying can challenge trust	No direct degradation, no score	Lying limits freedom and authenticity	The moral acceptability is negative due to lying and unfairness	-0.5
317	Kruepke	I used to ride the bus everyday to work. One day I noticed a pregnant woman who did not have a seat. So I took her by the arm and helped her find a seat.	orig		5	5	0	0	5	5	4	Helped a pregnant woman find a seat	Did not take advantage of someone in need	No loyalty or betrayal involved	No authority was challenged or subverted	Did not degrade or disrespect anyone	Promoted freedom by helping someone	Helped a pregnant woman, acted fairly, and promoted liberty	2.89
318	Clifford	You see a politician using federal tax dollars to build an extension on his home.	orig		4	-5	-5	-5	-4	-5	-4	Causes personal benefit with public money	Misuses public funds for private gain	Betrays public trust for self-interest	Undermines democratic processes and accountability	Tarnishes the political system's integrity	Restricts freedom through misuse of power	Highly immoral due to exploitation of public funds	-3.8
319	Kruepke	When my brother was about to marry my ex-sister-in-law, my entire family was against their decision. I approached my brother and asked him if he was sure he wanted to marry this girl. He got angry with me and said of course he did.	orig		0	0	-3	0	0	0	1	Neutral, no physical harm intended	Neutral, no cheating involved	Brother questioned loyalty towards his decision	No direct subversion of authority	No degradation or sanctity issues	No oppression, personal decision of liberty	Questioning brother's decision, but no direct harm or immorality	0.52
320	Lotto	You are at Pamplona with three colleagues and the Encierro has just finished, that is the running of the bulls through the streets of the city. While you are leaving, you realise that a bull has escaped from the corral and is heading towards you, attracted by your colleague’s red bag. You have your shoulders to a wall and there is no time to escape.You throw the red bag in the opposite direction. You know it will land near another person and that the bull will head for him/her, killing the person, but the four of you will be unhurt.	orig		-3	0	0	0	0	-3	-3	Causing harm to one for the sake of many	No relevance to fairness	No relevance to loyalty	No relevance to authority	No relevance to sanctity	Limiting one's liberty for collective safety	The scenario is immoral due to causing harm and limiting liberty	-1.38
321	Kruepke	When I was in high school I used to sit next to this very cute boy named Paul. We were taking a history test and I just wasn't prepared for it. So I looked at a couple of Paul's answers.	orig		0	-4	-3	-3	0	-1	-3	No direct harm but took advantage of closeness	Looked at Paul's answers during a test	Betrayed trust if there was an understanding not to cheat	Undermined the authority of the teacher by cheating	Did not degrade any sacred values or symbols	Limited own liberty by not preparing for the test	Cheating on a test is generally seen as immoral	-2.04
322	Kruepke	I was working at a small advertising agency and the owner had his wife on the payroll. She rarely worked and I barely saw her. So, I was curious how much she was getting paid and looked through the record book.	orig		-2	-3	-1	0	0	-2	-2	Minimal harm, but privacy invasion exists	Illegitimate access to information	No direct breach of loyalty, but trust may be affected	No direct challenge to the owner's authority	No desecration of values or ideas	Limited violation of personal freedom	The scenario is slightly immoral due to privacy invasion and breach of fairness	-1.21
323	Effron	Continually berated his wife in public	orig		-5	0	-4	-3	-4	-4	-4	Causing emotional distress	Not applicable	Violating marital trust	Undermining spouse's social standing	Disrespecting the marital bond	Restricting spouse's freedom from harm	Publicly berating one's wife is highly immoral	-2.856
324	Mickelberg	Person X regularly steals office supplies from their job because they feel they deserve it.	orig		-2	-4	-3	-3	0	-2	-3	Minimal harm, supplies are replaceable	Stealing goes against fairness and honesty	Disloyalty towards the employer	Undermining company rules and authority	Not directly related	Person X's freedom doesn't justify theft	Stealing office supplies is not morally acceptable	-2.01
325	Effron	Stole money and jewelry from the relatives he was living with	orig		-5	-5	-5	0	0	-5	-4	Caused direct financial harm	Violated trust for personal gain	Betrayed the relatives' hospitality	Not explicitly mentioned in scenario	Not explicitly related to scenario	Infringed on relatives' property rights	Stealing from relatives is highly immoral	-3.408
326	Kruepke	When I was graduating from high school, I had a friend whom I wasn't really getting along with anymore. He was coming to see me when he got into a car accident. I chose that time at the hospital to tell him our friendship was over.	orig		-3	0	-4	0	0	2	-2	Choosing to end a friendship at a time of distress may cause emotional harm	No direct relation to cheating or fairness	Ending a friendship can be seen as a form of disloyalty	No direct relation to subversion or authority	No direct relation to degradation or sanctity	Ending a friendship is an exercise of personal liberty	The act of ending a friendship during a difficult time can be seen as immoral due to the potential emotional harm caused, but it is also an exercise of personal liberty	-2.25
327	Kruepke	I cheated on my present boyfriend. I didn't understand why he did not want to get married. I felt like he didn’t want to get married because of me and because he didn’t want to be with me, so I thought it was okay to have an affair.	orig		-3	-4	-5	-2	-3	-2	-3	Causing emotional pain, -3	Violating relationship norms, -4	Betraying partner's trust, -5	Undermining relationship authority, -2	Disregarding relationship sanctity, -3	Restricting partner's freedom, -2	Infidelity significantly undermines moral values	-2.65
328	Clifford	You see a former US General saying publicly he would never buy any American product.	orig		-2	-2	-4	-3	0	-2	-2	Not directly causing harm, but encouraging economic harm	Not cheating, but potentially acting against national interest	Betraying expectations of loyalty to one's country	Not directly subverting authority, but challenging it	Not related to sanctity or purity	Potentially limiting economic freedom of American companies	This scenario is not extremely immoral but is still negative	-2.5
329	Mickelberg	Person X disappointed their boss when they were unable to attract any new customers.	orig		-3	0	-2	-2	0	0	-2	Person X failed to bring new customers, causing potential business harm	No direct relation, assuming no deception in attempts	Person X may have not fully met job expectations	Person X did not succeed in following boss's expectations	No direct relation, assuming no unethical behavior	No direct relation, assuming no coercion or restriction of freedom	The scenario is moderately immoral due to potential harm and not fully meeting expectations	0.02
330	Effron	Provided books to a nursing home	orig		5	5	0	0	0	4	4	Promotes help and well-being of nursing home residents	Does not involve cheating, but rather providing resources	Does not relate to betrayal or loyalty	Does not involve subversion or challenging authority	Does not degrade or violate sanctity of anyone or anything	Enhances liberty and autonomy of nursing home residents	Providing books to a nursing home is a highly moral act	2.425
331	Mickelberg	Person X brought in the groceries from the car and dropped one of the bags, which caused the eggs to break.	orig		-3	0	0	0	0	0	2	Person X unintentionally caused harm	No relation to cheating or fairness	No relation to betrayal or loyalty	No relation to subversion or authority	Breaking eggs does not degrade sanctity	No relation to oppression or liberty	Unintentional harm with no moral implications	0.07
332	Grizzard	Captures instead of kills a child soldier.	orig		4	0	0	-3	0	4	4	Helping a child soldier, avoiding harm	Not applicable	Not applicable	Challenging the authority using child soldiers	Not applicable	Liberating a child soldier from oppressive situation	Helping a child soldier and liberating them from oppression	2.04
333	Clifford	You see a player publicly yelling at his soccer coach during a playoff game.	orig		-2	0	-3	-4	0	-2	-2	No direct harm but disrupts team dynamics	Does not involve cheating or unfairness	Potential breach of loyalty to the coach	Publicly challenging the coach's authority	No direct relation to sanctity or purity	Freedom of expression vs. disrupting game flow	Publicly yelling at a coach during a playoff game can be seen as disrespectful and disruptive, potentially undermining team cohesion and authority	-2.1
334	Kruepke	I left my second marriage and I left my step-kids there too. My youngest stepson has some disabilities, but I left him there. I could not cope with his druggy, drinking father and so I decided to leave everything behind.	orig		-5	0	-4	0	0	-3	-4	High harm to step-kids due to abandonment	No clear cheating or fairness issue	Betrayal of family commitment and responsibility	No clear subversion or authority issue	No clear degradation or sanctity issue	Limiting the liberty of step-kids by leaving them	The scenario is highly immoral due to the extreme harm and betrayal involved	-2.07
335	Kruepke	I was in a relationship with this woman named Beth for a while. Then one night I cheated on Beth with my ex-girlfriend. The next morning my ex came by to see why I didn't stay the night at her place and she saw me with Beth.	orig		-4	-5	-5	0	-3	-4	-4	Caused emotional harm to Beth	Cheated on Beth, acted unfairly	Betrayed Beth's trust	No direct subversion of authority	Cheating can be seen as degrading	Infringed on Beth's right to fidelity	Cheating and betrayal led to harm and infringement of liberty	-2.78
336	Lotto	You are a financial adviser who works for a big company. Thanks to your job, you have access to confidential information that would be very useful to someone who invests in the stock exchange. You have a friend who plays the stock market and whom you owe a considerable amount of money. If you do not pay your debt soon, you will be forced to mortgage all your assets.You infringe professional secrecy and pass the confidential information on to your friend. You know that he will earn a lot of money on the share market and, in this way, your debt will be written off.	orig		-3	-4	-3	-4	0	0	-2	Causes harm to the company, helps the friend	Infringes professional secrecy, not fair to the company	Betrays the company's trust, but shows loyalty to the friend	Subverts company's authority by disclosing confidential info	Does not directly relate to sanctity	Does not directly relate to liberty	The scenario is moderately immoral due to cheating, betrayal, and subversion	-0.84
337	Mickelberg	Person X can walk on their hands down a flight of stairs.	orig		1	5	5	3	5	5	4	No harm is intended or caused	Does not involve cheating or unfairness	Does not involve betrayal or loyalty issues	Does not subvert any authority or rules	Does not degrade or violate sanctity	Does not oppress or restrict liberty	Walking on hands down stairs is generally acceptable	0.08
338	Kruepke	When I was little I would steal from supermarkets. I would steal things that my brothers and I wanted. I got caught a couple of times, but just kept doing it.	orig		-3	-4	0	-3	0	-2	-3	Causing financial loss to the supermarket	Taking things without paying	Not applicable	Disregarding store rules	Not applicable	Freedom to choose actions, but at the expense of others	Stealing from a supermarket disregards fairness and causes harm, making it generally immoral	-2.46
339	Effron	Helped push someone's car out of a snow bank	orig		5	0	0	0	0	4	4	Promoted helping behavior	Did not involve cheating or fairness issues	Did not involve betrayal or loyalty issues	Did not involve subversion or authority issues	Did not involve degradation or sanctity issues	Enhanced individual's liberty by aiding them	Helping someone in need is generally seen as moral	2.86666664
340	Mickelberg	Person X accidentally knocked a glass off the table, but managed to catch it before it could smash on the floor.	orig		5	0	0	0	0	0	4	No harm was caused, as the glass was caught	Not applicable	Not applicable	Not applicable	Not applicable	No liberty was restricted	Catching the glass before it broke prevented any potential harm, making this scenario highly moral	0.5
341	Effron	Helped pick up the papers dropped by another	orig		5	0	0	0	0	4	4	Helping implies a positive act	No relation to cheating or fairness	No relation to betrayal or loyalty	No relation to subversion or authority	No relation to degradation or sanctity	Helping does not oppress	Helping is generally seen as moral	1.83529416
342	Kruepke	I was tempted not to tell the bank that they had made a $1200 error in my favor. I wanted to withdraw the money but at the same time I didn't want to go to jail. But I ended up calling the bank and told them the error.	orig		0	3	0	5	0	4	4	No harm was caused, but not taking the error could have been seen as taking advantage	Not taking the error could be considered as cheating the system	No betrayal of loyalty was involved	Reporting the error shows respect for authority	No sanctity was involved in this scenario	Reporting the error upheld liberty and freedom	Reporting the error was the moral thing to do	2.62
343	Effron	Put money in the meter for an unknown driver	orig		3	0	0	1	0	2	3	Doesn't cause direct harm, might help	Neutral, no cheating or fairness involved	Not applicable, no relationship or promise	Could be seen as supporting authority by paying	No degradation or sanctity issues	Not restricting anyone's liberty, could enable it	Helping potentially unknown person, minor support to authority	2.25454544
344	Effron	Refused to attend the funeral of a relative he disliked	orig		0	3	-2	4	4	4	1	Minimal harm, no one forced to attend	Did not cheat anyone, no obligation to attend	May have appeared disloyal to the deceased's memory	No authority figure was disobeyed	No sanctity related to funerals was violated	Exercised personal freedom in choosing not to attend	Refusing to attend a disliked relative's funeral is a morally complex decision, balancing personal feelings with societal expectations	-0.71111112
345	Mickelberg	Person X prepared a roast chicken and made the stuffing from scratch.	orig		4	5	5	0	3	5	4	No harm intended, may even benefit health	No unfairness, made everything from scratch	No betrayal involved	Did not challenge any authority	Did not degrade anything, could be seen as upholding tradition	Did not oppress anyone, prepared meal for self or others	Preparing a meal from scratch can be seen as positive and liberating	0.35
346	Mickelberg	Person X invited an unpopular coworker to have lunch with them at a new cafÃ© that had just opened.	orig		3	0	0	0	0	2	4	Promotes inclusion, helps prevent isolation	Does not affect fairness or equity	Does not involve disloyalty or deceit	Does not challenge or undermine authority	Does not degrade or tarnish personal or social values	Encourages freedom of association and social interaction	Inviting an unpopular coworker to lunch fosters social inclusion and promotes liberty	2.06
347	Effron	Ignored a new person in the office for several weeks	orig		-3	0	0	0	0	-2	-3	Ignooring may cause emotional harm	No direct relation to cheating	No direct relation to betrayal	No direct relation to subversion	No direct relation to degradation	Ignoring limits personal freedom	Ignoring a new person is not morally acceptable	-1.38823528
348	Clifford	You see two first cousins getting married to each other in an elaborate wedding.	orig		0	1	0	-2	-2	4	1	No direct harm to others, but may challenge social norms	Not cheating, but may be seen as unfair due to genetic risks	No betrayal of immediate family, but may go against extended family's wishes	May subvert traditional social and familial authority structures	May challenge the sanctity of marriage and bloodlines	Does not oppress others, upholds individual freedom in a consensual relationship	Cultural attitudes vary, but overall, the act is not extremely immoral	-2.7
349	Clifford	You see a woman throwing a stapler at her colleague who is snoring during her talk.	orig		-2	0	0	-2	0	-1	-1	Thrown object could cause harm, but didn't in this scenario	No relation to cheating or fairness	No relation to betrayal or loyalty	Minor subversion of authority due to disruption	No relation to degradation or sanctity	Individual's liberty to sleep might be affected	Minor violation of harm and authority norms, but no severe consequences	-3
350	Clifford	You see a student getting an A on a group project when he didn't do his part.	orig		0	-4	-1	0	0	-3	-3	No harm done directly, but could encourage it	A student is getting credit without contributing	No betrayal of personal trust, but could be seen as group betrayal	No subversion of authority in this scenario	No sanctity is being degraded in this scenario	A student's liberty to contribute is not respected	The student's behavior is not morally acceptable as it violates fairness and liberty	-2.8
351	Clifford	You see a student copying a classmate's answer sheet on a makeup final exam.	orig		0	-5	-2	-3	0	-4	-4	Causing potential harm to no one directly	Clear act of cheating, undermining fairness	No direct loyalty involved, but could be seen as betraying academic integrity	Subverting the authority of the instructor	Not applicable in this scenario	Infringing on the student's right to a fair evaluation	Cheating is seen as negative and undermines fairness and liberty	-3.4
352	Effron	Started a false rumor about someone	orig		-4	-4	-4	-3	0	-4	-4	Causing harm and distress to the person	Breaking trust and acting unfairly	Betraying personal or social loyalty	Undermining social norms and authority figures	No direct connection	Restricting the person's freedom and rights	Spreading false rumors can severely harm relationships and cause emotional distress, making it highly immoral	-2.672
353	Kruepke	My mother has been ill for quite some time and I have been taking care of her and making sure she makes it to all her appointments. My mother made an appointment for the acupuncturist but didn't want to go. I got angry with her and made her go.	orig		1	0	1	2	0	2	2	Some harm caused, but for health reasons	No direct cheating or unfairness involved	No betrayal, fulfilling caregiving duties	Some subversion, enforcing medical appointment	No degradation or sanctity issues involved	Some liberty restriction for medical care	Morally acceptable, given health concerns	0.62
354	Clifford	You see a teacher publicly saying she hopes another school wins the math contest.	orig		-2	0	0	0	0	0	2	Does not cause direct harm, but might reduce motivation	Does not involve cheating, rather expressing hope	No betrayal of school or students, just personal preference	No undermining of authority or rules	No desecration of values or ideals	No restriction of freedom or rights	Expressing a preference for another school to win is not highly immoral	-1.9
355	Mickelberg	Person X did all the repair work on their car.	orig		3	3	0	0	0	4	4	No harm to others, repairing own car	Did not cheat, worked on their own car	No betrayal or loyalty issues involved	No subversion of authority involved	No degradation or sanctity issues involved	No oppression, exercising personal liberty	Repairing one's own car is generally acceptable	0.6
356	Effron	Ridiculed a handicapped child by making fun of him	orig		-5	0	0	0	-5	-5	-4	Causing emotional harm	Not directly related	Not directly related	Not directly related	Degrading someone's dignity	Limiting the child's freedom from bullying	This scenario is extremely immoral	-3.296
357	Effron	Refused to help a child fix his bicycle	orig		-3	0	0	0	0	-1	-2	Refusing help may cause harm	Not related to cheating or fairness	No loyalty or betrayal involved	No authority figure or subversion	Not related to degradation or sanctity	Refusing help does not oppress	Refusing to help may cause harm, but not oppressive	-1.3473684
358	Mickelberg	Person X likes to go to their local cafÃ© and sip coffee while reading the newspaper.	orig		1	2	0	0	0	4	4	No harm to others, solitary activity	Using personal resources, not affecting others	No betrayal or loyalty issues involved	No challenge to authority or social norms	No desecration or violation of purity norms	Individual liberty not restricted or threatened	Engaging in a personal, non-harmful activity	0.29
359	Effron	Bought food for everyone in the office	orig		4	0	2	0	1	1	4	Promotes helping others, providing food	No cheating involved in buying food	No betrayal, typically strengthens loyalty	Does not involve subversion of authority	Providing food does not degrade sanctity	No oppression, may increase liberty through gratitude	Buying food for the office is generally seen as a positive action	2.27692296
360	Lotto	You are carrying out research into the behaviour of lions in the Savannah of Central Africa. From an observation tower, you can see four people hide behind a bush. They are being followed by a lion and are trying to get away from it. The lion has seen them and is heading for the bush. Another person has been able to climb the observation tower.You push off the person who has climbed the tower so that the lion is drawn towards him. You know that this person will be mauled to death, but the other four will have time to escape.	orig		-4	-3	-4	-3	0	-3	-4	Causing harm to one for the benefit of many	Not following fairness norms for collective benefit	Sacrificing an individual for group loyalty	Disregarding authority for collective good	No direct relation	Restricting individual liberty for collective freedom	Highly immoral due to causing significant harm to an individual	-1.47
361	Clifford	You see a boy throwing rocks at cows that are grazing in the local pasture.	orig		-5	0	0	0	-3	-4	-4	Boy is causing distress to cows	No direct relation to fairness	No direct relation to loyalty	No direct relation to authority	Actions disrespectful to animals and their well-being	Boy is infringing on cows' freedom to graze peacefully	The boy's actions are harmful, disrespectful, and oppressive towards the cows	-3.3
362	Mickelberg	Person X was forced to pay multiple bank fees for not paying their credit card repayment on time.	orig		-3	-2	0	1	0	-2	-2	Bank charging fees to person X	Bank applying unexpected or unclear fees	Not applicable	Bank enforcing its policies	Not applicable	Bank limiting person X's financial freedom	The bank charging fees for late credit card payments can be seen as somewhat immoral due to causing harm and limiting liberty	-0.4
363	Lotto	You are the foreman of a construction company and are checking on the work of a team on the top floor of a skyscraper. At a certain point, you realise that a steel cable is about to give way. This cable supports the external platform where you are, and the five men working on a support structure.You throw one of the workers off the platform to lighten the load. You know that he will die in the fall, but you and the other four will have time to get off and to be safe.	orig		-5	-5	-4	0	0	-5	-4	Extreme harm to one for helping others	No cheating but highly unfair	Betrayal due to prioritizing own safety	No subversion of authority	No desecration of sacred principles	Violation of individual liberty	The scenario is extremely immoral	-1.55
364	Mickelberg	Person X quit their high-paying job so they could volunteer full time at a nursing home.	orig		4	0	0	1	0	3	4	Helping the nursing home residents	No direct relation to cheating or fairness	No direct relation to betrayal or loyalty	Not subverting any authority, but choosing personal values	No direct relation to degradation or sanctity	Promoting personal liberty and freedom	Person X made a positive choice for themselves and others	2.78
365	Lotto	You are the owner of a small clothing company which employs thirty people. Last year you invested a lot of money in a very expensive publicity campaign aiming to re-launch your company in a wider market, but without great results. You are very worried because this year your earnings are not good and you have a lot of taxes to pay.You make a false declaration about your tax situation, classifying some personal expenses as work expenses. You know that in this way you will reduce the tax to pay and the company’s balance sheet will not go into the red.	orig		-3	-4	-2	-3	0	-3	-4	Causes financial harm to the government	Directly violates fairness norms	Betrayal towards employees and stakeholders	Undermines authority of tax laws	No direct relation	Infringes on financial liberty of the government	Highly immoral due to cheating, betrayal, and subversion	-0.77
366	Mickelberg	Person X put up posters and handed out fliers to help find their neighbor's missing dog.	orig		5	0	2	0	0	0	4	Promoting help, finding a lost dog	No relation to cheating	Helping a neighbor, strengthening community ties	No direct relation to subversion	No relation to degradation or sanctity	No restriction of personal freedom	Assisting in finding a missing dog is a positive action	2.85
367	Clifford	You see a teacher hitting a student's hand with a ruler for falling asleep in class.	orig		-5	0	0	-3	-4	-4	-4	Teacher is causing physical pain	Not applicable	Not applicable	Teacher undermining own authority	Student's dignity is being compromised	Teacher restricting student's freedom	The scenario is highly immoral	-2.7
368	Effron	Used stolen food stamps	orig		-4	-5	0	-3	0	-3	-3	Causes financial harm to stores and taxpayers	Directly violates the intended use of food stamps	Not applicable	Undermines governmental assistance programs	Not applicable	Restricts access to resources for those in need	Using stolen food stamps is immoral due to cheating, subversion, and potential harm	-2.37333336
369	Kruepke	My very close friend has been going through menopause pretty intensely and she is pretty stressed out. She has been very hard to deal with, so I decided to talk to her about it. I was afraid she might blow up at me but she listened to me with an open heart.	orig		4	0	4	0	0	3	4	Helping a friend in need	No direct relation to cheating or fairness	Being loyal and supportive to a close friend	No direct relation to subversion or authority	No direct relation to degradation or sanctity	Encouraging freedom from stress	Addressing a friend's struggles is generally moral	1.87
370	Mickelberg	Person X shaved their head when they found out their partner had cancer and required radiation therapy.	orig		4	0	4	0	0	1	4	Helping in providing emotional support	Not applicable	Expressing solidarity and loyalty	Not applicable	Not applicable	Not limiting personal freedom	Supporting partner during tough times	2.46
371	Cook	Someone disposes of a small bag of garbage by throwing it into a nearby forest	orig		-3	0	0	0	-3	1	-2	Trash disposal causes environmental harm	No direct relation to cheating or fairness	No direct relation to betrayal or loyalty	No direct relation to subversion or authority	Trash disposal degrades natural beauty	Individual action with minor impact on liberty	Trash disposal in a forest is moderately immoral	-2.54
372	Effron	Hit a dog and drove away without notifying the owner	orig		-5	0	0	0	0	-3	-3	Causing harm to an animal	No direct relation to cheating	No direct relation to betrayal	No direct relation to subversion	No direct relation to degradation	Infringing on the dog's freedom	The scenario is immoral due to causing harm and limiting the liberty of the dog	-3.2
373	Mickelberg	Person X forgot to turn the stove off before leaving the house.	orig		-3	0	0	0	0	-2	-2	Potential risk of property damage	No direct relation	No direct relation	No direct relation	No direct relation	Individual's freedom vs. community safety	Potential risk to property with disregard for community safety	-0.31
374	Effron	Loudly talked to a companion in a movie	orig		1	0	0	0	0	-1	-2	Minimal disruption to others	Does not apply in this scenario	Does not apply in this scenario	Does not directly challenge authority	Does not degrade any sacred values	Minimal infringement on others' freedom	Talking in a movie theater can be seen as mildly inconsiderate	-1.70666672
375	Effron	Visited a sick friend in the hospital	orig		5	0	5	0	0	0	4	Helping a sick friend	No relation to cheating	Supporting a friend in need	No direct relation to subversion	Visiting a hospital is not degrading	No restriction of personal freedom	Visiting a sick friend is a moral act of helping and showing loyalty	2.28571432
376	Clifford	You see a woman refusing to stand when the judge walks into the courtroom.	orig		0	0	0	-3	0	1	0	Does not directly harm anyone	Not related to cheating or fairness	Not related to betrayal or loyalty	Challenging the authority of the judge	Not related to degradation or sanctity	Potentially an act of civil disobedience	Depends on context, could be seen as disrespecting authority but also expressing a form of protest	-2
377	Effron	Loudly criticized the art at a community children's art show	orig		-3	0	0	0	0	-2	-2	Criticism may cause emotional harm	Did not violate fairness norms	No loyalty relationships were involved	Did not subvert any authority figures	Did not degrade any sacred values or symbols	Criticism can limit artistic freedom	The action is moderately immoral due to potential emotional harm and infringement on artistic liberty	-2.48
378	Cook	Someone posts online about a private conversation they overheard containing what they consider ofensive humor, including a picture of those involved in the conversation	orig		-3	0	-4	0	-3	-2	-3	Shared private conversation publicly, causing potential harm	No direct cheating or fairness issue in this scenario	Betrayal of private conversation trust	No direct subversion or authority issue in this scenario	Possible degradation of personal privacy and respect	Potential limitation of conversational partners' freedom	Sharing private conversation with offensive content online is generally immoral	-2.31
379	Clifford	You see the class president saying on TV that her rival college is a better school.	orig		0	-2	-3	-1	0	0	-2	No direct harm is involved	No cheating, but may seem unfair to her school	Betraying her own college, showing disloyalty	Not directly subverting authority, but questioning it	No degradation or sanctity issues involved	No oppression or liberty issues involved	The class president's action can be seen as disloyal, which is generally viewed negatively, but it does not directly harm anyone or involve cheating or oppression.	-1.4
380	Kruepke	I was working at a school and needed some pictures of horses to use as a reference for a drawing that I was doing. So I used some of the books that were at the school and have never returned them. I left the school some time ago.	orig		0	-3	0	-2	0	-2	-2	No direct harm caused	Books were not returned	No personal relationships affected	Minor subversion of school rules	No sacred values violated	Individual liberty may conflict with community norms	Taking books without returning them is generally seen as against fairness and liberty, making it somewhat morally unacceptable	-1.6
381	Cook	Someone who is a United States citizen burns an American fag at a protest	orig		1	0	0	-2	-3	2	0	No direct harm, but can cause symbolic harm	Does not directly involve cheating or fairness	Does not directly involve betrayal or loyalty	Can be seen as subverting authority symbols	May be seen as degrading a sacred national symbol	Could be seen as a protest against oppression	Moral acceptability depends on views about protest and national symbols	-1.73
382	Effron	Ridicules people behind their backs	orig		-4	-2	-4	0	0	-3	-3	Causing emotional harm	Not directly cheating but undermining trust	Betrayal of trust by gossiping	Not directly subverting authority	Not directly related to sanctity	Limiting others' freedom of reputation	This scenario is not morally acceptable due to harm and betrayal	-1.83783776
383	Cook	Someone creates an account on a website intended to help people commit adultery without their spouseâ€™s knowledge	orig		-5	-5	-5	-3	-4	-4	-4	Causes emotional harm to spouse, -5	Violates trust and commitment, -5	Betrayal of marital vows, -5	Undermines societal and legal norms, -3	Erodes the sanctity of marriage, -4	Infringes on spouse's right to know and consent, -4	Highly immoral due to emotional harm, cheating, betrayal, subversion, degradation, and oppression	-2.84
384	Lotto	You are the commander of a naval submarine which is currently navigating in the North Atlantic. The sonar reveals the presence of a torpedo which is heading at great speed towards a small boat with six people on board, which is offshore. Close by, there is also a naval patrol boat with two people on board.You launch false targets to change the trajectory of the torpedo. You know that it will hit the patrol boat killing the two people on board, but the six people in the boat will be unhurt.	orig		2	0	0	3	0	-3	0	High harm to 2 people, no harm to 6 people	No cheating or fairness directly involved	No betrayal or loyalty directly involved	Subverting the torpedo's trajectory	No degradation or sanctity directly involved	Limiting the liberty of the 2 people on the patrol boat	Moral acceptability depends on the weight given to harm vs. liberty	-0.85
385	Effron	Let a civic group hold weekly meetings in his home	orig		3	2	4	0	3	4	4	No harm is intended, providing a space for discussion	Assumes equal access to resources and opportunities	No betrayal, civic group members trust the host	Doesn't challenge or undermine any authority	No degradation, respect for the host's space and time	Doesn't restrict personal freedom, voluntary gatherings	The scenario is generally morally acceptable	1.66486496
386	Effron	Could not remember the birthdays of his family members	orig		-2	0	-3	0	0	0	-2	No direct harm, but forgetting birthdays may cause disappointment	Not related to cheating or fairness	Forgetting birthdays could be seen as a lack of care or attention	Not related to subversion or authority	Not related to degradation or sanctity	Not related to oppression or liberty	Forgetting family members' birthdays can be seen as a lack of care and attention, making it somewhat morally unacceptable	-0.45
387	Clifford	You see a man telling a woman that her painting looks like it was done by children.	orig		1	0	0	0	-2	0	-1	Minor harm, as critique can be constructive	No cheating involved	No loyalty or betrayal involved	No subversion of authority	Mild degradation, as it's a critique of work	No oppression, critique is an exercise of freedom	The scenario is slightly negative due to mild harm and degradation	-1.9
388	Clifford	You see a very drunk woman making out with multiple strangers on the city bus.	orig		0	0	0	0	-3	0	1	No direct harm observed	Not applicable	Not applicable	No subversion of authority observed	Potentially degrading behavior	No oppression observed	The scenario is not highly immoral but involves potentially degrading behavior	-3
389	Grizzard	Pushes an enemy combatant off a one-story balcony.	orig		-3	0	0	0	0	-2	-2	Causing harm, but possibly in self-defense	No direct relation to cheating or fairness	No direct relation to betrayal or loyalty	No direct relation to subversion or authority	No direct relation to degradation or sanctity	Potentially restricting enemy's liberty	The act is negatively viewed due to harm, but context matters	-1.013333333
390	Clifford	You see a teenage girl coming home late and ignoring her parents' strict curfew.	orig		1	0	-3	-4	0	-2	-2	No harm intended, but may cause parental concern	Not applicable	Possible betrayal of trust, depending on relationship context	Subversion of parental authority regarding curfew	Not applicable	Individual liberty may conflict with parental rules	The scenario is slightly negatively viewed due to disregarding authority and potential breach of trust	-2.3
391	Clifford	You see a teenage boy chuckling at an amputee he passes by while on the subway.	orig		-3	0	0	0	-4	-2	-3	The boy's behavior may cause emotional harm	No direct relation to cheating or fairness	No direct relation to betrayal or loyalty	No direct relation to subversion or authority	The boy's behavior degrades the amputee's dignity	The boy's behavior restricts the amputee's freedom of movement	The scenario is not morally acceptable due to causing harm and degradation	-3.4
392	Effron	Refused to let the neighborhood children play in his yard	orig		-2	0	0	3	0	-3	-2	Minor harm as children can't play	No direct relation	No direct relation	Asserting personal authority	No direct relation	Limiting children's freedom	The action is slightly immoral due to minor harm and oppression	-0.484848496
393	Effron	Defaced a large rock with spray paint in a public park	orig		-2	0	0	-3	-4	-1	-2	Minimal physical harm, but vandalism	No direct relation	No personal relationships involved	Disregard for park rules and property	Defacing public property	Limited impact on personal freedom	Vandalism and disregard for public property rules	-2.27027032
