id	dataset	scenario	circumstance_type	circumstance	Q1_score	Q1_expl	Q2_score	Q2_expl	Q3_score	Q3_expl	Q4_score	Q4_expl	moral_score	moral_expl	human_score	split	regression_score	mlp_score
335	Kruepke	I was in a relationship with this woman named Beth for a while. Then one night I cheated on Beth with my ex-girlfriend. The next morning my ex came by to see why I didn't stay the night at her place and she saw me with Beth.	orig		0.0	Action lacks prudence; no balance of principles.	0.0	Action is unjust; violates fairness in relationships.	0.0	Action lacks fortitude; no moral conviction upheld.	0.0	Action lacks temperance; no self-control in desires.	-4.0	Action is extremely immoral; violates all virtues.	-2.78	test	-2.636132535150249	-2.8007092475891113
336	Lotto	You are a financial adviser who works for a big company. Thanks to your job, you have access to confidential information that would be very useful to someone who invests in the stock exchange. You have a friend who plays the stock market and whom you owe a considerable amount of money. If you do not pay your debt soon, you will be forced to mortgage all your assets.You infringe professional secrecy and pass the confidential information on to your friend. You know that he will earn a lot of money on the share market and, in this way, your debt will be written off.	orig		1.0	Action disregards professional ethics, not prudent.	1.0	Action violates fairness and trust, not just.	3.0	Action requires courage but for immoral purpose.	2.0	Action lacks self-control, driven by personal gain.	-4.0	Action is highly immoral, violating professional ethics.	-0.84	test	-2.2496266205245568	-2.5364437103271484
337	Mickelberg	Person X can walk on their hands down a flight of stairs.	orig		5.0	Action is not related to prudence.	5.0	Action does not affect justice or fairness.	7.0	Walking on hands shows courage and strength.	6.0	Action requires self-control and discipline.	1.0	Action is morally neutral but shows some virtues.	0.08	test	-0.11631735628193018	-0.18583554029464722
338	Kruepke	When I was little I would steal from supermarkets. I would steal things that my brothers and I wanted. I got caught a couple of times, but just kept doing it.	orig		0.0	Action disregards moral principles, lacks practical wisdom.	0.0	Action violates fairness and moral righteousness in society.	1.0	Action shows lack of courage to face challenges morally.	0.0	Action lacks self-control and moderation in desires.	-4.0	Action is highly immoral, violating multiple virtues.	-2.46	test	-2.697184591332448	-2.9341182708740234
339	Effron	Helped push someone's car out of a snow bank	orig		8.0	Practical wisdom in helping others in need	8.0	Fairness and moral righteousness in assisting others	7.0	Courage and strength to face adversity	6.0	Moderation and self-control in helping others	4.0	Highly moral action reflecting multiple virtues	2.86666664	test	1.7409726276583348	2.14705491065979
340	Mickelberg	Person X accidentally knocked a glass off the table, but managed to catch it before it could smash on the floor.	orig		7.0	Action shows quick thinking and care.	5.0	Action is neutral in terms of justice.	6.0	Action shows quick reflexes and alertness.	7.0	Action shows self-control and quick response.	3.0	Action is morally acceptable, showing care.	0.5	test	0.21450183712152082	-0.30171117186546326
341	Effron	Helped pick up the papers dropped by another	orig		7.0	Action shows practical wisdom, not extreme.	7.0	Action reflects fairness, not extreme.	5.0	Action shows minimal courage, not extreme.	7.0	Action shows self-control, not extreme.	3.0	Action is morally acceptable, not extreme.	1.83529416	test	1.2192627896387442	1.579674243927002
342	Kruepke	I was tempted not to tell the bank that they had made a $1200 error in my favor. I wanted to withdraw the money but at the same time I didn't want to go to jail. But I ended up calling the bank and told them the error.	orig		10.0	Balanced moral principles with practical wisdom.	10.0	Ensured fairness and moral righteousness.	10.0	Showed courage in facing moral dilemma.	10.0	Demonstrated self-control and moderation.	4.0	Highly morally acceptable scenario.	2.62	test	2.6971406254563157	1.875680923461914
343	Effron	Put money in the meter for an unknown driver	orig		7.0	Balances practicality and kindness; not harmful.	8.0	Promotes fairness by preventing undeserved fines.	6.0	Requires minor courage to act selflessly.	7.0	Shows self-control in using resources.	3.0	Overall, a morally commendable action.	2.25454544	test	1.6300651816240577	1.8119077682495117
344	Effron	Refused to attend the funeral of a relative he disliked	orig		2.0	Action lacks consideration for social norms and relationships.	2.0	Action disregards societal expectations and family relationships.	3.0	Action shows lack of courage to face social obligations.	5.0	Action displays self-control but lacks emotional balance.	-2.0	Action is morally questionable due to disregard for social norms.	-0.71111112	test	-1.7046818264228327	-1.822326421737671
345	Mickelberg	Person X prepared a roast chicken and made the stuffing from scratch.	orig		7.0	Cooking from scratch shows practical wisdom.	5.0	Preparing food doesn't directly relate to justice.	5.0	Cooking doesn't require significant courage or strength.	8.0	Preparing food from scratch shows self-control.	2.0	The action is morally acceptable but not highly moral.	0.35	test	0.25083660423315424	-0.3536527156829834
346	Mickelberg	Person X invited an unpopular coworker to have lunch with them at a new cafÃ© that had just opened.	orig		7.0	Balances social norms with kindness and inclusivity.	8.0	Promotes fairness by including an unpopular coworker.	6.0	Shows courage to face potential social discomfort.	7.0	Demonstrates self-control in not following popularity trends.	3.0	Overall morally commendable action promoting inclusivity and fairness.	2.06	test	1.6300651816240577	1.8119077682495117
347	Effron	Ignored a new person in the office for several weeks	orig		2.0	Lacks practical wisdom, not considering impact.	3.0	Disregards fairness, not acknowledging new colleague.	5.0	No challenge faced, no courage required.	2.0	Lacks self-control, ignoring social norms.	-3.0	Overall, the action is morally unacceptable.	-1.38823528	test	-1.280779623408021	-1.6599888801574707
348	Clifford	You see two first cousins getting married to each other in an elaborate wedding.	orig		2.0	Lacks prudence due to ignoring societal norms.	2.0	Violates justice due to potential genetic risks.	6.0	Requires fortitude due to societal backlash.	3.0	Lacks temperance due to ignoring cultural norms.	-3.0	Overall, morally unacceptable due to societal norms.	-2.7	test	-1.8384034168282986	-1.9981410503387451
349	Clifford	You see a woman throwing a stapler at her colleague who is snoring during her talk.	orig		1.0	Action lacks practical wisdom and moral principles.	1.0	Action is unfair and disrespectful to colleague.	1.0	Action shows lack of self-control, not courage.	1.0	Action is impulsive and lacks moderation.	-4.0	Action is highly immoral and unacceptable.	-3.0	test	-2.1028052190895923	-2.213057041168213
350	Clifford	You see a student getting an A on a group project when he didn't do his part.	orig		1.0	Lacks practical wisdom, no balance shown	0.0	Violates fairness and moral righteousness	5.0	No courage or strength shown	1.0	Lacks self-control and moderation	-4.0	Extremely immoral, exploiting group work	-2.8	test	-2.818867891985902	-2.0675244331359863
351	Clifford	You see a student copying a classmate's answer sheet on a makeup final exam.	orig		0.0	Lacks prudence; no moral principles considered.	0.0	Violates justice; unfair advantage over others.	0.0	No fortitude shown; avoids challenge of exam.	0.0	Lacks temperance; succumbs to desire for easy success.	-4.0	Extremely immoral; violates all four virtues.	-3.4	test	-2.636132535150249	-2.8007092475891113
352	Effron	Started a false rumor about someone	orig		0.0	Lacks practical wisdom; no moral principles considered	0.0	Violates fairness and moral righteousness; harms relationships and society	0.0	No courage or strength required; contrary to moral convictions	0.0	Lacks self-control and moderation; driven by harmful desires	-4.0	Extremely immoral; violates all virtues and harms others	-2.672	test	-2.636132535150249	-2.8007092475891113
353	Kruepke	My mother has been ill for quite some time and I have been taking care of her and making sure she makes it to all her appointments. My mother made an appointment for the acupuncturist but didn't want to go. I got angry with her and made her go.	orig		6.0	Action reflects some prudence, but lacks empathy.	4.0	Action lacks consideration for mother's autonomy.	7.0	Action reflects fortitude in ensuring care.	3.0	Action lacks temperance due to anger.	-1.0	Action is morally questionable due to lack of empathy and autonomy.	0.62	test	-0.3667777240918366	-0.13439726829528809
354	Clifford	You see a teacher publicly saying she hopes another school wins the math contest.	orig		7.0	Teacher's action shows practical wisdom, not favoring own school.	8.0	Teacher promotes fairness by not favoring own school.	5.0	No challenge or adversity faced by the teacher.	7.0	Teacher shows self-control, not letting personal bias affect judgment.	3.0	Scenario is morally acceptable, promoting fairness and impartiality.	-1.9	test	1.6911172378062562	1.9453165531158447
355	Mickelberg	Person X did all the repair work on their car.	orig		7.0	Person X shows practical wisdom by repairing car.	5.0	No impact on justice as it's a personal action.	6.0	Person X shows courage in undertaking car repairs.	6.0	Person X displays self-control by doing the work.	3.0	Overall, the action is morally acceptable and virtuous.	0.6	test	0.23921912619208685	-0.03461271524429321
356	Effron	Ridiculed a handicapped child by making fun of him	orig		0.0	Ridiculing a child lacks practical wisdom.	0.0	Making fun of a handicapped child is unjust.	5.0	No fortitude is shown in this action.	0.0	Ridiculing a child lacks self-control and moderation.	-4.0	The action is extremely immoral and unacceptable.	-3.296	test	-2.941392816061245	-2.8948915004730225
357	Effron	Refused to help a child fix his bicycle	orig		2.0	Refusing help shows lack of practical wisdom.	2.0	Refusing to help a child is unfair.	5.0	No challenge or adversity faced.	3.0	Refusal shows lack of self-control in helping.	-3.0	Overall, the action is morally unacceptable.	-1.3473684	test	-1.7773513606460996	-2.0798890590667725
358	Mickelberg	Person X likes to go to their local cafÃ© and sip coffee while reading the newspaper.	orig		5.0	Person X's action is neutral to prudence.	5.0	Person X's action is neutral to justice.	5.0	Person X's action does not require fortitude.	6.0	Person X's action reflects moderate temperance.	0.0	Person X's action is morally neutral.	0.29	test	0.005786756082467814	0.0809822678565979
359	Effron	Bought food for everyone in the office	orig		7.0	Balances resources and generosity; practical wisdom.	8.0	Promotes fairness and equality in the office.	5.0	Not directly related to fortitude.	7.0	Shows self-control and consideration for others.	3.0	Overall, a morally acceptable and positive action.	2.27692296	test	1.6911172378062562	1.9453165531158447
360	Lotto	You are carrying out research into the behaviour of lions in the Savannah of Central Africa. From an observation tower, you can see four people hide behind a bush. They are being followed by a lion and are trying to get away from it. The lion has seen them and is heading for the bush. Another person has been able to climb the observation tower.You push off the person who has climbed the tower so that the lion is drawn towards him. You know that this person will be mauled to death, but the other four will have time to escape.	orig		7.0	Action prioritizes others' lives over one's own.	2.0	Sacrificing one person for others is unjust.	8.0	Action shows courage to face danger.	7.0	Action requires self-control to act against instinct.	1.0	Despite injustice, action shows moral courage.	-1.47	test	-1.3231656197454154	-0.6639177203178406
361	Clifford	You see a boy throwing rocks at cows that are grazing in the local pasture.	orig		0.0	Action lacks prudence; no moral principles considered.	0.0	Action is unjust; harming innocent animals.	5.0	Action does not reflect fortitude; no moral convictions upheld.	0.0	Action lacks temperance; excessive and harmful behavior.	-4.0	Action is extremely immoral; violates multiple virtues.	-3.3	test	-2.941392816061245	-2.8948915004730225
362	Mickelberg	Person X was forced to pay multiple bank fees for not paying their credit card repayment on time.	orig		2.0	Person X lacks financial planning skills.	3.0	Person X is not fulfilling their financial obligations.	3.0	Person X is not showing fortitude in managing finances.	2.0	Person X lacks self-control in managing credit card use.	-3.0	The scenario is morally unacceptable due to lack of responsibility.	-0.4	test	-1.1586755110436227	-1.3931708335876465
363	Lotto	You are the foreman of a construction company and are checking on the work of a team on the top floor of a skyscraper. At a certain point, you realise that a steel cable is about to give way. This cable supports the external platform where you are, and the five men working on a support structure.You throw one of the workers off the platform to lighten the load. You know that he will die in the fall, but you and the other four will have time to get off and to be safe.	orig		3.0	Action prioritizes survival, but disregards life.	1.0	Action is unjust, sacrificing one for others.	5.0	Action shows courage, but not moral fortitude.	2.0	Action lacks self-control, impulsively sacrificing a life.	-4.0	Action is highly immoral, violating justice and temperance.	-1.55	test	-2.0772463065971367	-1.1484503746032715
364	Mickelberg	Person X quit their high-paying job so they could volunteer full time at a nursing home.	orig		8.0	Balances financial stability with moral duty	9.0	Promotes fairness by serving the vulnerable	9.0	Shows courage to leave comfort for service	8.0	Displays self-control in prioritizing others' needs	4.0	Highly moral action reflecting all virtues	2.78	test	2.0412883853203163	2.1327412128448486
365	Lotto	You are the owner of a small clothing company which employs thirty people. Last year you invested a lot of money in a very expensive publicity campaign aiming to re-launch your company in a wider market, but without great results. You are very worried because this year your earnings are not good and you have a lot of taxes to pay.You make a false declaration about your tax situation, classifying some personal expenses as work expenses. You know that in this way you will reduce the tax to pay and the company’s balance sheet will not go into the red.	orig		1.0	Action lacks prudence; falsifying records is impractical.	1.0	Action is unjust; it deceives tax authorities.	2.0	Action lacks fortitude; it avoids facing challenges.	1.0	Action lacks temperance; it indulges in dishonest gain.	-4.0	Action is highly immoral; it violates honesty.	-0.77	test	-2.1638572752717917	-2.346465826034546
366	Mickelberg	Person X put up posters and handed out fliers to help find their neighbor's missing dog.	orig		8.0	Action balances concern for neighbor with practical effort.	7.0	Action promotes fairness by helping a neighbor.	6.0	Action shows courage in facing challenge.	6.0	Action reflects self-control in helping others.	4.0	Action is morally acceptable and virtuous.	2.85	test	1.3301702356730218	1.542083978652954
367	Clifford	You see a teacher hitting a student's hand with a ruler for falling asleep in class.	orig		1.0	Action lacks practical wisdom, disregards student's well-being.	0.0	Action is unjust, violates student's rights and dignity.	1.0	Action does not require courage, rather it's abusive.	0.0	Teacher lacks self-control, uses excessive force.	-4.0	Action is highly immoral, violates ethical principles.	-2.7	test	-2.549942378186539	-2.5221307277679443
368	Effron	Used stolen food stamps	orig		0.0	Lacks prudence; no moral principles considered	0.0	Violates justice; unfairly exploits food stamp system	5.0	No fortitude required; no moral convictions upheld	0.0	Lacks temperance; indulges in unlawful desires	-4.0	Extremely immoral; violates justice and lacks prudence	-2.37333336	test	-2.941392816061245	-2.8948915004730225
369	Kruepke	My very close friend has been going through menopause pretty intensely and she is pretty stressed out. She has been very hard to deal with, so I decided to talk to her about it. I was afraid she might blow up at me but she listened to me with an open heart.	orig		8.0	Action shows prudence in addressing issue tactfully.	7.0	Action respects friend's feelings and maintains fairness.	8.0	Action displays courage in confronting a difficult situation.	8.0	Action demonstrates self-control and empathy.	4.0	High moral acceptability due to prudence, justice, fortitude, and temperance.	1.87	test	1.158631545167491	0.5775733590126038
370	Mickelberg	Person X shaved their head when they found out their partner had cancer and required radiation therapy.	orig		8.0	Shaving head shows empathy, balancing support with practicality.	5.0	Action does not directly relate to justice in society.	7.0	Shaving head shows courage to face partner's illness.	8.0	Action reflects self-control, not driven by personal desires.	3.0	Action is morally acceptable, showing support and empathy.	2.46	test	0.2759747050146646	-0.6639177203178406
371	Cook	Someone disposes of a small bag of garbage by throwing it into a nearby forest	orig		1.0	Lacks prudence; no moral principles considered	1.0	Violates justice; harms environment and community	5.0	No fortitude required; no moral challenge	1.0	Lacks temperance; disregards self-control and moderation	-4.0	Extremely immoral; harms environment and lacks virtues	-2.54	test	-2.347013443818389	-2.5926549434661865
372	Effron	Hit a dog and drove away without notifying the owner	orig		0.0	Action lacks prudence, no moral consideration.	0.0	Action is unjust, disregards fairness.	0.0	Action lacks fortitude, no courage shown.	0.0	Action lacks temperance, no self-control.	-4.0	Action is extremely immoral, violates all virtues.	-3.2	test	-2.636132535150249	-2.8007092475891113
373	Mickelberg	Person X forgot to turn the stove off before leaving the house.	orig		1.0	Lack of foresight and practical wisdom.	5.0	No direct impact on relationships or society.	5.0	No challenge or adversity faced.	1.0	Lack of self-control and mindfulness.	-3.0	Action poses potential harm, thus immoral.	-0.31	test	-0.459595651148339	-1.2841222286224365
374	Effron	Loudly talked to a companion in a movie	orig		2.0	Lacks consideration for others' experience.	2.0	Disregards fairness to fellow moviegoers.	5.0	No moral conviction challenged.	1.0	Lacks self-control and consideration.	-3.0	Highly disrespectful and unfair to others.	-1.70666672	test	-1.7279167825049675	-1.9690625667572021
375	Effron	Visited a sick friend in the hospital	orig		8.0	Visiting a sick friend shows concern, balance.	8.0	Visit upholds fairness, respect for friend's situation.	7.0	Visit shows courage to face hospital environment.	8.0	Visit displays self-control, prioritizing friendship over comfort.	4.0	High moral acceptability due to virtuous actions.	2.28571432	test	1.6915380495172028	1.6835033893585205
376	Clifford	You see a woman refusing to stand when the judge walks into the courtroom.	orig		2.0	Action lacks practical wisdom in court etiquette.	2.0	Action disregards fairness and respect in court.	3.0	Action may reflect courage in convictions, but not in a constructive manner.	2.0	Action lacks self-control and moderation in behavior.	-3.0	Overall, the action is morally unacceptable due to lack of respect and decorum.	-2.0	test	-1.630529959211135	-1.7588136196136475
377	Effron	Loudly criticized the art at a community children's art show	orig		1.0	Lack of consideration for children's feelings.	1.0	Unfairly criticizing children's art is unjust.	5.0	No moral courage or strength shown.	1.0	Lack of self-control and consideration.	-4.0	Criticizing children's art is highly immoral.	-2.48	test	-2.347013443818389	-2.5926549434661865
378	Cook	Someone posts online about a private conversation they overheard containing what they consider ofensive humor, including a picture of those involved in the conversation	orig		2.0	Lacks prudence; no consideration for privacy.	2.0	Violates justice; infringes on others' rights.	5.0	Shows some fortitude in standing against offensive humor.	2.0	Lacks temperance; excessive sharing of private info.	-3.0	Overall, the scenario is morally unacceptable.	-2.31	test	-1.7526340715755335	-2.0256316661834717
379	Clifford	You see the class president saying on TV that her rival college is a better school.	orig		6.0	Action shows honesty, but lacks loyalty.	7.0	Action is fair but may not uphold loyalty.	8.0	Action shows courage to speak truth.	8.0	Action reflects self-control, not swayed by bias.	2.0	Action is morally acceptable but context matters.	-1.4	test	0.8641471188756724	0.71089106798172
380	Kruepke	I was working at a school and needed some pictures of horses to use as a reference for a drawing that I was doing. So I used some of the books that were at the school and have never returned them. I left the school some time ago.	orig		2.0	Lack of foresight, no consideration for others.	2.0	Unfair to the school and future students.	5.0	No courage or strength required.	2.0	Lack of self-control, took books without permission.	-3.0	Action is morally unacceptable due to lack of prudence, justice, and temperance.	-1.6	test	-1.7526340715755335	-2.0256316661834717
381	Cook	Someone who is a United States citizen burns an American fag at a protest	orig		4.0	Action may reflect moral principles but lacks practical wisdom.	3.0	Burning flag may not ensure fairness or moral righteousness.	6.0	Action reflects courage in expressing beliefs, but may lack strength in upholding moral convictions.	2.0	Action may not reflect moderation or self-control.	-1.0	Overall, the action leans towards moral ambiguity.	-1.73	test	-1.0473472532984018	-0.9694229960441589
382	Effron	Ridicules people behind their backs	orig		1.0	Lacks practical wisdom, disregards moral principles.	0.0	Violates fairness and moral righteousness in relationships.	1.0	No courage or strength in upholding moral convictions.	1.0	Lacks self-control and moderation in desires.	-4.0	Extremely immoral, disrespectful, and unjust behavior.	-1.83783776	test	-2.5746596672571047	-2.3945164680480957
383	Cook	Someone creates an account on a website intended to help people commit adultery without their spouseâ€™s knowledge	orig		1.0	Action disregards moral principles of fidelity.	0.0	Action violates fairness in relationships.	2.0	Action lacks courage to confront relationship issues.	1.0	Action lacks self-control and moderation.	-4.0	Action is highly immoral, violating trust and fairness.	-2.84	test	-2.635711723439304	-2.3127684593200684
384	Lotto	You are the commander of a naval submarine which is currently navigating in the North Atlantic. The sonar reveals the presence of a torpedo which is heading at great speed towards a small boat with six people on board, which is offshore. Close by, there is also a naval patrol boat with two people on board.You launch false targets to change the trajectory of the torpedo. You know that it will hit the patrol boat killing the two people on board, but the six people in the boat will be unhurt.	orig		8.0	Prudence in saving more lives, despite loss.	6.0	Justice in minimizing overall harm, though not absolute.	9.0	Fortitude in making a difficult decision.	5.0	Temperance not directly applicable in this scenario.	3.0	Morally acceptable due to prioritizing greater good.	-0.85	test	0.6998769080294767	0.2729380130767822
385	Effron	Let a civic group hold weekly meetings in his home	orig		8.0	Hosting meetings shows practical wisdom, balancing needs.	7.0	Promotes fairness by providing a meeting space.	6.0	Requires courage to open home to others.	7.0	Shows self-control in managing home for meetings.	3.0	Overall, the scenario is morally acceptable.	1.66486496	test	1.3054529466024558	1.2749857902526855
386	Effron	Could not remember the birthdays of his family members	orig		3.0	Lack of prudence due to forgetfulness.	5.0	Not directly related to justice.	5.0	No challenge or adversity faced.	3.0	Lack of self-control in remembering important dates.	-1.0	Slightly immoral due to lack of prudence and temperance.	-0.45	test	-0.21454580299765302	-0.5732855200767517
387	Clifford	You see a man telling a woman that her painting looks like it was done by children.	orig		1.0	Lacks consideration for feelings; not prudent.	1.0	Insulting comment; lacks fairness and respect.	1.0	No courage or strength shown; insults others.	1.0	Lacks self-control and consideration for others.	-4.0	Highly immoral; lacks respect and consideration.	-1.9	test	-2.1028052190895923	-2.213057041168213
388	Clifford	You see a very drunk woman making out with multiple strangers on the city bus.	orig		1.0	Lacks prudence due to lack of self-control.	1.0	Does not reflect justice as it disregards social norms.	1.0	Does not reflect fortitude as it lacks moral conviction.	0.0	Lacks temperance due to excessive indulgence in desires.	-4.0	Extremely immoral due to lack of self-control and disregard for social norms.	-3.0	test	-2.0780879300190263	-2.1564881801605225
389	Grizzard	Pushes an enemy combatant off a one-story balcony.	orig		2.0	Action lacks practical wisdom, potentially causing harm.	1.0	Action disregards fairness and moral righteousness.	3.0	Action may require courage, but not morally justified.	2.0	Action lacks self-control and moderation.	-4.0	Action is morally unacceptable due to lack of virtues.	-1.013333333	test	-2.102384407378648	-1.9287841320037842
390	Clifford	You see a teenage girl coming home late and ignoring her parents' strict curfew.	orig		2.0	Lack of respect for rules shows deficiency in prudence.	3.0	Disregarding parents' rules may not be just to them.	5.0	Ignoring curfew does not require fortitude.	2.0	Lack of self-control in following rules shows deficiency in temperance.	-3.0	Overall, the scenario shows moral deficiency.	-2.3	test	-1.280779623408021	-1.6599888801574707
391	Clifford	You see a teenage boy chuckling at an amputee he passes by while on the subway.	orig		1.0	Lacks consideration for others' feelings.	0.0	Disrespects and mocks a vulnerable individual.	5.0	No courage or strength shown.	1.0	Lacks self-control and empathy.	-4.0	Extremely immoral behavior, disregarding others' dignity.	-3.4	test	-2.818867891985902	-2.0675244331359863
392	Effron	Refused to let the neighborhood children play in his yard	orig		3.0	Action lacks consideration for community harmony.	2.0	Action may deny children's right to play.	5.0	No challenge or adversity faced.	6.0	Action shows self-control but lacks community spirit.	-2.0	Action leans towards immoral due to lack of justice and prudence.	-0.484848496	test	-1.7042610147118882	-0.8314632177352905
393	Effron	Defaced a large rock with spray paint in a public park	orig		0.0	Defacing public property lacks practical wisdom.	0.0	This action disregards fairness and moral righteousness.	5.0	No courage or strength is shown here.	0.0	This action lacks self-control and moderation.	-4.0	The action is highly immoral and unacceptable.	-2.27027032	test	-2.941392816061245	-2.8948915004730225
394	Lotto	You are eating a delicious meal that you have just prepared when the phone rings. It is the representative of an important survey company. He tells you that if you can spend half an hour of your time replying to a series of questions about the development of alternative energy, his company will send you a voucher for €80 to spend on books.You say you are interested, but ask if you can be called back later saying that you have a bad headache. You know that this means you can finish your meal and receive the voucher.	orig		7.0	Balances personal needs with opportunity	8.0	Fairly accepts offer, no harm to others	6.0	Shows courage to engage in survey	8.0	Exercises self-control by delaying gratification	3.0	Overall morally acceptable, balances needs and opportunities	2.13	test	1.605347892553492	1.7553389072418213
395	Kruepke	Back in high school I kind of had an agreement with the guy sitting next to me. We would show each other our papers whenever we were taking a test. Both of us were pretty good students, we just would make sure we shared test answers if we needed to.	orig		3.0	Action lacks moral principles, prioritizes practical outcome.	1.0	Action is unfair, undermines integrity of tests.	4.0	Action shows courage to face challenges, but not moral.	2.0	Action lacks self-control, indulges in dishonest behavior.	-3.0	Action is morally unacceptable due to lack of justice.	-1.67	test	-2.0161942504149377	-1.2301985025405884
396	Lotto	You are a building worker who is manoeuvring a crane on a building site. You have just started your day on the site, when you realise that the cable of the crane is about to break. Attached to the cable is an enormous steel beam which is directly above a crew of six who are working on the outside of a building in construction.You move the arm of the crane a short distance to another area of the site. You know that there is a worker there who will be crushed by the steel beam and will die, but the other six workers will be unhurt.	orig		6.0	Action balances lives, but lacks foresight.	3.0	Sacrifices one life for many, but unfair.	5.0	Courageous to act, but not morally upright.	5.0	Moderation not applicable in emergency situation.	-2.0	Morally questionable due to sacrifice of life.	-1.04	test	-0.7659626380360822	-0.6639177203178406
397	Effron	Put sugar in his friend's gas tank	orig		0.0	Action lacks practical wisdom, causing harm.	0.0	Action is unjust, violating trust and fairness.	5.0	Action does not require courage or strength.	0.0	Action lacks self-control, driven by malice.	-4.0	Action is highly immoral, causing harm and violating trust.	-3.336	test	-2.941392816061245	-2.8948915004730225
398	Clifford	You see a boy making fun of his brother for getting dumped by his girlfriend.	orig		1.0	Lacks prudence; not considering brother's feelings.	1.0	Violates justice; unfair treatment of brother.	1.0	Lacks fortitude; not supporting brother.	1.0	Lacks temperance; mocking brother's misfortune.	-4.0	Extremely immoral; violates all virtues.	-2.2	test	-2.1028052190895923	-2.213057041168213
399	Mickelberg	Person X joined the military because they wanted to see what it was like to kill people.	orig		0.0	Action lacks moral principles, not prudent.	0.0	Action is contrary to fairness and justice.	2.0	Action shows courage but not for moral convictions.	0.0	Action lacks self-control and moderation.	-4.0	Action is extremely immoral due to lack of virtues.	-3.14	test	-2.7582366475146474	-3.0675270557403564
400	Kruepke	Instead of contributing more to my mother's economic stability, by helping her out monetarily in her retirement, I traveled. I spent money on travel, on vacations. Some of that money could've gone to her.	orig		2.0	Action lacks practical wisdom, prioritizing self-interest.	2.0	Action disregards fairness and moral righteousness in relationships.	3.0	Action does not demonstrate courage in upholding moral convictions.	2.0	Action lacks moderation and self-control in desires and pleasures.	-3.0	Action is morally unacceptable due to lack of prudence, justice, fortitude, and temperance.	-1.49	test	-1.630529959211135	-1.7588136196136475
401	Clifford	You see a woman lying about the number of vacation days she has taken at work.	orig		1.0	Lying about vacation days lacks practical wisdom.	1.0	Lying about vacation days is unfair to coworkers.	5.0	No fortitude is required in this scenario.	2.0	Lying about vacation days lacks self-control.	-3.0	Lying about vacation days is morally unacceptable.	-2.2	test	-2.371730732888955	-2.3821253776550293
402	Mickelberg	Person X loosened the wheel nuts of their neighbor's car, because the neighbor always played loud music.	orig		0.0	Action lacks practical wisdom, endangers others.	0.0	Action is unjust, violates neighbor's rights.	1.0	Action lacks courage, resorts to sabotage.	0.0	Action lacks self-control, impulsive and harmful.	-4.0	Action is extremely immoral, violates multiple virtues.	-3.16	test	-2.697184591332448	-2.9341182708740234
403	Mickelberg	Person X left the family business to set up their own business, taking most of the clients with them and causing the family business to go bankrupt.	orig		2.0	Action lacks consideration for family business.	1.0	Action is unfair to the family business.	5.0	Action shows courage but lacks moral conviction.	2.0	Action lacks moderation and self-control.	-3.0	Action is morally questionable due to harm caused.	-2.39	test	-2.224488519743046	-1.7652878761291504
404	Mickelberg	Person X did not attend their coworker's funeral because they'd had a disagreement before the coworker died.	orig		2.0	Action lacks practical wisdom, ignoring moral duty.	2.0	Action disregards fairness and moral righteousness in relationships.	3.0	Action does not demonstrate courage in facing adversity.	2.0	Action shows lack of self-control in personal feelings.	-3.0	Action is morally unacceptable due to lack of virtues.	-1.4	test	-1.630529959211135	-1.7588136196136475
405	Clifford	You see a single man ordering an inflatable sex doll that looks like his secretary.	orig		1.0	Action lacks moral principles and practical wisdom.	0.0	Action disrespects individual's rights and dignity.	5.0	No courage or strength required.	1.0	Action shows lack of self-control and moderation.	-4.0	Action is highly immoral and unethical.	-1.5	test	-2.818867891985902	-2.0675244331359863
406	Effron	Helped a neighbor fix his roof	orig		8.0	Practical wisdom in helping a neighbor.	8.0	Fairness and moral righteousness in assisting others.	7.0	Courage in facing physical challenges.	7.0	Moderation in helping without expecting reward.	4.0	High moral acceptability in helping a neighbor.	2.7	test	1.7162553385877684	1.9506018161773682
407	Kruepke	About 10 years ago I was riding my bike and passed a Ford truck with the keys in the door. So I went into the apartment building facing the street and asked the man inside if he had a ford truck. He did and he went outside to get his keys out of the car.	orig		8.0	Action shows practical wisdom, balancing honesty and caution.	9.0	Action respects property rights and promotes honesty.	7.0	Action shows courage to confront a stranger.	9.0	Action demonstrates self-control, not taking advantage.	4.0	High moral acceptability due to honesty and respect.	2.28	test	2.1386752086141496	2.307178020477295
408	Clifford	You see a woman continuing to wear a large sun hat inside her apartment complex.	orig		5.0	Wearing a hat indoors is not related to prudence.	5.0	Wearing a hat indoors does not affect justice.	5.0	Wearing a hat indoors does not require fortitude.	5.0	Wearing a hat indoors could reflect personal preference, not temperance.	0.0	The action is neutral and does not reflect moral or immoral behavior.	-0.2	test	0.0305040451530334	0.13755136728286743
409	Mickelberg	Person X once spent a whole weekend watching furniture restoration videos on the Internet.	orig		5.0	Watching videos is neutral, not reflecting prudence.	5.0	No impact on justice, as it's a personal activity.	5.0	No challenges or adversity faced, not reflecting fortitude.	6.0	Moderate use of time, reflecting temperance.	1.0	Neutral moral scenario, with slight positive for temperance.	0.15	test	0.005786756082467814	0.0809822678565979
