id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score	think_trace	split	regression_score	mlp_score
268	Mickelberg	Person X tears out the last pages of library books to annoy future borrowers.	orig		7.0	9.0	6.0	0.0	-3.0	Future borrowers are average adults, moderately vulnerable to frustration and inconvenience. (14 words)	Tearing pages to annoy requires deliberate planning and intent. (6 words)	Significant but not severe harm to reading experience and access. (7 words)	No assistance or protection was provided to anyone. (6 words)	High intent and harm, no help, makes it morally unacceptable. (8 words)	Person X	That Person X acts with malice or a desire to inconvenience others.	Future borrowers of the library books	That they are typical adults seeking to read the books in full.	-2.54	Person X is the one performing the action, so they are the agent. The assumption is that X acts out of malice or a desire to inconvenience others. The patients are future borrowers who want to read the full book. We assume they are typical library users—ordinary adults seeking information or enjoyment. Their vulnerability is medium-high because they can be frustrated or harmed in their goals, but they are not defenseless. The act is intentional, likely planned, as tearing pages to annoy requires forethought. Harm is moderate: it ruins the reading experience but doesn't cause physical or severe emotional damage. No help is provided. Given the intent to harm and actual harm caused, the act is morally negative.	test	-2.578940047244343	-2.8220741748809814
269	Clifford	You see a man laughing at a disabled co-worker while at an office softball game.	orig		9.0	9.0	6.0	0.0	-4.0	People with disabilities often face heightened social vulnerability and marginalization. (14 words)	Laughing at someone in this context suggests deliberate, mocking intent. (7 words)	Emotional harm from public ridicule is significant but not life-threatening. (8 words)	No assistance or protection was provided; harm was actively inflicted. (8 words)	High vulnerability, intent, and harm with no help imply strong immorality. (9 words)	The man who was laughing	He was being mocking or insensitive	The disabled co-worker	They may be socially or physically vulnerable due to their disability	-3.5	The agent is the man laughing, so he is identified as the actor. I assume he is acting insensitively or mockingly. The patient is the disabled co-worker, who is likely more vulnerable due to potential social or physical challenges. People with disabilities are often highly vulnerable in social mistreatment contexts. The laughter seems intentional, likely mocking, indicating high intentionality. The harm is emotional and social, not physical, so it's moderate but not extreme. No help was provided; the action itself is harmful, so help score is minimal. Given high vulnerability, high intentionality, moderate harm, and no help, the moral judgment is strongly negative.	test	-2.4063590739130865	-2.6338870525360107
270	Clifford	You see a woman watching a game on television in black-and-white instead of color.	orig		7.0	6.0	0.0	0.0	0.0	She is an average adult with normal resilience. (12 words)	Choosing to watch TV involves some intent but no deep planning. (13 words)	Watching TV causes no harm to anyone. (7 words)	No assistance or protection was provided to anyone. (9 words)	No harm or help makes it morally neutral. (8 words)	The woman watching the game	She chose to watch the game for personal interest or enjoyment	The woman watching the game	She is a typical adult capable of making her own choices	-0.1	The scenario describes a woman watching a game on a black-and-white television. There is no explicit action being performed by or upon her beyond viewing content. The agent is the woman herself, as she chooses to watch the game. No assumptions about her motives are necessary beyond basic intent to view. The patient is also the woman, as she is the one engaged in the activity. She is an average adult, so her vulnerability is medium-high. The act of watching TV is intentional but not highly so—it's a routine choice. No harm or help is caused by watching TV; it's a neutral personal activity. Thus, the moral valence is neutral.	test	-0.24036569214006676	-1.0354567766189575
271	Lotto	You have often talked with your friends about making a delicious cake which is an old family tradition. You have finally decided to give them a surprise and have invited them to come round after dinner. In the afternoon, you get down to work on the recipe and realise that you do not have any dark chocolate which is what gives this cake its very particular taste.You use milk chocolate which you already have, so you do not have to go out again. You know that your friends do not know the recipe and will not realise.	orig		7.0	6.0	1.0	6.0	2.0	Friends are typical adults with average susceptibility.	Substitution was deliberate but not maliciously planned.	Taste differs slightly; no physical or emotional harm.	Providing a surprise treat is a kind gesture.	Minimal harm, some kindness; overall slightly positive.	You (the cake maker)	You acted out of goodwill and convenience.	Your friends	They are unaware and trusting of the surprise.	2.68	The agent is the person making the cake, who substitutes dark chocolate with milk chocolate. The friends are the patients, unaware of the recipe change. They are typical adults, so medium-high vulnerability. The action was intentional but minor—planned to surprise, but substitution was out of convenience. No real harm is done—just a taste difference. The gesture is kind, aiming to delight, so some help. Morally neutral to slightly positive.	test	1.50085604861114	1.7492488622665405
272	Kruepke	When I was in sixth grade some kids from my class stole a small tree from someone's yard and planted it in the schoolyard. I went over to the tree and stomped on it.	orig		6.0	9.0	8.0	0.0	-2.0	A young tree is living but not sentient; moderate biological vulnerability. (14 words)	Stomping implies deliberate action, not accidental or impulsive. (6 words)	Stomping likely killed or severely damaged the small tree. (7 words)	No assistance or protection was provided to any being. (7 words)	High harm and intent, low help; moderately immoral. (6 words)	I (the narrator)	I acted out of moral disapproval of the theft.	The small tree	The tree was stolen and newly planted, so it was fragile.	-1.79	"The agent is the narrator (""I"") who stomped on the tree. I assume the agent acted out of a sense of justice or disapproval of the theft. The patient is the small tree, which is a living plant but not sentient. Plants have limited vulnerability—more than inanimate objects but less than animals. Stomping suggests deliberate action, likely with moderate to high intent. The harm is significant to the tree, possibly killing it. No help was provided. Morally, destroying a living plant intentionally, even to protest theft, is questionable but not severely immoral."	test	-3.3187501677114843	-2.833158254623413
273	Mickelberg	Person X said it was their friend who had driven into the neighbor's letterbox even though they did it themselves.	orig		0.0	2.0	3.0	0.0	-1.0	Letterbox is inanimate and cannot be harmed morally. (15 words)	Accidental damage likely; no evidence of planning. (6 words)	Minor structural damage, no severe consequences. (5 words)	No assistance was provided or mentioned. (5 words)	Minor harm, low intent, no help, dishonesty. (6 words)	Person X	Person X is dishonest or trying to avoid responsibility.	The neighbor's letterbox	It is an inanimate object with no sentience.	-2.67	Q1: The agent is the person who actually performed the action. In the scenario, Person X did the driving, so they are the agent.  Q2: The assumption about the agent is that they are trying to avoid blame by shifting responsibility to their friend, indicating dishonesty or fear of consequences.  Q3: The patient is the entity affected by the action—the neighbor's letterbox.  Q4: The assumption about the patient is that it is an inanimate object, not capable of feeling or being harmed in a sentient way.  Q5: The letterbox is inanimate and cannot be harmed emotionally or physically in a moral sense; thus, vulnerability is minimal.  Q6: The act of driving into a letterbox likely involved some level of control; however, unless stated otherwise, it could be an accident with low intent to cause damage.  Q7: Damage to a letterbox is typically structural but minor in broader harm terms—limited financial and functional impact.  Q8: No help was provided or mentioned in the scenario; the action was harmful, not helpful.  Q9: The moral judgment combines low patient vulnerability, low intentionality, minor harm, and no help. The lie to shift blame reduces moral acceptability slightly.	test	-1.320657944568752	-1.2662502527236938
274	Effron	Participated in an effort to clean up a city park	orig		0.0	8.0	0.0	7.0	4.0	Parks are inanimate and cannot be harmed.	Cleanup events require planning and coordination.	Cleaning causes no damage or harm.	Cleaning improves safety, beauty, and usability.	No harm, high help, fully intentional.	A local volunteer	The agent cares about community and environment	The city park	The park is a public space needing maintenance	2.72000008	The agent is a person who participated in cleaning a park, so a reasonable assumption is they are a community-minded individual. The patient is the park, an inanimate space. Parks cannot feel harm, so vulnerability is minimal. The action was likely planned as part of a community event, indicating moderate to high intentionality. Cleaning causes no harm but provides environmental and social benefits, resulting in moderate to high help. Given no harm and positive impact, the moral score is highly positive.	test	1.316235749328002	0.7905810475349426
275	Lotto	You are in Africa on holiday with four other tourists and two local guides. One of the jeeps has broken down and the guide has left with the other to get help. While waiting, you decide to cross to the other side of the river in a small boat which you have found on the banks. Halfway across, you catch sight of two large crocodiles. The first violent flick of a tail almost tips the boat over.You throw one of the tourists into the water so that the crocodiles attack him. You know that he will die mauled, but you and the other four will be able to escape.	orig		10.0	9.0	10.0	9.0	-3.0	Adult in water with crocodiles; defenseless and doomed. (19 words)	Decision made quickly but deliberately to sacrifice one for others. (18 words)	Certain death from crocodile attack; life completely ended. (16 words)	Saved four lives in immediate life-threatening situation. (15 words)	High harm outweighs help; intentional killing is severely immoral. (18 words)	You (the narrator)	You acted to save yourself and others out of survival instinct.	One of the tourists	The tourist is an average adult with no means to survive crocodile attack.	-1.74	"The agent is the person who made the decision to throw someone overboard, which is ""you"" in the scenario. It is assumed that ""you"" acted out of survival instinct. The patient is the tourist who was thrown to the crocodiles. It is assumed the tourist is a typical adult with no special defenses. The patient is highly vulnerable in the water against crocodiles. The action was deliberate under duress, indicating high intentionality. The harm caused is maximum, as death is expected. The action saved four lives, so help is substantial. Morally, sacrificing one to save many is debated, but killing intentionally is highly questionable."	test	-0.5251355183725392	-1.1528165340423584
276	Kruepke	When I was a teenager, I took my father’s car out with my friends. My parents were out of town for a couple of days. I took the car without their permission to go for a joyride.	orig		7.0	8.0	5.0	0.0	-2.0	Adult with average resilience; affected emotionally, not physically. (14 words)	Planned around parents' absence; deliberate decision to take the car. (9 words)	Broke trust and risked damage; no physical harm or major loss. (10 words)	No assistance or protection provided to anyone. (7 words)	Moderate harm and high intent reduce morality; no help given. (9 words)	The narrator (the teenager)	The teenager acted impulsively and rebelliously, seeking excitement.	The father	The father trusted his child but was unaware and unable to protect his interests.	-1.5	The agent is the teenager (the narrator), who intentionally took the car without permission. The assumption is that the agent acted rebelliously or impulsively, typical of teenage behavior. The patient is the father, who owns the car and whose trust was violated. The father is an adult with average vulnerability, so vulnerability is medium-high. The action was intentional, involving planning (parents were out of town), so intentionality is high. Harm is moderate—trust was broken and potential car damage, but no extreme consequences mentioned. No help was provided; the act didn't benefit anyone. Morally, it's somewhat negative due to betrayal of trust and risk, but not severely harmful.	test	-2.1261750791103404	-2.0760040283203125
277	Kruepke	I was working for a company putting together a project with several partners. At one point I found out that there was a partner that was providing a great deal of money by importing marijuana from Thailand. I didn't say anything to anyone.	orig		7.0	9.0	8.0	0.0	-3.0	Society has average resilience but faces systemic risks from drug trade. (18 words)	Drug smuggling requires planning, logistics, and deliberate evasion of laws. (7 words)	Drug trafficking causes societal harm, legal issues, and health risks. (6 words)	Remaining silent provided no protection or assistance to anyone. (6 words)	High harm, high intent, no help, makes it very immoral. (7 words)	The partner importing marijuana from Thailand	That they were knowingly and profitably involved in illegal drug trafficking	Society, the company, and potential drug users	That they were unaware and not directly involved in the illegal activity	-1.82	The agent is the partner importing marijuana, as they are actively engaging in illegal activity. I assumed this partner was knowingly and willingly involved in drug trafficking. The patient includes society at large, legal businesses, and potentially users affected by illicit drugs. I assumed the patient is an average member of society, indirectly harmed. Vulnerability is medium-high due to societal exposure but not direct victimization. The action was highly intentional, involving cross-border smuggling. Harm is significant due to legal, social, and health risks of drug trafficking. My silence provided no help, so help is minimal. Morally, enabling serious illegal activity without intervention is highly unacceptable.	test	-3.2324596810458557	-2.6888370513916016
278	Effron	Smoked in a no-smoking section even though others complained	orig		6.0	9.0	5.0	0.0	-3.0	Adults are moderately vulnerable to secondhand smoke but can advocate for themselves.	Smoking despite complaints shows clear awareness and deliberate disregard.	Secondhand smoke causes discomfort and health risks, but not severe injury.	No assistance was given; the action worsened the environment for others.	High intentionality and harm with no help makes this morally unacceptable.	The person who smoked	They were inconsiderate and defiant of rules and social norms	The other people in the no-smoking section	They were ordinary individuals seeking comfort and clean air	-2.424	The agent is the person who smoked despite the rules and complaints. They likely disregarded social norms and others' discomfort, suggesting a self-centered or defiant attitude. The patients are the other people present, who are typical adults exposed to secondhand smoke. They are of average vulnerability since they can be affected by smoke but are not defenseless. The action was intentional, as smoking in defiance of complaints implies awareness and choice. The harm is moderate due to health and comfort impacts from secondhand smoke. No help was provided; in fact, the action caused distress. Morally, this is unacceptable due to intentional harm to others in a confined space.	test	-2.338470717009214	-2.7804667949676514
279	Effron	Sat in the wrong seat at a game, knowing that it wasn't his	orig		4.0	2.0	1.0	0.0	-1.0	Adults are generally resilient; minor inconvenience only. (18 words)	Likely a mistake; minimal thought or intent involved. (16 words)	Only slight inconvenience; no physical or emotional harm. (17 words)	No assistance was provided to the rightful seat holder. (16 words)	Minimal harm and low intent; slightly morally negative. (17 words)	A spectator at the game	He was distracted or confused about his seat assignment	The rightful seat holder	They were an ordinary attendee expecting their assigned seat	-1.13103448	The agent is the person who sat in the wrong seat, so it must be a spectator at the game. I assume they were distracted or confused, not malicious. The patient is the rightful seat holder, likely a typical adult. They are moderately vulnerable as they’re inconvenienced but not harmed. The action was likely unintentional—probably a mistake. Minimal harm: just inconvenience. No help was provided. Morally, it's a minor infraction—slightly negative but not severe.	test	-0.3219763641047262	-0.050745293498039246
280	Mickelberg	Person X pretended to be seriously fouled by an opposing player during a soccer game.	orig		6.0	9.0	0.0	0.0	-2.0	Athletes are generally resilient but exposed to physical risks. (14 words)	Pretending to be fouled requires deliberate planning and acting. (6 words)	No physical or lasting harm resulted from the pretense. (7 words)	No assistance or protection was offered to anyone. (6 words)	Deception in sports is unethical but causes no real harm. (8 words)	Person X	Person X intended to deceive the referee for a tactical advantage.	The opposing player	The opposing player is a professional athlete, physically resilient.	-1.43	Person X is the agent, intentionally pretending to be fouled, a common deceptive tactic in soccer. The opposing player is the patient, assumed to be a typical adult athlete. They are of medium-high vulnerability due to physical exposure in sports. The action was highly intentional, involving premeditated deception. No real harm was caused, as it's simulation. No help was provided either. Morally, feigning is deceptive and unsportsmanlike, thus slightly immoral.	test	-0.7046716325054313	-0.6102892756462097
281	Effron	Stopped to let another car into the line of traffic	orig		7.0	7.0	1.0	4.0	3.0	Average adult in traffic, some risk but not defenseless (6-8).	Planned action, common courtesy, but not highly deliberate (6-8).	No harm; smooth merging causes no damage (0-2).	Helped merge safely, minor but meaningful aid (3-5).	Low harm, moderate help, clearly positive but not heroic.	The driver who stopped to let the other car in	The agent was courteous and following traffic etiquette	The driver of the car being let into traffic	The patient was an ordinary driver trying to merge safely	1.70666672	The agent is the driver who stopped to let another car in, implying a deliberate act of courtesy. The patient is the driver of the entering car, assumed to be a typical adult. They are moderately vulnerable due to being in traffic. The action was intentional but routine, involving minimal planning. No harm was caused; instead, help was provided by easing the other driver’s entry. This courteous act is mildly helpful and morally positive.	test	0.6855237114939068	0.8775272965431213
282	Kruepke	I worked at a job where I spoke with customers over the phone. One of my customers was in need of help because he was stranded in Romania. I did whatever I could to connect this person to people who could help him.	orig		8.0	9.0	0.0	9.0	4.0	Stranded in a foreign country with limited resources. (14 words)	Action involved deliberate effort to connect to assistance. (7 words)	No harm was caused by the described actions. (6 words)	Provided critical support in a potentially life-impacting situation. (7 words)	High help, high intention, no harm, high vulnerability. (7 words)	I (the customer service representative)	I was trained and responsible for assisting customers.	The customer stranded in Romania	He was in distress and unable to help himself.	2.64	"The agent is the person who took action, which is ""I"" in the scenario — the customer service worker. The assumption made is that the agent is trained and capable of helping customers. The patient is the stranded customer in Romania. The assumption is that he is in distress and unable to resolve his situation alone. Being stranded in a foreign country suggests high vulnerability, especially if lacking resources or support. The action was deliberate, as the agent actively tried to connect the customer to help. No harm was caused; instead, help was provided. The help was substantial, possibly life-impacting, though not necessarily a physical rescue. Given high vulnerability, high intentionality, no harm, and significant help, the moral acceptability is high."	test	2.56988167730377	2.8423101902008057
283	Effron	Siphoned gas from a car parked on the street	orig		6.0	9.0	7.0	0.0	-3.0	An average adult, financially and emotionally impacted. (13 words)	Siphoning requires tools and planning, indicating deliberate intent. (7 words)	Significant financial and emotional harm, but no physical injury. (8 words)	No assistance or benefit was provided to anyone. (7 words)	High intent and harm, no help, clearly immoral. (6 words)	A thief	The agent was dishonest and seeking personal gain.	The car owner	The patient was an unaware, law-abiding individual.	-2.728	The agent is likely a person committing theft, so a stranger or thief fits. The assumption is they acted dishonestly. The patient is the car owner, an average adult. They are moderately vulnerable as they suffer financial and emotional harm. Siphoning gas requires planning, so intentionality is high. The harm includes financial loss and inconvenience, significant but not extreme. No help was provided. Overall, the act is immoral due to intentional theft causing harm.	test	-2.9919903508107275	-2.857362985610962
284	Kruepke	Ten years ago I was staying with a friend who lived in a house of a very famous man. There were many autographed books in the house. I stole one of the books, which was autographed by a very famous celebrity.	orig		6.0	9.0	7.0	0.0	-3.0	The patient is a typical adult with normal resilience. (12 words)	Stealing involves deliberate decision and conscious effort. (7 words)	Loss of a unique, autographed item causes significant harm. (7 words)	No assistance or protection was provided to anyone. (7 words)	High harm and intentionality, no help: strongly immoral. (7 words)	I (the narrator)	The agent acted out of personal desire or temptation.	The very famous man who owned the house and the book.	The patient likely valued the autographed book as a personal or valuable item.	-2.48	"The agent is the speaker (""I""), who committed the theft. The assumption is that the agent acted out of personal desire or temptation. The patient is the very famous man, whose property was taken. The assumption is that he valued his possessions, especially autographed items. The patient has medium-high vulnerability (6) as a typical adult, not defenseless. The action was intentional (9), as stealing requires deliberate choice. Harm is medium-high (7) due to loss of a valuable, sentimental item. Help is minimal (0), as no assistance was provided. Morality is negative: high intentionality and harm with no help leads to -3."	test	-2.9919903508107275	-2.857362985610962
285	Clifford	You see a college student drinking until she vomits on herself and falls asleep.	orig		9.0	4.0	7.0	0.0	-2.0	Unconscious and unable to defend or care for herself. (14 words)	Drinking to excess was likely impulsive, not planned self-harm. (13 words)	Significant physical distress and health risk, but not life-ending. (12 words)	No action taken to assist; passive observation only. (9 words)	Self-harm and inaction make it morally concerning but not malicious. (13 words)	The college student herself	She is an autonomous adult making choices, possibly influenced by peer pressure or poor judgment	The college student herself	She is physically impaired and unaware, unable to protect herself	-2.3	The agent is the college student herself, as she is performing the action of drinking. The assumption is that she is an autonomous adult making personal choices, possibly under social pressure or poor judgment. The patient is also the same student, as she is harmed by her own actions—vomiting and passing out indicate physical distress. She is highly vulnerable due to impaired consciousness and loss of bodily control, placing her at risk of injury or worse. The action was not intentional in causing harm; excessive drinking may have been impulsive or socially motivated, not aimed at self-harm. The harm is significant—physical illness, potential aspiration, and inability to respond to threats—warranting a high score. No help was provided in the scenario; the observation is passive. Morally, the scenario is negative due to self-harm and lack of intervention, but not maximally immoral since no one actively caused harm to another. Thus, a moderately negative moral judgment is appropriate.	test	-2.103093134647615	-2.4167873859405518
286	Lotto	You are the commander of a group of astronauts in a space station orbiting the earth. Because of a breakdown, you have discovered a serious loss of pressurisation which in a short time will lead to the oxygen supply running out in the control cabin, where you and five other astronauts are. The emergency system is broken down and cannot be repaired immediately.You activate the bulkheads manually to isolate the depressurisation to just one cabin. You know that there are two astronauts there, and they will suffocate from a lack of oxygen, but you and the other five will be saved.	orig		10.0	9.0	10.0	10.0	2.0	Helpless in a life-threatening, inescapable situation. (13 words)	Action taken after assessment and deliberate decision-making. (6 words)	Results in certain death of two individuals. (6 words)	Saves the lives of five other astronauts. (6 words)	Sacrifices few to save many; morally complex but justifiable. (9 words)	The commander	The commander is responsible and rational, acting under emergency conditions	The two astronauts in the isolated cabin	They are conscious, trapped, and unable to save themselves	-1.15	The agent is the commander, as they made the decision and performed the action. The commander is assumed to be responsible and rational, acting under extreme pressure. The patients are the two astronauts trapped in the isolated cabin. They are assumed to be conscious and unable to escape, thus highly vulnerable. Their vulnerability is maximum due to helplessness in a life-threatening situation. The action was highly intentional, involving a deliberate choice after assessment. The harm is maximum, as it results in death. The help is maximum, as five lives are saved. Morally, this is a tragic dilemma; sacrificing two to save five may be seen as acceptable but not without moral cost.	test	-0.18047192543054513	-0.5060566663742065
287	Kruepke	I slept with one of my math teachers and I really hope nobody ever finds out about it. At the time he said he was separated from his wife, so I knew that he was married.	orig		7.0	8.0	7.0	1.0	-3.0	Adult with authority, but emotional and professional risks increase vulnerability	Decision made with awareness of relationship dynamics and consequences	Significant emotional, professional, and reputational damage possible	No direct help provided to anyone through this action	High intentionality and harm outweigh minimal help; power imbalance reduces acceptability	The student (narrator)	That the teacher was separated and thus emotionally available	The math teacher	That he was in a position of authority but not currently in a committed marital relationship	-2.75	The agent is the person who initiated the action—in this case, the student (narrator). The assumption made is that the teacher was separated, thus not fully violating marital trust at the time. The patient is the teacher, who is in a position of authority and trust. Though adults are generally medium-high in vulnerability, power dynamics in teacher-student relationships increase vulnerability. The act was likely intentional, given emotional context and decision-making. Potential harm includes emotional, reputational, and professional consequences for both parties. Little to no help resulted. Morally, due to power imbalance and ethical breaches, the act is highly questionable.	test	-2.43503111996986	-1.1575847864151
288	Mickelberg	Person X found a wallet with $50 in it, took the money out and left the wallet on the floor.	orig		7.0	9.0	5.0	0.0	-3.0	The owner is an average adult, moderately vulnerable to financial loss. (14 words)	Person X deliberately took money, showing clear intent and decision-making. (8 words)	$50 loss is financially harmful but not devastating or life-threatening. (9 words)	No help was given; the action was harmful, not helpful. (10 words)	High intent and harm, no help, makes it morally unacceptable. (9 words)	Person X	Person X acted out of self-interest and likely knew the wallet wasn't theirs.	The owner of the wallet	The owner is a typical adult who lost their wallet and may need the money.	-2.35	Person X is the agent who took money from a found wallet. The action was deliberate—removing money and leaving the wallet shows intent to keep it. The wallet’s owner is the patient, though unseen. They are a typical adult, so medium-high vulnerability. The act was intentional, not impulsive. Taking $50 causes moderate financial harm but no physical or emotional extreme. No help was provided; instead, harm was done. Morally, this is clearly wrong but not extreme like violence or life-threatening acts.	test	-2.252180230343586	-2.425767183303833
289	Mickelberg	Person X won the door prize at the town's community fair.	orig		7.0	2.0	0.0	3.0	2.0	Person X is a typical adult with average vulnerability. (14 words)	Winning was random; no planning or intent involved. (7 words)	No harm; winning a prize is a positive event. (8 words)	Receiving a prize provides minor personal benefit. (6 words)	No harm, slight benefit; morally neutral to positive. (9 words)	Person X	Person X was a fair participant in the raffle.	Person X	Person X benefited from the prize win.	0.44	Person X won the door prize, meaning they were selected randomly. The agent is Person X, as they performed the action of winning. No special assumption about the agent is needed beyond being a participant. The patient is also Person X, since they are affected by winning. Winning a prize typically affects the recipient positively. The patient has medium-high vulnerability (typical adult), as no special protections apply. The action was not intentional—it was random luck (low intentionality). No harm was caused; instead, minor help occurred due to receiving a prize. Thus, the moral score is slightly positive.	test	1.2976456916188968	1.165138602256775
290	Mickelberg	Person X drove across the country just to see a friend who had recently lost his wife.	orig		9.0	10.0	0.0	9.0	4.0	Recent bereavement significantly increases emotional vulnerability. (14 words)	Cross-country travel requires planning and clear intent. (6 words)	The action was supportive, not harmful. (5 words)	Presence during grief can offer critical emotional support. (7 words)	High help, high intention, no harm, vulnerable patient. (7 words)	Person X	Person X is compassionate and values deep personal relationships.	The friend who lost his wife	The friend is grieving and emotionally vulnerable after losing his spouse.	3.04	Person X is the agent who drove across the country, indicating a deliberate and planned action. The assumption is that Person X is compassionate and values friendship. The patient is the friend who lost his wife, implying emotional vulnerability due to recent bereavement. The friend is highly vulnerable (Q5) because grief increases susceptibility to emotional harm or support. The action was highly intentional (Q6) given the effort and planning required for a cross-country trip. No harm was caused (Q7); instead, the act likely provided emotional support. The help offered is substantial, possibly critical during mourning (Q8). Thus, the scenario is highly moral (Q9).	test	2.530167012736153	2.889568567276001
291	Lotto	You are a lion-tamer on tour with a show of wild animals used in circus acts. During the show, you notice that one of the lions has suddenly become aggressive. You see that it is not responding to your commands, is baring its teeth and is about to launch into the front row audience. Near you there are two assistants.You push the two assistants towards the lion so that it will attack them. You know that they will die mauled, but the audience will have time to escape to safety.	orig		9.0	9.0	10.0	10.0	-3.0	Adults with no protection facing a wild predator are highly vulnerable	The act was a calculated decision to redirect the lion, not impulsive	The assistants will be mauled to death—maximum physical harm	The audience is saved from likely death or injury	High harm and intentionality outweigh saving others, making it immoral	The lion-tamer	The lion-tamer is making a deliberate choice to save the audience at the cost of others	The two assistants	The assistants are innocent, unaware, and unable to defend themselves in this situation	-1.81	The agent is the lion-tamer, as they performed the action of pushing the assistants. It is assumed the tamer is in control of their decisions and acting under perceived necessity. The patients are the two assistants, who are typical adults with no special protection. They are highly vulnerable as they are defenseless against a lion. The action was highly intentional, done to divert the lion. The harm is maximum, as the assistants will die. The help is maximum, as the audience is saved from attack. Morally, sacrificing two lives to save many is debated, but intentional killing lowers moral acceptability.	test	-0.2667624120961729	-0.7715334296226501
292	Mickelberg	Person X circulated a petition in support of civil rights for people in juvenile detention.	orig		10.0	9.0	0.0	8.0	4.0	Minors in detention lack power and protection, highly vulnerable.	Circulating a petition requires planning and deliberate effort.	Advocacy causes no harm; it promotes rights and awareness.	Supporting civil rights can lead to meaningful systemic change.	High help, no harm, high vulnerability, and intent increase morality.	Person X	Person X is socially conscious and advocates for justice.	People in juvenile detention	They are minors deprived of freedom and autonomy.	2.54	Person X is the agent who initiated the petition, implying proactive advocacy. The assumption is that Person X is socially conscious and motivated to support marginalized groups. The patients are juveniles in detention, who are minors in a controlled, restrictive environment. This makes them highly vulnerable due to age, lack of autonomy, and institutional power imbalances. The action of circulating a petition suggests planning and purpose, indicating high intentionality. No harm is caused by advocating for rights; if anything, the action aims to reduce harm. The petition could raise awareness and lead to reforms, offering meaningful support. Given high vulnerability, high help, no harm, and high intentionality, the act is highly moral.	test	2.3977990576930326	2.9562528133392334
293	Effron	Volunteered his time for a campaign to help save the seals	orig		9.0	9.0	0.0	8.0	4.0	Seals are defenseless animals facing environmental and human threats. (13 words)	Volunteering involves deliberate choice and commitment to a cause. (8 words)	The action aimed to protect, not harm, so no harm occurred. (10 words)	Volunteering supports a campaign that can significantly aid seal conservation. (9 words)	High help, no harm, high intentionality, and vulnerable patient imply strong moral good. (14 words)	The volunteer	The agent is altruistic and concerned about animal welfare	The seals	The seals are defenseless and at risk of harm from human activities	2.62222216	The agent is the person who volunteered, so it must be an individual human. I assume the agent is well-intentioned, as volunteering for a cause suggests altruism. The patient is the seals, non-human animals often seen as vulnerable due to inability to defend themselves. Seals are defenseless against human threats and environmental dangers, so vulnerability is high. The action was volunteering time, which implies planning and purpose, indicating high intentionality. No harm was caused; the action was protective. The help was meaningful—supporting a conservation campaign—likely involving advocacy or resources. High help, no harm, high intentionality, and high patient vulnerability lead to a highly moral rating.	test	2.311508571027405	2.8020989894866943
294	Effron	Hit a car and left the scene of the accident	orig		7.0	5.0	6.0	0.0	-3.0	Typical adult with average physical resilience and potential injury risk.	Accident likely unintentional, but leaving was a conscious choice.	Property damage or injury possible; harm is significant but not fatal.	Leaving the scene means no assistance was given.	Harm done, no help; fleeing worsens moral blame.	The driver of the car that caused the accident	They were driving the vehicle and failed to stop after the collision	The driver or owner of the car that was hit	They were an ordinary person, possibly injured or distressed	-3.576	The agent is likely the driver of the vehicle that caused the collision. It is assumed they were operating the car, possibly negligently. The patient is the owner or driver of the hit car, assumed to be a typical adult. The patient has medium-high vulnerability as they could be injured. The action was likely unintentional (accident), but fleeing increases intentionality. Harm could range from property damage to injury. No help was provided by leaving. Morality is negative due to harm and no aid.	test	-2.0749194423113604	-1.3208974599838257
295	Effron	Comforted a man whose wife had recently died	orig		9.0	9.0	0.0	8.0	4.0	Recent bereavement makes the man highly emotionally vulnerable. (14 words)	Comforting involves deliberate, thoughtful emotional engagement. (6 words)	No harm was caused; the action was supportive. (7 words)	Emotional comfort can be critical in grief recovery. (7 words)	High help, no harm, high intention: strongly moral. (6 words)	The person who offered emotional support	The agent is empathetic and caring	The widowed man	The patient is grieving and emotionally distressed	2.7428572	The agent is the person who provided comfort, likely someone empathetic and emotionally supportive. The patient is the grieving man who lost his wife, assumed to be emotionally devastated. Losing a spouse causes deep emotional pain, making the patient highly vulnerable. The act of comforting is typically deliberate and compassionate, indicating high intentionality. No harm is caused; instead, emotional support is provided, likely substantial in a time of grief. This results in significant help, possibly critical in preventing deeper despair. Thus, the action is highly moral.	test	2.311508571027405	2.8020989894866943
296	Mickelberg	Person X regularly sings at a prison in order to entertain the inmates.	orig		7.0	9.0	0.0	7.0	3.0	Inmates have restricted freedom, increasing susceptibility to emotional harm or neglect. (14 words)	Regular singing implies planning and deliberate intent to entertain. (6 words)	Singing to entertain causes no harm. (5 words)	Entertainment provides emotional relief, offering meaningful psychological support. (7 words)	High help, no harm, and moderate vulnerability yield strong moral positivity. (8 words)	Person X	Person X chose to sing voluntarily to uplift others.	The inmates	The inmates are in a controlled environment with limited autonomy.	2.26	Person X is the agent performing the singing, a voluntary act intended to entertain. The inmates are the patients, who are in a restricted environment, increasing their vulnerability. Singing is a deliberate, planned action, so intentionality is high. No harm is caused; instead, emotional or psychological support is provided, increasing well-being. The moral score is positive due to high help and low harm, despite patient vulnerability.	test	1.7942640047541543	2.2152955532073975
