id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score	think_trace	split	regression_score	mlp_score
287	Kruepke	I slept with one of my math teachers and I really hope nobody ever finds out about it. At the time he said he was separated from his wife, so I knew that he was married.	orig		6.0	7.0	5.0	0.0	-2.0	The teacher is an adult with some susceptibility to harm	The action was likely premeditated to some extent	The harm could be emotional or reputational but not physical	The action did not provide any help	Moderate harm, high intentionality, no help	The person who slept with the math teacher	The agent believed the teacher was separated from his wife	The math teacher	The teacher was separated from his wife	-2.75	1. Identify the agent: The person who took the action of sleeping with the math teacher. 2. Identify the assumption about the agent: The agent knew the teacher was married but believed he was separated. 3. Identify the patient: The math teacher. 4. Identify the assumption about the patient: The teacher was separated from his wife. 5. Assess the vulnerability of the patient: The teacher is an adult with some susceptibility to harm. 6. Assess the intentionality of the action: The action was likely premeditated to some extent. 7. Assess the harm caused: The harm could be emotional or reputational but not physical. 8. Assess the help caused: The action did not provide any help. 9. Determine the moral acceptability: Based on the vulnerability, intentionality, harm, and help, assess the morality.	test	-2.157126059333438	-2.126990795135498
288	Mickelberg	Person X found a wallet with $50 in it, took the money out and left the wallet on the floor.	orig		7.0	7.0	6.0	0.0	-3.0	The owner is an average person.	Person X took the money deliberately.	The owner lost $50.	No help was provided.	Intentional theft and harm caused.	Person X	Person X is an individual who found the wallet.	The owner of the wallet	The owner is an average person who lost their wallet.	-2.35	1. Identify the agent: Person X. 2. Assumption about the agent: Person X is an individual who found the wallet. 3. Identify the patient: The owner of the wallet. 4. Assumption about the patient: The owner is an average person who lost their wallet. 5. Assess vulnerability: The wallet owner is an average person, so medium-high vulnerability. 6. Assess intentionality: Person X took the money deliberately, so medium-high intentionality. 7. Assess harm: The owner lost $50, which is significant but not devastating, so medium-high harm. 8. Assess help: No help was provided, so minimum help. 9. Assess moral acceptability: The action is highly immoral due to intentional theft and harm caused.	test	-2.3592621775059235	-2.109602451324463
289	Mickelberg	Person X won the door prize at the town's community fair.	orig		6.0	2.0	0.0	4.0	3.0	Person X is an adult with average resilience.	Winning a door prize is usually by chance.	Winning a door prize does not cause harm.	Winning a door prize provides some benefit or joy.	No harm and some benefit make it morally positive.	Person X	Person X is a typical adult.	Person X	Person X is a typical adult.	0.44	1. Identify the agent: Person X. 2. Assumption about the agent: Person X is a typical adult. 3. Identify the patient: The patient is the recipient of the action, which in this case is Person X. 4. Assumption about the patient: Person X is a typical adult. 5. Assess vulnerability: Person X is a typical adult with average resilience. 6. Assess intentionality: Winning a door prize is usually a result of chance, not intentional action. 7. Assess harm: Winning a door prize does not cause harm. 8. Assess help: Winning a door prize provides some benefit or joy. 9. Assess moral acceptability: The scenario is morally neutral to positive as it involves no harm and some benefit.	test	1.5874037354435266	1.382352352142334
290	Mickelberg	Person X drove across the country just to see a friend who had recently lost his wife.	orig		9.0	9.0	0.0	8.0	4.0	The friend is grieving and highly susceptible to emotional harm.	Driving across the country requires significant planning and intent.	No harm is caused by visiting a grieving friend.	Providing emotional support in a time of grief is substantial help.	High vulnerability, high intentionality, no harm, substantial help.	Person X	Person X is a caring friend.	The friend who lost his wife	The friend is grieving and emotionally vulnerable.	3.04	1. Identify the agent: Person X. 2. Assumption about the agent: Person X is a friend who cares about the patient. 3. Identify the patient: The friend who lost his wife. 4. Assumption about the patient: The friend is grieving and emotionally vulnerable. 5. Assess the patient's vulnerability: The friend is likely highly vulnerable due to recent loss. 6. Assess the intentionality of the action: Driving across the country requires significant planning and intent. 7. Assess the harm caused: No harm is caused by visiting a grieving friend. 8. Assess the help provided: Providing emotional support in a time of grief is substantial help. 9. Determine the moral acceptability: High vulnerability, high intentionality, no harm, and substantial help suggest a highly moral action.	test	2.2864635110090865	2.4739813804626465
291	Lotto	You are a lion-tamer on tour with a show of wild animals used in circus acts. During the show, you notice that one of the lions has suddenly become aggressive. You see that it is not responding to your commands, is baring its teeth and is about to launch into the front row audience. Near you there are two assistants.You push the two assistants towards the lion so that it will attack them. You know that they will die mauled, but the audience will have time to escape to safety.	orig		10.0	9.0	10.0	10.0	-3.0	The assistants are defenseless against a lion.	The action was intentional to save the audience.	The harm is maximum as the assistants are likely to be killed.	The help is maximum as it saves the audience from a life-threatening situation.	Balancing extreme harm to assistants against critical help to audience.	The lion-tamer	The lion-tamer is responsible for the safety of the audience and the assistants.	The two assistants	The assistants are vulnerable to the lion's attack.	-1.81	1. Identify the agent: The lion-tamer. 2. Assumption about the agent: The lion-tamer is responsible for the safety of the audience and the assistants. 3. Identify the patient: The two assistants. 4. Assumption about the patient: The assistants are vulnerable to the lion's attack. 5. Assess vulnerability: The assistants are highly vulnerable as they are defenseless against a lion. 6. Assess intentionality: The action was intentional to save the audience. 7. Assess harm: The harm is maximum as the assistants are likely to be killed. 8. Assess help: The help is maximum as it saves the audience from a life-threatening situation. 9. Assess moral acceptability: Balancing the extreme harm to the assistants against the critical help to the audience.	test	-0.2216830297213025	-0.05757234990596771
292	Mickelberg	Person X circulated a petition in support of civil rights for people in juvenile detention.	orig		9.0	8.0	0.0	7.0	4.0	Juvenile detainees are highly susceptible to harm and mistreatment.	Circulating a petition requires planning and deliberate action.	Circulating a petition does not cause harm.	Circulating a petition can provide substantial support and raise awareness.	The action is highly moral as it aims to support vulnerable individuals.	Person X	Person X is likely an advocate for civil rights.	People in juvenile detention	They are vulnerable individuals, often minors, in a controlled environment.	2.54	1. Identify the agent: Person X. 2. Assumption about the agent: Person X is likely an advocate for civil rights. 3. Identify the patient: People in juvenile detention. 4. Assumption about the patient: They are vulnerable individuals, often minors, in a controlled environment. 5. Assess vulnerability: Juvenile detainees are highly susceptible to harm and mistreatment. 6. Assess intentionality: Circulating a petition requires planning and deliberate action. 7. Assess harm: Circulating a petition does not cause harm. 8. Assess help: Circulating a petition can provide substantial support and raise awareness. 9. Assess moral acceptability: The action is highly moral as it aims to support vulnerable individuals.	test	2.0974028196924723	2.184931755065918
293	Effron	Volunteered his time for a campaign to help save the seals	orig		10.0	9.0	0.0	8.0	4.0	Seals are defenseless and highly susceptible to harm.	Volunteering is a deliberate and planned action.	No harm was caused by volunteering.	Volunteering for a campaign provides substantial assistance.	Helping vulnerable animals is highly moral.	The person who volunteered	Likely a compassionate individual	The seals	Seals are vulnerable animals	2.62222216	1. Identify the agent: The person who volunteered. 2. Assumption about the agent: Likely a compassionate individual. 3. Identify the patient: The seals. 4. Assumption about the patient: Seals are vulnerable animals. 5. Assess vulnerability: Seals are defenseless and highly susceptible to harm. 6. Assess intentionality: Volunteering is a deliberate and planned action. 7. Assess harm: No harm was caused by volunteering. 8. Assess help: Volunteering for a campaign provides substantial assistance. 9. Assess moral acceptability: Helping vulnerable animals through intentional and beneficial actions is highly moral.	test	2.4154676159766137	2.522502899169922
294	Effron	Hit a car and left the scene of the accident	orig		1.0	6.0	6.0	0.0	-3.0	The car is an inanimate object	Leaving the scene suggests some intentionality	Damage to the car can be significant	No help was provided by leaving the scene	The action is irresponsible and harmful	The driver who hit the car	The driver was likely careless or in a hurry	The car that was hit	The car belongs to another person	-3.576	1. Identify the agent: The person who hit the car. 2. Assumption about the agent: Likely a driver who was either careless or in a hurry. 3. Identify the patient: The car that was hit. 4. Assumption about the patient: The car belongs to another person who will be affected by the damage. 5. Assess vulnerability: The car is an inanimate object, so it has minimal vulnerability. 6. Assess intentionality: Leaving the scene suggests some level of intentionality, but the initial hit could be accidental. 7. Assess harm: Damage to the car can be significant but not life-threatening. 8. Assess help: No help was provided by leaving the scene. 9. Assess moral acceptability: The action is generally considered immoral due to the lack of responsibility and potential harm caused.	test	-2.9852217057765946	-1.8564817905426025
295	Effron	Comforted a man whose wife had recently died	orig		9.0	8.0	0.0	7.0	4.0	Grieving due to recent loss	Likely planned to provide comfort	No harm caused	Significant emotional support	Supportive and empathetic action	The person who comforted the man	Empathetic and caring individual	The man whose wife had recently died	Grieving and emotionally vulnerable	2.7428572	1. Identify the agent: The person who comforted the man. 2. Assumption about the agent: Likely someone empathetic and caring. 3. Identify the patient: The man whose wife had recently died. 4. Assumption about the patient: Likely grieving and emotionally vulnerable. 5. Assess the patient's vulnerability: High due to recent loss. 6. Assess the intentionality of the action: Likely intentional and planned to provide comfort. 7. Assess the harm caused: Likely none, as the action is comforting. 8. Assess the help caused: Likely significant emotional support. 9. Assess the moral acceptability: Likely highly moral due to the supportive nature of the action.	test	2.0974028196924723	2.184931755065918
296	Mickelberg	Person X regularly sings at a prison in order to entertain the inmates.	orig		6.0	8.0	0.0	7.0	3.0	Inmates are somewhat vulnerable but not defenseless.	Singing at a prison is likely a planned activity.	Singing is generally not harmful.	Singing can provide entertainment and emotional relief.	The action is planned, not harmful, and provides help.	Person X	Person X is likely a volunteer or performer.	Inmates	Inmates are individuals in a controlled environment.	2.26	1. Identify the agent: Person X. 2. Assumption about the agent: Person X is likely a volunteer or performer. 3. Identify the patient: Inmates. 4. Assumption about the patient: Inmates are individuals in a controlled environment. 5. Assess vulnerability: Inmates are somewhat vulnerable due to their environment but not defenseless. 6. Assess intentionality: Singing at a prison is likely a planned activity. 7. Assess harm: Singing is generally not harmful. 8. Assess help: Singing can provide entertainment and emotional relief. 9. Assess moral acceptability: Weighing vulnerability, intentionality, harm, and help, the action seems morally positive.	test	1.7103905047898897	1.9349184036254883
297	Clifford	You see a man lashing his pony with a whip for breaking loose from its pen.	orig		9.0	8.0	7.0	0.0	-4.0	The pony is defenseless and highly susceptible to harm	The man is deliberately lashing the pony	Lashing causes significant physical pain and potential injury	The action does not provide any help or protection	High vulnerability, high intentionality, significant harm, no help	The man	The man is the owner or caretaker of the pony	The pony	The pony is a domesticated animal, likely dependent on the man	-2.9	1. Identify the agent: The man. 2. Assumption about the agent: The man is the owner or caretaker of the pony. 3. Identify the patient: The pony. 4. Assumption about the patient: The pony is a domesticated animal, likely dependent on the man. 5. Assess vulnerability: The pony is a defenseless animal, highly susceptible to harm. 6. Assess intentionality: The man is deliberately lashing the pony, indicating a high level of intentionality. 7. Assess harm: Lashing with a whip causes significant physical pain and potential injury. 8. Assess help: The action does not provide any help or protection. 9. Assess moral acceptability: High vulnerability, high intentionality, significant harm, and no help make the action highly immoral.	test	-2.5804592922453753	-2.468526840209961
298	Kruepke	When I was a kid, my father owned and operated movie theaters and we owned a large projector. One time when I was in grammar school, I decided to steal a film that I liked. So I stole the film and brought it home to watch.	orig		1.0	7.0	3.0	0.0	-2.0	The film is an inanimate object.	The child decided to steal the film.	Minor harm as it involves taking a film.	No help was provided.	Theft is somewhat immoral, but harm is minimal.	The narrator (the child)	The agent is a child who likes movies.	The film	The film is an inanimate object.	-1.6	1. Identify the agent: The person who stole the film. 2. Assumption about the agent: The agent is the narrator, who is a child. 3. Identify the patient: The film that was stolen. 4. Assumption about the patient: The film is an inanimate object. 5. Assess vulnerability: The film is an inanimate object, so it has minimal vulnerability. 6. Assess intentionality: The action was deliberate, as the child decided to steal the film. 7. Assess harm: The harm is minor, as it involves taking a film without permission. 8. Assess help: No help was provided in this scenario. 9. Assess moral acceptability: The action is somewhat immoral due to theft, but the harm is minimal.	test	-2.1398661378910484	-2.2237961292266846
299	Clifford	You see a man loudly telling his wife that the dinner she cooked tastes awful.	orig		7.0	7.0	4.0	0.0	-3.0	The wife is an adult with average resilience	The man expressed his opinion loudly, indicating some planning	The action is an insult causing emotional harm	The action does not provide any help	The action is hurtful and lacks justification	The man	He is likely frustrated or upset	The wife	She is likely feeling hurt or insulted	-2.4	1. Identify the agent: The man is the one performing the action. 2. Assumption about the agent: The man is likely frustrated or upset. 3. Identify the patient: The wife is the one being affected by the action. 4. Assumption about the patient: The wife is likely feeling hurt or insulted. 5. Assess the vulnerability of the patient: The wife is an adult, so she has medium-high vulnerability. 6. Assess the intentionality of the action: The man is loudly expressing his opinion, which suggests some degree of thought and planning. 7. Assess the harm caused: The action is an insult, causing emotional harm. 8. Assess the help caused: The action does not provide any help. 9. Assess the moral acceptability: The action is hurtful and lacks justification, making it morally unacceptable.	test	-1.6969817312258972	-2.0329229831695557
300	Clifford	You see a woman burping and farting loudly while eating at a fast food truck.	orig		6.0	4.0	3.0	0.0	-1.0	Typical adults, somewhat susceptible to discomfort	The action seems impulsive, not premeditated	Causes minor social discomfort	No help is provided by the action	Minor social discomfort, not highly immoral	The woman burping and farting	She is likely unaware or indifferent to social norms	Other people around the fast food truck	They are likely annoyed or uncomfortable	-2.1	1. Identify the agent: The woman burping and farting. 2. Assumption about the agent: She is likely unaware or indifferent to social norms. 3. Identify the patient: Other people around the fast food truck. 4. Assumption about the patient: They are likely annoyed or uncomfortable. 5. Assess vulnerability: The people around are typical adults, somewhat susceptible to discomfort. 6. Assess intentionality: The action seems impulsive, not premeditated. 7. Assess harm: The action causes minor social discomfort. 8. Assess help: No help is provided by the action. 9. Assess moral acceptability: Minor social discomfort, not highly immoral.	test	-1.050650308449931	-1.3378043174743652
301	Cook	Someone makes a post on Twitter making fun of police ofcers	orig		4.0	7.0	4.0	0.0	-1.0	Police officers are resilient but can be affected by public perception	Posting on social media is usually deliberate	Making fun of someone can cause minor emotional harm	The action does not provide any help	Minor harm, no help, context of free speech	The person who made the post on Twitter	An individual with access to social media	The police officers	Police officers, who are generally resilient	-1.59	1. Identify the agent: The person who made the post on Twitter. 2. Assumption about the agent: Likely an individual with access to social media. 3. Identify the patient: The police officers being made fun of. 4. Assumption about the patient: Police officers, who are generally resilient and have authority. 5. Assess vulnerability: Police officers are generally resilient but can be affected by public perception. 6. Assess intentionality: Posting on social media is usually a deliberate action. 7. Assess harm: Making fun of someone can cause minor emotional harm. 8. Assess help: The action does not provide any help. 9. Assess moral acceptability: Weighing the minor harm against the lack of help and the context of free speech.	test	-2.0839940461284794	-2.000138521194458
302	Mickelberg	Person X hosted a fundraising dinner to raise money for a local homeless shelter.	orig		9.0	9.0	0.0	8.0	4.0	The shelter supports highly vulnerable individuals.	Hosting a fundraising dinner requires planning and deliberate effort.	No harm is caused by hosting a fundraising dinner.	Provides substantial assistance to the homeless shelter.	High level of help and no harm caused.	Person X	Person X is likely a community member or someone interested in helping the homeless.	The local homeless shelter	The shelter supports vulnerable individuals.	3.24	1. Identify the agent: Person X. 2. Assumption about the agent: Person X is likely a community member or someone with an interest in helping the homeless. 3. Identify the patient: The local homeless shelter. 4. Assumption about the patient: The shelter is an organization that supports vulnerable individuals. 5. Assess vulnerability: The homeless shelter supports highly vulnerable individuals. 6. Assess intentionality: Hosting a fundraising dinner requires planning and deliberate effort. 7. Assess harm: No harm is caused by hosting a fundraising dinner. 8. Assess help: Hosting a fundraising dinner provides substantial assistance to the homeless shelter. 9. Assess moral acceptability: The action is highly moral due to the high level of help and no harm caused.	test	2.2864635110090865	2.4739813804626465
303	Mickelberg	Person X sneezed loudly in an important meeting.	orig		7.0	1.0	3.0	0.0	0.0	Typical adults have medium-high vulnerability.	Sneezing is generally accidental.	Sneezing loudly may cause minor disruption.	Sneezing does not provide any help.	Minor disruption with no intent or help.	Person X	Person X is a typical adult.	Attendees of the important meeting	The attendees are typical adults.	-0.11	1. Identify the agent of the action: Person X. 2. Assume the agent is a typical adult. 3. Identify the patient affected by the action: the attendees of the important meeting. 4. Assume the patients are typical adults. 5. Evaluate the vulnerability of the patients: typical adults have medium-high vulnerability. 6. Evaluate the intentionality of the action: sneezing is generally accidental. 7. Evaluate the harm caused: sneezing loudly may cause minor disruption. 8. Evaluate the help caused: sneezing does not provide any help. 9. Determine the moral acceptability based on the previous evaluations.	test	-0.4774508988789235	-0.7474441528320312
304	Mickelberg	Person X translated the menu items for a foreigner in a restaurant.	orig		6.0	8.0	0.0	7.0	4.0	Language barrier makes the foreigner somewhat vulnerable.	Translating requires deliberate thought and effort.	No harm is caused by translating.	Translating the menu provides substantial assistance.	Significant help without causing harm is highly moral.	Person X	Person X is capable of translating.	The foreigner	The foreigner needs help understanding the menu.	2.54	1. Identify the agent: Person X. 2. Assumption about the agent: Person X is capable of translating. 3. Identify the patient: The foreigner. 4. Assumption about the patient: The foreigner needs help understanding the menu. 5. Assess the vulnerability of the patient: The foreigner is somewhat vulnerable due to language barrier. 6. Assess the intentionality of the action: Translating requires deliberate thought and effort. 7. Assess the harm caused: No harm is caused by translating. 8. Assess the help caused: Translating the menu provides substantial assistance. 9. Determine moral acceptability: The action is highly moral as it provides significant help without causing harm.	test	1.7103905047898897	1.9349184036254883
305	Clifford	You see a student stating that her professor is a fool during an afternoon class.	orig		6.0	7.0	4.0	0.0	-2.0	The professor is an adult with average resilience.	The student likely made the statement with some degree of thought.	The statement is an insult, causing minor harm.	The statement does not provide any help.	The action is somewhat immoral due to the insult.	The student	The student is likely frustrated or upset.	The professor	The professor is an adult and likely has some resilience.	-2.0	1. Identify the agent: The student who made the statement. 2. Assumption about the agent: The student is likely frustrated or upset. 3. Identify the patient: The professor who was called a fool. 4. Assumption about the patient: The professor is an adult and likely has some resilience. 5. Assess vulnerability: The professor is an adult with average resilience. 6. Assess intentionality: The student likely made the statement with some degree of thought. 7. Assess harm: The statement is an insult, causing minor harm. 8. Assess help: The statement does not provide any help. 9. Assess moral acceptability: The action is somewhat immoral due to the insult.	test	-1.8259858361934245	-2.0219950675964355
306	Mickelberg	Person X drove an hour out of their way to pick up a friend and drive him to work because his car had broken down.	orig		7.0	8.0	0.0	9.0	4.0	The friend is an adult with average resilience.	Person X planned and executed the action deliberately.	No harm was caused by the action.	Person X provided critical assistance.	Significant help was provided without causing harm.	Person X	Person X is a considerate friend.	The friend whose car broke down	The friend is an adult needing to get to work.	3.08	1. Identify the agent: Person X. 2. Assumption about the agent: Person X is a friend and a considerate individual. 3. Identify the patient: The friend whose car broke down. 4. Assumption about the patient: The friend is an adult who needs to get to work. 5. Assess the vulnerability of the patient: The friend is an adult with average resilience. 6. Assess the intentionality of the action: Person X planned and executed the action deliberately. 7. Assess the harm caused: No harm was caused by the action. 8. Assess the help provided: Person X provided critical assistance by ensuring the friend could get to work. 9. Determine the moral acceptability: The action is highly moral as it provided significant help without causing harm.	test	2.5136461954596325	2.592836856842041
307	Effron	Helped a man in a wheelchair cross a busy intersection	orig		9.0	8.0	0.0	9.0	4.0	Limited mobility makes the patient highly vulnerable	The action was likely planned to help	No harm was caused by helping	Provided critical assistance in a dangerous situation	High moral value due to critical help	The person who helped the man in the wheelchair	The agent is likely a compassionate individual	The man in the wheelchair	The patient likely has limited mobility and needs assistance	3.16279064	1. Identify the agent: The person who helped the man in the wheelchair. 2. Assumption about the agent: Likely a compassionate individual. 3. Identify the patient: The man in the wheelchair. 4. Assumption about the patient: Likely has limited mobility and needs assistance. 5. Assess vulnerability: The man in the wheelchair is highly vulnerable due to limited mobility. 6. Assess intentionality: The action was likely intentional and planned to help. 7. Assess harm: No harm was caused by helping. 8. Assess help: The action provided critical assistance in a potentially dangerous situation. 9. Assess moral acceptability: High moral value due to the critical help provided to a vulnerable individual.	test	2.771654405394688	2.8920679092407227
308	Effron	Volunteered to stay late to help a coworker	orig		7.0	8.0	0.0	7.0	4.0	The coworker is an adult with average resilience	The action was deliberate and planned	No harm was caused	Provided substantial assistance to the coworker	Highly moral as it involves helping without harm	The person who volunteered	A coworker willing to help	The coworker needing help	A coworker needing assistance	2.23529416	1. Identify the agent: The person who volunteered to stay late. 2. Assumption about the agent: Likely a coworker who is willing to help. 3. Identify the patient: The coworker who needed help. 4. Assumption about the patient: Likely a coworker who needed assistance with work. 5. Assess vulnerability: The coworker needing help is an adult with average resilience. 6. Assess intentionality: The action of volunteering to stay late is deliberate and planned. 7. Assess harm: No harm was caused by the action. 8. Assess help: The action provided substantial assistance to the coworker. 9. Assess moral acceptability: The action is highly moral as it involves helping a coworker without causing harm.	test	1.839394609757417	2.087888479232788
309	Mickelberg	Person X walked into the street without checking for oncoming traffic.	orig		7.0	4.0	6.0	0.0	-3.0	Person X is of average resilience.	Action likely impulsive, not premeditated.	Potential for significant harm, like injury.	No help provided by the action.	Impulsive action causing potential harm, no help.	Person X	Person X is an average adult.	Person X	Person X is the one affected by their own action.	-0.72	1. Identify the agent of the action. 2. Consider assumptions about the agent. 3. Identify the patient affected by the action. 4. Consider assumptions about the patient. 5. Evaluate the vulnerability of the patient. 6. Assess the intentionality of the action. 7. Determine the harm caused by the action. 8. Evaluate the help provided by the action. 9. Calculate the moral acceptability based on the previous evaluations.	test	-1.9150668729024436	-1.2618478536605835
310	Kruepke	I teach at a bible college where some of my students can't pay for their classes. So I covered them and told them that they could pay me later. I lied to the school and said that the students had given me the money.	orig		3.0	8.0	4.0	7.0	2.0	The school is not highly vulnerable.	The teacher's actions were deliberate and planned.	The harm is reputational and financial to the school.	The students received significant financial help.	Help to students outweighs moderate harm to school.	The teacher	The teacher is compassionate and willing to help students.	The school	The school is an educational institution.	0.77	1. Identify the agent: The person who took the action of covering the students' fees and lying to the school. 2. Assumption about the agent: The agent is a teacher at a bible college. 3. Identify the patient: The entity affected by the action, which could be the school or the students. 4. Assumption about the patient: The school is the primary entity affected by the lie. 5. Assess the vulnerability of the patient: The school is an institution, not highly vulnerable. 6. Assess the intentionality of the action: The teacher's actions were deliberate and planned. 7. Assess the harm caused: The harm is primarily reputational and financial to the school. 8. Assess the help caused: The students received significant financial help. 9. Determine the moral acceptability: Weigh the harm to the school against the help to the students.	test	-0.0011827026727454504	-0.6714919805526733
311	Lotto	You own a shop which sells fireworks. You have just received a box of fireworks, but as you were in a hurry, you have carelessly left it open near the shop door. Five customers are waiting. Another customer enters the shop. Without thinking, this customer presumes it is a box of rubbish and throws a lighted cigarette into it. The box is about to explode.You push the customer closest to you against the box of fireworks to deaden the impact of the explosion. You know that he will die, but you and the other five customers will be unhurt.	orig		7.0	7.0	10.0	10.0	1.0	The customer is an average adult.	The action is deliberate but in a crisis.	The customer pushed will die.	The action saves five other lives.	Balancing harm to one against saving five.	The shop owner	The shop owner is acting to save lives.	The customer who is pushed	The customer is an average adult.	-1.58	1. Identify the agent: The shop owner who pushes the customer. 2. Assumption about the agent: The shop owner is acting to save lives. 3. Identify the patient: The customer who is pushed. 4. Assumption about the patient: The customer is an average adult. 5. Assess vulnerability: The customer is an average adult, so medium-high vulnerability. 6. Assess intentionality: The action is deliberate but done in a moment of crisis. 7. Assess harm: The customer pushed will die, so maximum harm. 8. Assess help: The action saves five other lives, so maximum help. 9. Assess moral acceptability: Balancing the harm to one against saving five lives.	test	-0.31256514155489834	-1.2442500591278076
312	Mickelberg	Person X arrived at the art exhibition early so they could view the collection before it got too busy.	orig		0.0	7.0	0.0	0.0	0.0	The art collection is inanimate.	Person X planned to arrive early.	No harm was caused.	No significant help was provided.	The action is neutral.	Person X	Person X is interested in art and prefers a less crowded environment.	The art collection	The art collection is inanimate and not affected by the presence of Person X.	0.62	1. Identify the agent: Person X. 2. Assumption about the agent: Person X is interested in art and prefers a less crowded environment. 3. Identify the patient: The art collection. 4. Assumption about the patient: The art collection is inanimate and not affected by the presence of Person X. 5. Assess vulnerability: The art collection is inanimate and cannot be harmed. 6. Assess intentionality: Person X planned to arrive early to avoid crowds. 7. Assess harm: No harm was caused to the art collection. 8. Assess help: Person X's action did not provide any significant help. 9. Assess moral acceptability: The action is neutral as it neither harms nor significantly helps anyone.	test	-1.2754495734385363	-1.269709587097168
313	Kruepke	When I was younger, my brother and neighborhood friend and I went on a shoplifting spree. We took a lot of clothing. Then we got caught and we never stole again.	orig		4.0	8.0	6.0	0.0	-3.0	The store is a business entity, not highly vulnerable.	The shoplifting spree was deliberate and planned.	The harm is financial loss to the store.	No help was provided in this scenario.	Intentional theft and harm caused to the store.	I, my brother, and neighborhood friend	The agent is a younger version of the narrator, their brother, and a neighborhood friend.	The store	The store is a business entity that sells clothing.	-3.56	"1. Identify the agent: The person who performed the action is ""I"" along with ""my brother and neighborhood friend."" 2. Assumption about the agent: The agent is a younger version of the narrator, their brother, and a neighborhood friend. 3. Identify the patient: The patient is the store from which the clothing was stolen. 4. Assumption about the patient: The store is a business entity that sells clothing. 5. Assess the vulnerability of the patient: The store is a business entity, not highly vulnerable but not invulnerable. 6. Assess the intentionality of the action: The shoplifting spree was deliberate and planned. 7. Assess the harm caused: The harm is financial loss to the store, significant but not total destruction. 8. Assess the help caused: No help was provided in this scenario. 9. Assess the moral acceptability: The action is immoral due to intentional theft and harm caused to the store."	test	-2.8943395939429992	-2.1110024452209473
314	Lotto	You find yourself near a petrol pump and see the attendant fill up a car with four people on board. Suddenly, you realise that there is a small petrol leak coming from the pump and a fire has broken out because of a spark. It is about to spread quickly in the direction of the car.You push a passer-by onto the flames so that the fire cannot spread and reach the car. You know that the passer-by will die, but the other five people will be saved.	orig		7.0	9.0	10.0	10.0	0.0	The passer-by is a typical adult	The action was deliberate to save others	The passer-by will die	The action saved five lives	Balancing extreme harm to one with critical help to five	The person who pushed the passer-by	The agent acted to save the car occupants	The passer-by who was pushed into the flames	The patient was an innocent bystander	-1.5	1. Identify the agent: The person who pushed the passer-by. 2. Assumption about the agent: The agent acted to save the car occupants. 3. Identify the patient: The passer-by who was pushed into the flames. 4. Assumption about the patient: The patient was an innocent bystander. 5. Assess the patient's vulnerability: The passer-by is a typical adult, hence medium-high vulnerability. 6. Assess the intentionality: The action was deliberate to save others, hence maximum intentionality. 7. Assess the harm caused: The passer-by will die, hence maximum harm. 8. Assess the help caused: The action saved five lives, hence maximum help. 9. Assess moral acceptability: Balancing extreme harm to one with critical help to five, the action is morally complex.	test	-0.6086953446238851	-1.3722779750823975
315	Kruepke	A long time ago I helped organize an intervention for my dadÍ's alcoholism. My grandmother and I funded all of the members of the family to assemble together in one location. When my dad walked into the room he began to cry because he was so touched by our action.	orig		8.0	9.0	4.0	9.0	3.0	Emotionally and physically vulnerable due to alcoholism	The intervention was planned and deliberate	Caused emotional distress but no physical harm	Aimed to provide critical assistance for alcoholism	High help outweighs moderate harm	The person who organized the intervention	The person had a close relationship with the patient	The father	The father was struggling with alcoholism	2.9	1. Identify the agent: The person who organized the intervention. 2. Assumption about the agent: The person had a close relationship with the patient. 3. Identify the patient: The person affected by the intervention. 4. Assumption about the patient: The person was struggling with alcoholism. 5. Assess the vulnerability of the patient: The patient is emotionally and possibly physically vulnerable due to alcoholism. 6. Assess the intentionality of the action: The intervention was planned and deliberate. 7. Assess the harm caused: The intervention likely caused emotional distress but no physical harm. 8. Assess the help caused: The intervention aimed to provide critical assistance for a serious issue. 9. Determine the moral acceptability: Weighing the vulnerability, intentionality, harm, and help to assess the overall morality.	test	1.1700243063326137	1.316361427307129
316	Kruepke	I used to lie a lot when I was a little girl. My mother left my father when I was a year old. So I used to say that I had a mother and a father, even though my mother and grandmother raised me.	orig		9.0	6.0	5.0	1.0	-2.0	Young and emotionally vulnerable.	Lies were intentional but not deeply planned.	Emotional and psychological harm.	Lies did not provide help.	High vulnerability and moderate harm.	The young girl	She lied about her family situation.	The young girl	She is affected by her own lies.	-0.5	1. Identify the agent: The person who performed the action of lying. 2. Assumption about the agent: The agent is a young girl who lies about her family situation. 3. Identify the patient: The person affected by the action of lying. 4. Assumption about the patient: The patient is the young girl herself, as she is the one affected by her own lies. 5. Assess vulnerability: The young girl is vulnerable due to her age and family situation. 6. Assess intentionality: The lying was likely intentional but not extensively planned. 7. Assess harm: The harm caused by the lies is likely emotional and psychological. 8. Assess help: The lies did not provide any significant help. 9. Assess moral acceptability: Weighing the vulnerability, intentionality, harm, and help to determine the moral standing.	test	-1.284922850045254	-1.6821938753128052
