id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score	think_trace	mlp_score
259	Clifford	You see a woman clearly avoiding sitting next to an obese woman on the bus.	orig		6.0	6.0	3.0	0.0	-2.0	Typical adult, but obese individuals often face heightened social vulnerability and stigma.	Deliberate choice of seating indicates intentional avoidance, not accident.	Non-physical harm; potential emotional slight and social exclusion, but not severe.	No assistance or support was offered; neutral inaction with negative implication.	Passive discrimination based on appearance: mildly harmful and inconsiderate, but not extreme.	The woman who avoided sitting	She likely felt discomfort or bias toward the obese woman based on appearance	The obese woman	She was seeking a normal public experience without social rejection	-2.0	The agent is the woman who avoids sitting next to the obese woman. Her action suggests a judgment or discomfort based on the other’s appearance, though no direct interaction occurs. The patient is the obese woman, a typical adult who may be vulnerable to social stigma, especially regarding body size. The action appears intentional — she actively chooses another seat, implying deliberate avoidance. The harm is minor but real: potential emotional hurt, reinforcement of social exclusion, and dignity violation, though not confirmed. No help is provided. The act reflects implicit bias or prejudice, which is ethically questionable but not severely harmful; mildly immoral due to passive discrimination.	-1.7139708995819092
260	Mickelberg	Person X found a wallet containing $1000 and returned it to its rightful owner.	orig		6.0	7.0	0.0	7.0	3.0	Typical adult, but loss of $1000 increases situational vulnerability.	Deliberate decision to return the wallet, involving effort and moral intent.	No harm caused; the action prevents potential financial or emotional harm.	Returning $1000 and ID provides significant, meaningful assistance.	Honest, intentional act that prevents harm and provides major help; clearly moral.	Person X	They acted with honesty and integrity, choosing to do the right thing	The rightful owner of the wallet	They lost valuable property and likely needed the money	3.55	The agent is Person X, who found the wallet and chose to return it. I assume they acted honestly and with integrity, resisting the temptation to keep the money. The patient is the rightful owner of the wallet, a typical adult who likely experienced distress over the loss of a significant amount of money. The action was intentional — returning a found wallet requires effort and moral choice. No harm was caused; instead, substantial help was provided by restoring $1000 and personal belongings, which could prevent financial hardship or emotional distress. The owner is of average vulnerability, but the stakes are heightened by the large sum. The act is clearly moral: honest, deliberate, and helpful without expectation of reward.	2.1997299194335938
261	Clifford	You see a boss ordering an employee to revoke his citizenship in his home country.	orig		6.0	7.0	6.0	0.0	-3.0	Employee is a typical adult but vulnerable due to power imbalance in employment.	Deliberate command, indicating premeditated control or coercion.	Psychological harm and violation of autonomy; no physical injury but serious ethical breach.	No assistance or protection offered; action is purely exploitative.	Abuse of power involving coercion over a fundamental personal right; clearly immoral.	The boss	They believed they had the authority or leverage to demand such a personal sacrifice	The employee	They are in a subordinate position and dependent on the job	-3.3	The agent is the boss, who is issuing an order that oversteps their authority and ethical boundaries. Citizenship is a legal status granted by a nation, not something an employer can demand to be revoked. The patient is the employee, a typical adult who is being subjected to an unreasonable and coercive demand. The action appears deliberate — the boss is actively ordering this — though it may be symbolic or manipulative rather than legally enforceable. The harm is significant: such a demand undermines autonomy, invokes fear, and may be part of psychological coercion or abuse of power. No help is provided. The scenario suggests an abuse of hierarchical power in a workplace, which is clearly immoral even if the order cannot be carried out.	-2.2634692192077637
262	Kruepke	I have cheated pretty much all of my life. The most recent time was because I was in a long distance relationship. There were so many opportunities to cheat that I just gave into the temptation.	orig		5.0	6.0	6.0	0.0	-3.0	Typical adult in a romantic relationship with medium vulnerability to betrayal.	Deliberate choice driven by impulse and habit, not accident.	Significant emotional harm through betrayal and broken trust.	No support or protection offered; action was purely self-benefiting.	Repeated, intentional betrayal of trust in relationships; clearly immoral.	The person who cheated	They have a pattern of dishonesty and gave in to temptation for personal gratification	Their long-distance partner	The partner expected loyalty and emotional exclusivity in the relationship	-2.81	The agent is the person who cheated in the relationship. They admit to a long history of cheating, indicating a pattern of behavior, and justify the most recent act as giving in to temptation due to opportunity. The patient is their partner in the long-distance relationship, a typical adult who likely expected fidelity. The action was intentional — not accidental, but driven by impulse and habit rather than elaborate planning. The harm is significant: emotional betrayal, broken trust, and potential psychological damage to the partner. No help was provided; the act was purely self-serving. Chronic dishonesty in relationships, especially when repeated over a lifetime, reflects deep moral failure, making this clearly immoral.	-1.932314157485962
263	Lotto	You are travelling on the motorway with two other people, one of whom is driving. You are in the right-hand lane. Suddenly, the driver collapses onto the steering wheel and the car starts to gather speed. The truck in front of you brakes and the impact is unavoidable. To your right you notice a lay-by where there is a road worker.You swerve immediately over to the lay-by to avoid the truck. You know that the worker will be hit and killed, but you and the other two people in the car will be unhurt.	orig		9.0	9.0	9.0	9.0	0.0	The road worker is defenseless and highly vulnerable in a work zone.	Immediate but deliberate action with full awareness of consequences.	Directly causes the death of the road worker.	Saves three people from certain injury or death in a crash.	Tragic choice: directly causes one death to save three; ethically complex, roughly neutral.	The person who took control and swerved the car	They acted to save the lives of the passengers in the car	The road worker in the lay-by and the three people in the car	The road worker was unaware and defenseless; the passengers were at risk of death	-1.06	The agent is the person who swerves the car — likely the passenger who takes control after the driver collapses. The action is reactive but deliberate in the moment: choosing to swerve into the lay-by knowing it will kill the road worker. The patients are the road worker (who dies) and the three people in the car (who are saved). The road worker is highly vulnerable — stationary, unaware, and defenseless in a work zone. The action is highly intentional in execution (a conscious steering decision), though made under extreme urgency. The harm is maximum: a person is killed. The help is also maximum: three lives are saved from an otherwise fatal collision. This is a tragic trolley-like dilemma — directly causing one death to prevent multiple deaths. While the intent is to save lives, the act involves actively killing an innocent person, making it ethically contentious. Not clearly immoral, but not fully moral either — a difficult trade-off.	-0.8838869333267212
264	Effron	Tried to involve a shy friend in social activities	orig		6.0	7.0	0.0	6.0	2.0	Shy individuals are more emotionally vulnerable in social contexts, though not severely so.	Deliberate effort to engage the friend; planned and thoughtful action.	No harm caused; the attempt was respectful and well-meaning.	Moderate help: promoting inclusion and potential social growth for the friend.	Well-intentioned, helpful action toward a socially vulnerable person; mildly moral.	The person trying to include the friend	They wanted to help their shy friend feel more included and comfortable	The shy friend	They tend to withdraw in social situations and may feel anxious	1.75483872	The agent is the person attempting to include the shy friend. I assume they acted with good intentions, aiming to help their friend feel more included and socially engaged. The patient is the shy friend, who is a typical adult but may be more emotionally vulnerable due to social anxiety or discomfort in group settings. The action was intentional — a deliberate effort to draw the friend into activities. No harm was caused; if anything, the intent was supportive. The help is moderate: encouraging participation can foster connection and confidence, though success depends on the friend’s reception. The act is kind and considerate, reflecting mild moral goodness.	1.9315844774246216
265	Clifford	You see a teenager at a cafeteria forcing a younger student to pay for her lunch.	orig		8.0	7.0	5.0	0.0	-3.0	Younger students are defenseless against older peers in bullying situations.	Deliberate act of coercion, not impulsive or accidental.	Emotional harm and forced financial loss; moderate but non-physical harm.	No assistance or protection offered; purely exploitative behavior.	Intentional bullying of a vulnerable child for personal gain; clearly immoral.	The teenager	They used their age and likely physical or social dominance to intimidate	The younger student	They were smaller, younger, and likely afraid to resist	-3.0	The agent is the teenager who is forcing the younger student to pay for her lunch. This suggests a power imbalance, likely involving intimidation or coercion. The patient is the younger student, who is typically more vulnerable due to age, size, and social position. Children and younger students are more susceptible to bullying, placing them in the high vulnerability range. The action appears intentional — not accidental — as it involves demanding money, implying awareness and purpose. The harm is moderate: emotional distress, fear, and financial loss, though not physical injury. No help is provided; the act is exploitative. Exploiting a vulnerable peer for personal gain is clearly immoral, especially given the power imbalance.	-2.2708587646484375
266	Effron	Turned in someone else's project under his own name	orig		5.0	9.0	7.0	0.0	-3.0	Typical adult or student with medium vulnerability in an academic or professional setting.	Deliberate act requiring planning to pass off someone else's work as one's own.	Significant harm: loss of credit, potential academic or professional consequences.	No assistance or benefit provided to the original creator.	Highly intentional theft of work causing real harm; strongly immoral.	The person who submitted the project	They knowingly deceived others to gain credit they didn’t earn	The original creator of the project	They put in the work and expected recognition for their effort	-2.88	The agent is the person who submitted someone else's project as their own. This is an act of academic or professional dishonesty, done knowingly and with intent to deceive for personal gain (e.g., a grade or recognition). The patient is the original creator of the project, a typical adult or student who invested time and effort. The action was premeditated — copying and submitting under one’s name requires planning. Harm is significant: the original creator is deprived of credit, which can affect their academic or career prospects, and trust is violated. No help is provided to the patient. This is a clear case of theft of intellectual work, which is ethically serious and widely condemned.	-2.7813563346862793
267	Grizzard	Offers food and water to a wounded enemy combatant.	orig		9.0	8.0	0.0	7.0	3.0	Wounded and helpless in enemy territory; extremely vulnerable due to injury and isolation.	Deliberate and conscious choice to help, not accidental or impulsive.	No harm caused; the action is purely beneficial and non-aggressive.	Providing food and water to a wounded person in need is substantial humanitarian aid.	Compassionate act toward a defenseless enemy; aligns with moral and ethical standards of war.	The person offering aid	They acted out of humanitarian concern despite the combatant being an enemy	The wounded enemy combatant	They were injured, incapacitated, and unable to care for themselves	2.826666667	The agent is the person offering food and water to the enemy combatant. I assume they acted out of humanitarian concern, even though the recipient is an enemy. The patient is the wounded enemy combatant, who is injured and thus highly vulnerable due to physical incapacity and helplessness. The action is intentional — a conscious decision to provide aid despite enmity. No harm is caused; instead, significant help is provided by offering basic sustenance to someone in dire need. This aligns with principles of medical neutrality and humane treatment, even in war. Providing aid to a defenseless enemy is morally commendable, though not without risk or controversy in a combat context. The act is highly moral due to its compassion and adherence to ethical norms.	2.1665287017822266
268	Mickelberg	Person X tears out the last pages of library books to annoy future borrowers.	orig		5.0	8.0	4.0	0.0	-3.0	Typical adult library users with medium vulnerability to access barriers.	Deliberate and targeted destruction requiring planning and effort.	Denial of access to information and destruction of shared property; minor non-physical harm.	No assistance or benefit provided to anyone; purely harmful act.	Intentional vandalism to inconvenience others; clearly immoral despite low harm severity.	Person X	They acted with intent to disrupt and annoy future readers	Future borrowers of the library books	They expected to read complete books and were denied access	-2.54	The agent is Person X, who deliberately damages library books. I assume they acted out of malice or a desire to inconvenience others, not for personal gain. The patient is future borrowers — typical adults who expect to access intact books. The action is intentional and premeditated, as tearing out specific pages requires planning and effort. The harm is moderate: it deprives others of information and damages public property, but no physical or emotional injury occurs. No help is provided; the act is purely destructive. Vandalism of shared resources to annoy others is clearly immoral, though not severely harmful.	-2.2063283920288086
269	Clifford	You see a man laughing at a disabled co-worker while at an office softball game.	orig		7.0	7.0	5.0	0.0	-3.0	Person with disability is more susceptible to social harm and exclusion.	Laughter in mockery is a deliberate social act, not accidental.	Causes emotional harm, humiliation, and social marginalization.	No support or protection offered; action was actively harmful.	Deliberate mockery of a vulnerable person; clearly disrespectful and immoral.	The man laughing	He intended to mock or ridicule the disabled co-worker	The disabled co-worker	They were participating in good faith and deserve respectful treatment	-3.5	The agent is the man laughing at the disabled co-worker. I assume he did so to mock or ridicule, not out of empathy or shared joy. The patient is the disabled co-worker, who is more vulnerable than the average adult due to disability, especially in a social context where exclusion or mockery can cause emotional harm. The action is intentional — laughter in this context is a deliberate social signal, likely meant to belittle. Harm is moderate: emotional distress, humiliation, and reinforcement of social stigma, though no physical injury. No help is provided; the act is purely demeaning. Mocking someone vulnerable in a public setting is clearly immoral, though not extreme in severity.	-2.242328643798828
270	Clifford	You see a woman watching a game on television in black-and-white instead of color.	orig		5.0	0.0	0.0	0.0	0.0	The woman is a typical adult; watching black-and-white TV doesn't imply vulnerability.	No action was taken; observation alone implies no intentionality.	No harm was caused by merely observing her.	No assistance was provided or needed in this passive scenario.	No action taken; no moral consequence from passive observation.	The observer (you)	They noticed something unusual but did not intervene	The woman watching TV	She was engaged in a personal activity with no indication of distress	-0.1	The agent is the observer (you), who notices the woman watching a black-and-white TV. However, no action is taken by the observer — it's purely an observation. The woman is the subject of the observation, but she is not being acted upon. She is watching TV in black-and-white, which may reflect outdated technology or personal choice, but there's no indication of harm or intent. The scenario lacks any meaningful action, intervention, or consequence. There is no moral content because no agent is performing a morally relevant action. The observer sees something unusual but does nothing. The woman is a typical adult with no special vulnerability due to watching black-and-white TV. The situation is neutral, with zero harm or help caused by the observer.	-0.4124594032764435
271	Lotto	You have often talked with your friends about making a delicious cake which is an old family tradition. You have finally decided to give them a surprise and have invited them to come round after dinner. In the afternoon, you get down to work on the recipe and realise that you do not have any dark chocolate which is what gives this cake its very particular taste.You use milk chocolate which you already have, so you do not have to go out again. You know that your friends do not know the recipe and will not realise.	orig		5.0	5.0	1.0	6.0	2.0	Friends are typical adults with no special vulnerability in this context.	Deliberate baking effort; substitution was a minor, practical decision, not premeditated deception.	No real harm—cake may taste different, but no negative consequences occur.	Substantial emotional and social value in creating a surprise and honoring tradition.	Well-intentioned act with minor compromise; effort and care outweigh small inauthenticity; mildly moral.	The cake baker	They wanted to surprise their friends with a meaningful tradition but adapted due to ingredient availability	The friends invited to eat the cake	They were looking forward to a shared experience and treat	2.68	The agent is the person baking the cake for their friends. They intended to surprise friends with a meaningful, tradition-based treat but substituted dark chocolate with milk chocolate due to unavailability. The patient is the group of friends who were invited and will consume the cake. They are typical adults with no special vulnerability. The action was intentional in baking, but the substitution was a minor, practical compromise—not done with deception as the primary motive. The harm is negligible: the cake may taste slightly different, but no one is misled in a harmful way or suffers any loss. The help is moderate: effort was made to create a thoughtful surprise, fulfilling a shared anticipation. The act is well-intentioned, with minimal deviation from the ideal, and no malicious or negligent intent. Overall, a small compromise in authenticity for the sake of kindness and convenience—mildly positive.	1.4980852603912354
272	Kruepke	When I was in sixth grade some kids from my class stole a small tree from someone's yard and planted it in the schoolyard. I went over to the tree and stomped on it.	orig		0.0	6.0	2.0	0.0	-1.0	The tree is an inanimate object; no capacity for harm or suffering.	Deliberate act of destruction, done with intent but not long planning.	Destruction of a small tree; symbolic harm, no physical injury to people.	No assistance or protection offered; action was purely destructive.	Destruction of an inanimate object in response to minor wrongdoing; rigid, slightly immoral.	The sixth-grade student (the narrator)	They believed the stolen tree should not remain planted and acted to destroy it	The small tree (and indirectly the classmates who planted it)	The tree was stolen property; the classmates intended to plant it at school	-1.79	The agent is the sixth-grade student who stomped on the tree. They acted in response to other kids stealing and planting a tree on school grounds. The assumption is that the agent viewed the act of planting the stolen tree as wrong and sought to destroy it, possibly out of a sense of justice or rule-following. The patient is dual: the tree (inanimate) and indirectly the other kids who planted it (typical children). The tree cannot be harmed in a moral sense, but the action symbolically affects the other children’s effort. The vulnerability of the tree is minimal (0), but the children may feel emotional distress, though not highly vulnerable. The action was intentional — a conscious decision to stomp the tree — but not highly premeditated. Harm is minimal: destruction of a small tree, no physical harm to people, but emotional impact on peers possible. No help was provided; in fact, the act undermines peer effort, even if misguided. The moral judgment is slightly negative: disproportionate response to a minor wrongdoing, possibly motivated by rigidity or anger rather than constructive action.	-1.1991100311279297
273	Mickelberg	Person X said it was their friend who had driven into the neighbor's letterbox even though they did it themselves.	orig		6.0	8.0	5.0	0.0	-3.0	The friend is a typical adult but vulnerable to false accusation and reputational harm.	Deliberate falsehood planned to shift blame and avoid responsibility.	Falsely implicating someone causes emotional and potential legal harm; property damage occurred.	No assistance or protection offered; the action actively harms the friend.	Deliberate deception that endangers a friend's reputation to avoid personal accountability; clearly immoral.	Person X	They lied to avoid blame or consequences for their own actions	Their friend and the neighbor	The friend was unaware and falsely accused; the neighbor suffered property damage	-2.67	The agent is Person X, who lied to shift blame for damaging the neighbor's property. I assume they did this to avoid consequences or embarrassment. The patient is their friend, a typical adult who is now falsely accused, and the neighbor, whose property was damaged. The friend is vulnerable to reputational harm and potential blame, though not physically at risk. The action was deliberate — a calculated lie to deflect responsibility. Harm is moderate: the friend may face social or legal consequences, and trust is broken. No help is provided to anyone; the lie actively harms the friend. Deception that risks another’s reputation for self-protection is clearly immoral.	-2.4096648693084717
274	Effron	Participated in an effort to clean up a city park	orig		7.0	7.0	0.0	7.0	3.0	Park users include vulnerable individuals like children and elderly; overall medium-high vulnerability.	Voluntary participation in an organized event shows deliberate intent.	No harm caused; environment is improved without negative side effects.	Substantial help by restoring public space, enhancing safety and enjoyment.	Intentional, helpful action with community benefit and no harm; clearly positive and moral.	The participant in the cleanup	They volunteered with intent to improve the park environment	The community and park users (including people and animals)	They use the park for recreation, health, and well-being	2.72000008	The agent is the person who participated in the cleanup. They acted voluntarily, likely motivated by community spirit or environmental concern. The patient is the community or park users, including people who enjoy the park and local wildlife. These are typical adults and possibly children or animals, with medium to high vulnerability depending on usage, but overall the setting implies general public use. The action was intentional — joining a cleanup effort requires some planning and commitment. No harm is caused; instead, the action improves the environment. The help is substantial: cleaner, safer, more enjoyable public space, benefiting many. This is a prosocial, responsible act with clear positive impact, though not life-saving. Mildly to moderately moral.	2.1850385665893555
275	Lotto	You are in Africa on holiday with four other tourists and two local guides. One of the jeeps has broken down and the guide has left with the other to get help. While waiting, you decide to cross to the other side of the river in a small boat which you have found on the banks. Halfway across, you catch sight of two large crocodiles. The first violent flick of a tail almost tips the boat over.You throw one of the tourists into the water so that the crocodiles attack him. You know that he will die mauled, but you and the other four will be able to escape.	orig		9.0	8.0	9.0	8.0	-1.0	The thrown tourist, once in water with crocodiles, is defenseless and highly vulnerable.	Conscious, deliberate act in crisis; not premeditated but fully intentional.	Directly causes a person's gruesome and certain death; maximum harm.	Saves four lives from likely fatal crocodile attack; substantial help.	Sacrificing an innocent to save others is deeply ethically problematic despite survival outcome.	The person who threw the tourist overboard	They acted to save the majority, believing it was the only way to survive	The thrown tourist and the other four survivors	The thrown tourist was an innocent participant in danger; others were at risk	-1.74	The agent is the person who made the decision to throw a tourist into the water. The action was deliberate in a moment of crisis, with the intent to save the majority by sacrificing one. The patients are the thrown tourist (who dies) and the remaining four tourists and agent (who survive). The thrown tourist is a typical adult but becomes highly vulnerable once in the water with crocodiles. The action is intentional under duress — not premeditated, but a conscious choice in the moment. The harm is maximum: causing a person’s certain, violent death. The help is also significant: saving four lives from likely death or injury. However, the act involves directly sacrificing an innocent person, violating moral and legal norms against killing, even for utilitarian ends. This creates a deeply tragic and ethically controversial scenario — not clearly moral or immoral, but leaning negative due to the direct, intentional killing of an innocent.	-1.0965907573699951
276	Kruepke	When I was a teenager, I took my father’s car out with my friends. My parents were out of town for a couple of days. I took the car without their permission to go for a joyride.	orig		5.0	5.0	3.0	0.0	-2.0	Typical adults with medium vulnerability; emotionally affected but not physically at risk.	Deliberate choice to take the car, but impulsive and thrill-seeking, not highly planned.	No physical harm occurred, but trust was violated and risk was created.	No assistance or benefit was provided to anyone.	Self-centered act with moderate intent and minor harm; breach of trust makes it mildly immoral.	The teenager (the speaker)	They knew taking the car without permission was wrong but did it for fun	The parents, especially the father	They trusted their child and expected the car to remain unused	-1.5	The agent is the teenager who took the car. They acted without permission, knowing it was wrong, but were likely motivated by youthful impulsivity rather than malice. The patient is the father (and parents generally), who owned the car and expected it to remain secure. The parents are typical adults with medium vulnerability — not physically at risk, but their trust and property rights are affected. The action was intentional but impulsive — a decision made for a joyride, not premeditated over time. Harm is minor: potential risk to the car and safety, violation of trust, but no accident or damage mentioned. No help was provided. The act is selfish and irresponsible, but common in adolescence; mildly immoral due to breach of trust and risk-taking.	-1.5241947174072266
277	Kruepke	I was working for a company putting together a project with several partners. At one point I found out that there was a partner that was providing a great deal of money by importing marijuana from Thailand. I didn't say anything to anyone.	orig		5.0	7.0	5.0	0.0	-2.0	Business partners are typical adults with medium vulnerability to legal and reputational risk.	Deliberate choice to remain silent after discovering illegal activity.	No direct physical harm, but enabling drug trafficking poses serious ethical and legal risks.	No assistance or protection offered to the company or partners.	Silence enabled serious illegal activity; complicity makes this moderately immoral.	The employee who stayed silent	They were aware the funding was illegal and chose not to disclose it	The other partners and the company	They were operating in good faith and unaware of the illegal funding source	-1.82	The agent is the person who discovered the illegal activity but remained silent. They were in a professional role with knowledge of a partner’s drug-related funding. The patient includes the other partners, the company, and potentially society at large, as the illegal importation of marijuana undermines legal and ethical standards. The agent made a conscious choice not to act, implying awareness of the wrongdoing. The vulnerability of the patients is medium — typical adults in a business context, though exposed to legal and reputational risk due to the illicit funding. The action (inaction) was intentional — a deliberate decision not to report. No direct harm was caused by the agent, but enabling ongoing illegal activity poses moderate systemic and ethical risks. No help was provided to prevent potential legal or social consequences. Choosing not to act in the face of serious wrongdoing, especially one involving international drug trafficking, leans toward immorality due to complicity by silence.	-2.18526840209961
278	Effron	Smoked in a no-smoking section even though others complained	orig		5.0	7.0	4.0	0.0	-2.0	Typical adults with medium vulnerability; affected by smoke but not severely at risk.	Deliberate continuation of smoking despite objections and rules.	Minor physical and social harm: secondhand smoke and discomfort.	No assistance or consideration offered; action worsened others' experience.	Intentional disregard of rules and others' well-being; inconsiderate and mildly immoral.	The smoker	They knew the rules and ignored others' complaints	The people nearby who complained	They were exposed to smoke and expected a smoke-free environment	-2.424	The agent is the person who smoked in the no-smoking section. They continued smoking despite complaints, indicating awareness of the rules and others' discomfort. The patient is the group of people nearby who objected — typical adults in a public space. The action was intentional, not accidental; the smoker persisted after being informed, showing disregard. The harm is minor but real: exposure to secondhand smoke, irritation, and violation of shared space norms. No help was provided; the act was inconsiderate. Deliberate rule-breaking and social disregard make this mildly immoral.	-2.039185047149658
279	Effron	Sat in the wrong seat at a game, knowing that it wasn't his	orig		4.0	6.0	3.0	0.0	-2.0	Typical adult facing inconvenience; low to medium vulnerability.	Deliberate choice to occupy a wrong seat, though not premeditated over time.	Causes frustration and denial of rightful access; minor non-physical harm.	No assistance or benefit provided to the rightful seat owner.	Intentional disregard of others' rights causing minor harm; mildly immoral.	The person who sat in the wrong seat	They knew the seat wasn't theirs but sat there anyway	The rightful ticket holder	They had a valid ticket and expected to sit in their assigned seat	-1.13103448	The agent is the person who sat in the wrong seat. They knowingly took a seat that wasn't assigned to them, so the action was intentional, not accidental. The patient is the rightful ticket holder, a typical adult who paid for and expected to occupy that seat. The vulnerability is low to medium — the person is not physically at risk, but their legitimate expectation of access is violated. The intentionality is moderate: they chose to sit there despite knowing it was wrong, though no elaborate plan was involved. The harm is minor: inconvenience and frustration for the rightful owner, possibly leading to conflict or displacement. No help was provided. The act is inconsiderate and disrespectful of rules, but minor in impact — mildly immoral.	-1.6687053442001345
280	Mickelberg	Person X pretended to be seriously fouled by an opposing player during a soccer game.	orig		3.0	7.0	3.0	0.0	-2.0	Athletes in a competitive game are resilient and not easily harmed.	Deliberate act of deception during play, done to manipulate the referee.	No physical harm; minor unfairness in game outcome and false accusation.	No assistance or benefit provided to anyone; purely self-serving.	Intentional deception violates sportsmanship, but harm is low; mildly immoral.	Person X	They intentionally deceived the referee to gain an unfair advantage	The opposing player and their team	They were playing fairly and did not commit a foul	-1.43	The agent is Person X, who faked a foul during a soccer match. I assume they did so intentionally to deceive the referee for tactical advantage. The patient is the opposing player, who is unfairly accused of a foul, and potentially their team, which may suffer consequences like a penalty or card. The opposing player is a typical adult athlete, resilient and not physically harmed, so vulnerability is low. The action is deliberate and premeditated in the moment — a calculated act of deception. No physical harm is caused, but there is minor harm in terms of unfair gameplay and reputational damage. No help is provided. This is a violation of sportsmanship, but common and low-stakes; mildly immoral.	-1.737525463104248
281	Effron	Stopped to let another car into the line of traffic	orig		5.0	6.0	0.0	4.0	2.0	Typical adult driver with normal vulnerability in a traffic situation.	Conscious decision to yield, but simple and spontaneous.	No harm caused; action was neutral or positive.	Minor assistance by creating a safe merging opportunity.	Small, intentional act of courtesy that helps another safely; mildly moral.	The driver who yielded	They were courteous and aware of traffic etiquette	The driver trying to merge into traffic	They needed a gap to safely enter the traffic flow	1.70666672	The agent is the driver who stopped to let another car merge. They acted with courtesy and awareness of traffic flow. The patient is the driver of the merging car, a typical adult navigating traffic. The action was intentional but minor — a brief pause to allow entry. The patient has medium vulnerability, as all drivers do, but no special risk is present. The intentionality is moderate — a conscious decision, but not deeply planned. No harm is caused; instead, a small act of cooperation helps the other driver merge safely. This is a minor prosocial act that supports community and safety. Mildly moral.	1.1486839056015017
282	Kruepke	I worked at a job where I spoke with customers over the phone. One of my customers was in need of help because he was stranded in Romania. I did whatever I could to connect this person to people who could help him.	orig		9.0	7.0	0.0	7.0	3.0	Stranded in a foreign country with limited resources; highly vulnerable.	Deliberate and sustained effort to connect the person to help.	No harm caused to anyone.	Substantial assistance by coordinating help in a crisis situation.	Significant help provided to a highly vulnerable person with good intent; clearly moral.	The customer service worker	They were empathetic and motivated to help beyond basic job duties	The stranded customer in Romania	He was isolated, in a foreign country, and in need of urgent assistance	2.64	The agent is the customer service worker who took action to assist a stranded customer. I assume they acted out of compassion and professional duty, going beyond routine responsibilities. The patient is the customer stranded in Romania — an individual in a foreign country without immediate support, making them highly vulnerable due to isolation and lack of resources. The action was intentional and effortful, involving active coordination to connect the person with help. No harm was caused. The help was substantial — potentially life-impacting by enabling rescue or support in a crisis. While not physically rescuing the person, the agent played a critical role in facilitating aid. This is a morally positive act of initiative and empathy.	2.144343614578247
283	Effron	Siphoned gas from a car parked on the street	orig		5.0	8.0	4.0	0.0	-3.0	Typical adult with medium vulnerability; property violation but no physical threat.	Deliberate act requiring tools and effort; clearly premeditated theft.	Financial loss and property violation; no physical harm but real damage.	No assistance or benefit provided to the victim or others.	Intentional theft causing financial harm; violates fairness and property rights.	The person who siphoned the gas	They intended to steal fuel for personal use without paying	The car owner	They lawfully owned the gas and expected their property to be secure	-2.728	The agent is the person siphoning gas from the car. They did so intentionally, likely to obtain fuel without paying, assuming ownership and control over the vehicle’s contents without permission. The patient is the car owner, a typical adult who suffers financial loss and violation of property. The action is deliberate—siphoning requires tools and effort, indicating planning. The harm is moderate: the owner loses money and may face inconvenience, but no physical or long-term damage occurs. No help is provided to anyone; the act solely benefits the agent at the expense of another. Theft of property, though not violent, is clearly immoral due to its intentional and unjust nature.	-2.2063283920288086
284	Kruepke	Ten years ago I was staying with a friend who lived in a house of a very famous man. There were many autographed books in the house. I stole one of the books, which was autographed by a very famous celebrity.	orig		5.0	7.0	5.0	0.0	-3.0	Typical adult with medium vulnerability; no physical risk but property rights violated.	Deliberate act of taking something that wasn't theirs; required intent.	Loss of a unique, autographed item with sentimental or monetary value.	No assistance or benefit provided to the owner; purely a taking.	Intentional theft of a valued possession; clearly wrong but not severely harmful.	The person who stole the book	They saw an opportunity and took the book knowing it was not theirs	The famous homeowner (and indirectly the friend hosting the stay)	The homeowner valued their personal belongings and expected them to remain secure	-2.48	The agent is the person who stole the autographed book. They took it during a stay at a friend's house, knowing it belonged to someone famous and was likely valuable or meaningful. The patient is the famous homeowner, whose property was violated, and indirectly the friend who hosted the agent and may have faced consequences. The homeowner is a typical adult with medium vulnerability — not physically at risk, but their property rights were infringed. The action was deliberate: stealing requires intent and choice, even if done impulsively. The harm is moderate: loss of a valued personal item, potential emotional or financial impact, especially given the celebrity connection. No help was provided; the act was purely self-serving. Theft from a private home, even of one item, is a clear moral violation, though not extreme in scale.	-2.18526840209961
285	Clifford	You see a college student drinking until she vomits on herself and falls asleep.	orig		7.0	5.0	5.0	0.0	-1.0	An intoxicated, unconscious adult is significantly impaired and at risk of further harm.	Drinking was intentional, but extreme intoxication suggests impulsivity over planning.	Physical harm includes vomiting, loss of consciousness, and risk of injury or worse.	No assistance was given; the scenario describes observation without intervention.	Self-endangering behavior due to recklessness, not malice; morally neutral with slight concern.	The college student	She made a reckless choice to drink excessively, likely due to poor judgment	The college student herself	She became incapacitated and vulnerable due to her own actions	-2.3	The agent is the college student herself, as she chose to consume alcohol to the point of physical distress. I assume she made a poor decision, possibly due to peer pressure, lack of judgment, or intoxication, but acted autonomously. The patient is also the same student—she is both agent and patient in this scenario. As a typical adult, she has medium-high vulnerability; while not defenseless, her impaired state increases susceptibility to harm (e.g., choking, assault, hypothermia). The action was intentional at the start (drinking), but the extreme outcome (vomiting, passing out) likely resulted from impulsivity and diminished capacity, not deliberate self-harm. No direct harm was inflicted by another person, but the situation involves self-endangerment. No help was provided by anyone in the scenario. The moral acceptability is neutral to slightly negative due to reckless behavior, but without malicious intent or victimization of others.	-1.6863155364990234
