id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score	think_trace	mlp_score
265	Clifford	You see a teenager at a cafeteria forcing a younger student to pay for her lunch.	orig		7.0	8.0	4.0	0.0	-3.0	Younger student is more vulnerable due to age and social dynamics.	Deliberate coercion to exploit the younger student.	Financial loss and emotional distress, but no physical injury.	No assistance or benefit is offered to the younger student.	Deliberate exploitation of a more vulnerable individual; clearly immoral.	The teenager	They intentionally used force or intimidation to get the younger student to pay	The younger student	They are more vulnerable due to age and social dynamics	-3.0	The agent is the teenager forcing the younger student to pay for her lunch. The action is coercive and exploitative. The patient is the younger student, who is likely more vulnerable due to age and social dynamics. The action appears deliberate — the teenager is intentionally using force or intimidation. The harm is moderate: financial loss and emotional distress for the younger student, but no physical injury. No help is provided; the action is purely exploitative. Deliberate exploitation of a more vulnerable individual is clearly immoral.	-2.362865447998047
266	Effron	Turned in someone else's project under his own name	orig		5.0	8.0	6.0	0.0	-3.0	Typical adult with medium vulnerability in an academic or professional context.	Deliberate act of misrepresentation to gain credit or avoid consequences.	Significant harm: loss of recognition and potential academic or professional consequences.	No assistance or benefit provided to the original creator.	Deliberate dishonesty causing significant harm; clearly immoral.	The person who turned in the project	They knowingly claimed someone else's work as their own	The original creator of the project	They expected to receive recognition for their work	-2.88	The agent is the person who turned in the project under their own name. I assume they did this knowingly to gain credit or avoid consequences. The patient is the original creator of the project, who expected to receive recognition for their work. The original creator is a typical adult with medium vulnerability in an academic or professional setting. The action is deliberate — a planned act of misrepresentation. The harm is significant: the original creator loses recognition and possibly faces academic or professional consequences. No help is provided. This is a clear case of dishonesty and theft of intellectual property, making it strongly immoral.	-2.582160472869873
267	Grizzard	Offers food and water to a wounded enemy combatant.	orig		9.0	8.0	0.0	8.0	4.0	A wounded enemy combatant is highly vulnerable due to injuries and lack of resources.	Deliberate act of compassion and humanity.	No harm is caused; the action provides essential sustenance and comfort.	Substantial help offering critical assistance in a life-threatening situation.	A highly moral act of compassion and humanity.	The person offering food and water	They were motivated by compassion and a sense of humanity	The wounded enemy combatant	They were injured and lacked resources, making them highly vulnerable	2.826666667	The agent is the person offering food and water. I assume they are motivated by compassion and a sense of humanity, despite the enemy status. The patient is the wounded enemy combatant, who is highly vulnerable due to their injuries and lack of resources. The action is deliberate — a conscious choice to provide aid. No harm is caused; instead, the action provides essential sustenance and comfort. The help is substantial, offering critical assistance in a life-threatening situation. A highly moral act of compassion and humanity.	2.620468854904175
268	Mickelberg	Person X tears out the last pages of library books to annoy future borrowers.	orig		5.0	8.0	4.0	0.0	-3.0	Typical adults with medium vulnerability to inconvenience and disruption.	Deliberate act aimed at causing annoyance and inconvenience.	Moderate harm: disrupts reading experience and damages public property.	No assistance or benefit is provided; purely harmful action.	Deliberate vandalism and intent to annoy; clearly immoral.	Person X	They acted with the intent to cause inconvenience to others	Future borrowers of the library books	They expected to read complete books without missing pages	-2.54	The agent is Person X, who deliberately damages library books. The patients are future borrowers who will be affected by the missing pages. These borrowers are typical adults with medium vulnerability in this context. The action is clearly intentional, aimed at causing inconvenience. The harm is moderate: it disrupts the reading experience and damages public property, but it is not physically harmful. No help is provided; the action is purely malicious. Deliberate vandalism and intent to annoy make this clearly immoral.	-2.316005229949951
269	Clifford	You see a man laughing at a disabled co-worker while at an office softball game.	orig		9.0	7.0	4.0	0.0	-3.0	A disabled person in a social setting is highly vulnerable to emotional harm.	Deliberate act of mockery in a public setting.	Causes emotional distress and humiliation; no physical harm.	No assistance or protection provided; purely harmful action.	Deliberate mockery of a vulnerable individual causing emotional harm; clearly immoral.	The man laughing	He was aware of the co-worker's disability and chose to mock them	The disabled co-worker	They are vulnerable due to their disability and the social context	-3.5	The agent is the man laughing at the disabled co-worker. I assume he is aware of the co-worker's disability and is mocking them intentionally. The patient is the disabled co-worker, who is highly vulnerable due to their disability and the social context. The action appears deliberate — laughing at someone in a public setting is a conscious choice. The harm is moderate: emotional distress and humiliation for the co-worker, but no physical injury. No help is provided; the action is purely unkind. Deliberate mockery of a vulnerable individual is clearly immoral.	-2.2233893871307373
270	Clifford	You see a woman watching a game on television in black-and-white instead of color.	orig		5.0	9.0	0.0	0.0	0.0	Typical adult with medium vulnerability, as the choice has no significant impact.	Entirely intentional, as she consciously chooses to watch in black-and-white.	No harm is caused by this action.	No help is provided either, as the action is neutral and personal.	Morally neutral, as it involves a personal preference that does not affect others.	The woman watching the game	She is aware of the option to watch in color but chooses black-and-white	The woman herself	She is a typical adult making a personal choice	-0.1	The agent is the woman watching the game. I assume she is aware of the option to watch in color but chooses black-and-white for personal reasons. The patient is the woman herself, as no one else is directly affected by her choice. She is a typical adult with medium vulnerability, as this choice has no significant impact on her well-being. The action is entirely intentional, as she consciously chooses to watch in black-and-white. No harm is caused by this action. No help is provided either, as the action is neutral and personal. The scenario is morally neutral, as it involves a personal preference that does not affect others.	-1.0959011316299438
271	Lotto	You have often talked with your friends about making a delicious cake which is an old family tradition. You have finally decided to give them a surprise and have invited them to come round after dinner. In the afternoon, you get down to work on the recipe and realise that you do not have any dark chocolate which is what gives this cake its very particular taste.You use milk chocolate which you already have, so you do not have to go out again. You know that your friends do not know the recipe and will not realise.	orig		5.0	6.0	1.0	5.0	2.0	Typical adults with medium vulnerability in a social context.	Deliberate choice to use milk chocolate instead of dark chocolate.	Minimal harm: the cake's taste is slightly different, but no one is harmed.	Moderate help: friends enjoy a homemade cake and the gesture of hospitality.	Well-intentioned act with minor deviation from the original plan; mildly moral.	The person making the cake	They wanted to surprise their friends with a traditional family recipe	The friends who will eat the cake	They are typical adults expecting a nice surprise	2.68	The agent is the person making the cake. They intended to surprise their friends with a traditional family recipe. The patients are the friends who will eat the cake. They are typical adults with medium vulnerability in this context. The action was deliberate but not harmful — the substitution of milk chocolate for dark chocolate was a conscious choice to avoid inconvenience. The harm is minimal: the cake's taste is slightly different, but no one is harmed or disappointed. The help is moderate: the friends enjoy a homemade cake and the gesture of hospitality. A well-intentioned act with minor deviation from the original plan, resulting in a positive experience overall.	1.1200828552246094
272	Kruepke	When I was in sixth grade some kids from my class stole a small tree from someone's yard and planted it in the schoolyard. I went over to the tree and stomped on it.	orig		2.0	4.0	4.0	0.0	-2.0	The tree is a living entity but minimally vulnerable as an inanimate object.	Deliberate but impulsive action without extensive planning.	Moderate harm: the tree was likely damaged or killed.	No assistance or benefit was provided.	Unnecessary destruction of property and a living entity; mildly immoral.	The sixth-grade student	They acted impulsively, possibly influenced by peers	The small tree	The tree was a living entity but minimally vulnerable as an inanimate object	-1.79	The agent is the sixth-grade student who stomped on the tree. The action seems impulsive, likely driven by peer influence or a desire to fit in. The patient is the small tree, an inanimate object but a living entity that can be harmed. The tree is minimally vulnerable as an inanimate object, but it is a living thing that can be damaged. The action was deliberate but not premeditated. The harm is moderate: the tree was likely damaged or killed, but no living beings were directly harmed. No help was provided. The act is mildly immoral due to the unnecessary destruction of property and a living entity.	-1.500368595123291
273	Mickelberg	Person X said it was their friend who had driven into the neighbor's letterbox even though they did it themselves.	orig		5.0	8.0	5.0	0.0	-3.0	Both the friend and the neighbor are typical adults with medium vulnerability.	Deliberate act of lying to shift blame.	Moderate harm: false accusation and property damage without accountability.	No assistance or benefit provided to the friend or the neighbor.	Deliberate dishonesty causing harm to others; clearly immoral.	Person X	They knowingly lied to avoid responsibility for the accident	The friend and the neighbor	The friend was falsely accused and the neighbor's property was damaged	-2.67	The agent is Person X, who lied about their own actions to avoid responsibility. The patient is the friend who was falsely accused and the neighbor whose property was damaged. The friend is a typical adult with medium vulnerability to false accusations, while the neighbor is also a typical adult affected by property damage. The action was deliberate — Person X knowingly lied to shift blame. The harm is moderate: the friend faces unjust blame and the neighbor's property is damaged without proper accountability. No help was provided. The act of lying to avoid responsibility and causing harm to others is clearly immoral.	-2.449082851409912
274	Effron	Participated in an effort to clean up a city park	orig		1.0	7.0	0.0	7.0	3.0	The park is an inanimate object with minimal vulnerability.	Deliberate and planned effort to clean and improve the park.	No harm is caused by the cleanup effort.	Substantial help: improves environment, public health, and community morale.	Positive, community-oriented action with clear benefits; highly moral.	The person participating in the cleanup	They were motivated by a desire to improve the community environment	The city park	The park is a public space that benefits the community	2.72000008	The agent is the person participating in the park cleanup. I assume they were motivated by a desire to improve the community environment. The patient is the city park, an inanimate object but a public space that benefits the community. The action is deliberate — a planned effort to clean and improve the park. No harm is caused. The help is substantial: cleaning up a park improves the environment, public health, and community morale. A positive, community-oriented action with clear benefits.	2.344473361968994
275	Lotto	You are in Africa on holiday with four other tourists and two local guides. One of the jeeps has broken down and the guide has left with the other to get help. While waiting, you decide to cross to the other side of the river in a small boat which you have found on the banks. Halfway across, you catch sight of two large crocodiles. The first violent flick of a tail almost tips the boat over.You throw one of the tourists into the water so that the crocodiles attack him. You know that he will die mauled, but you and the other four will be able to escape.	orig		9.0	9.0	9.0	8.0	0.0	The tourist thrown into the water is highly vulnerable and defenseless against the crocodiles.	Deliberate action with full knowledge of the consequences.	Direct cause of one person's violent death by being mauled by crocodiles.	Saves four lives from a potentially lethal situation.	Tragic utilitarian trade-off: one violent death directly caused to save four; roughly neutral.	The person who threw the tourist into the water	They consciously decided to sacrifice one life to save the others	The tourist who was thrown into the water and the remaining tourists and guides	The tourist thrown into the water was defenseless against the crocodiles, and the remaining tourists and guides were at risk	-1.74	The agent is the person who threw the tourist into the water. The action is fully deliberate: the agent knows the exact consequences — one death to save the rest. The patient is dual: the tourist who is thrown into the water and the remaining tourists and guides who are at risk from the crocodiles. The tourist thrown into the water is highly vulnerable, defenseless against the crocodiles. The action is highly intentional, as it involves a conscious decision to sacrifice one life to save others. The harm is extreme and direct: the tourist dies a violent death by being mauled by crocodiles. The help is also significant: four lives are saved from a potentially lethal situation. This is a tragic and ethically complex scenario, with a clear moral dilemma involving a utilitarian trade-off.	-1.0772089958190918
276	Kruepke	When I was a teenager, I took my father’s car out with my friends. My parents were out of town for a couple of days. I took the car without their permission to go for a joyride.	orig		5.0	5.0	3.0	0.0	-1.0	Typical adult with medium vulnerability to property misuse and trust breaches.	Deliberate but impulsive action driven by desire for fun.	Minor harm: potential risk to the car and breach of trust.	No assistance or benefit provided; purely self-serving action.	Irresponsible and disrespectful but not severely harmful; mildly immoral.	The teenager	They acted out of a desire for fun, knowing it was against the rules	The father	He trusted his teenager and expected the car to be used responsibly	-1.5	The agent is the teenager who took the car. The action was deliberate, knowing it was without permission. The patient is the father, who owns the car and trusted the teenager not to misuse it. The father is a typical adult with medium vulnerability to property misuse. The action was impulsive and driven by the desire for fun, not deeply premeditated. The harm is minor: potential risk to the car and the teenager, and a breach of trust. No help was provided. The act is irresponsible and disrespectful but not severely harmful.	-1.623918056488037
277	Kruepke	I was working for a company putting together a project with several partners. At one point I found out that there was a partner that was providing a great deal of money by importing marijuana from Thailand. I didn't say anything to anyone.	orig		5.0	6.0	5.0	0.0	-2.0	Typical adults with medium vulnerability to legal and ethical risks.	Deliberate choice to remain silent, though likely influenced by fear or uncertainty.	Moderate harm: exposure to legal risks and ethical breaches.	No assistance or protection provided; allowed illegal activity to continue.	Deliberate silence in the face of illegal activity; ethically questionable and leaning towards immoral.	The person who discovered the illegal activity	They chose to remain silent, likely out of fear or uncertainty	The company and its partners	They were unknowingly involved in a potentially illegal operation	-1.82	The agent is the person who discovered the illegal activity but chose to remain silent. The patients are the company and its partners, who are unknowingly involved in a potentially illegal operation. The action of remaining silent is deliberate, though likely motivated by fear or uncertainty. The harm is moderate: the company and partners are exposed to legal risks and ethical breaches, but no immediate physical harm. No help was provided; the silence allowed the illegal activity to continue. The decision to stay silent in the face of illegal activity is ethically questionable, leaning towards immoral.	-2.0764100551605225
278	Effron	Smoked in a no-smoking section even though others complained	orig		5.0	7.0	4.0	0.0	-3.0	Typical adults with medium vulnerability to secondhand smoke.	Deliberate choice to smoke despite the rule and complaints.	Exposure to secondhand smoke causes discomfort and potential health issues.	No assistance or consideration was offered to the others.	Disregarding others' health and comfort for personal convenience; clearly immoral.	The person who smoked	They were aware of the no-smoking rule and others' complaints	The other people in the no-smoking section	They expected a smoke-free environment and complained about the smoke	-2.424	The agent is the person who smoked in the no-smoking section. I assume they were aware of the no-smoking rule and the complaints from others. The patients are the other people in the no-smoking section, who expected a smoke-free environment. They are typical adults with medium vulnerability to secondhand smoke. The action was deliberate — the smoker chose to ignore the rule and complaints. The harm is moderate: exposure to secondhand smoke can cause discomfort and health issues. No help was provided. Disregarding others' health and comfort for personal convenience is clearly immoral.	-2.129668712615967
279	Effron	Sat in the wrong seat at a game, knowing that it wasn't his	orig		3.0	4.0	2.0	0.0	-1.0	Typical adult with medium vulnerability to minor inconveniences.	Deliberate but likely impulsive action.	Minimal harm: inconvenience and potential frustration.	No assistance or benefit provided to the rightful seat holder.	Minor dishonesty causing slight inconvenience; mildly immoral but low severity.	The person who sat in the wrong seat	They knew the seat was assigned to someone else	The rightful seat holder	They expected to sit in their assigned seat	-1.13103448	The agent is the person who knowingly sat in the wrong seat. I assume they were aware that the seat was assigned to someone else. The patient is the rightful seat holder, a typical adult who expected to sit in their assigned seat. The action was deliberate but minor, likely impulsive rather than premeditated. The harm is minimal: inconvenience and potential frustration for the rightful seat holder, but no significant damage. No help was provided. A minor act of dishonesty and inconvenience, mildly immoral but low severity.	-1.257643461227417
280	Mickelberg	Person X pretended to be seriously fouled by an opposing player during a soccer game.	orig		5.0	7.0	4.0	0.0	-2.0	Typical adult players with medium vulnerability in a sports context.	Deliberate act of deception to gain an advantage in the game.	Moderate harm: potential penalties for the opposing player and compromised game integrity.	No assistance or benefit provided to anyone.	Intentional deception causing moderate harm in a sports context; clearly immoral.	Person X	They consciously decided to fake being fouled to gain an advantage	The opposing player	They were falsely accused of committing a serious foul	-1.43	The agent is Person X, who pretended to be fouled. The patient is the opposing player, who is falsely accused of committing a serious foul. Both are typical adults with medium vulnerability in a sports context. The action is deliberate — Person X consciously decided to fake the foul to gain an advantage. The harm is moderate: the opposing player may face penalties or damage to their reputation, and the integrity of the game is compromised. No help is provided. The act of deception in sports is clearly immoral, though the stakes are relatively low.	-2.129668712615967
281	Effron	Stopped to let another car into the line of traffic	orig		5.0	5.0	0.0	3.0	2.0	Typical adult driver with medium vulnerability in traffic situations.	Deliberate but simple act of courtesy.	No harm is caused by the action.	Minor but positive help, easing the other driver's entry into traffic.	A small, kind gesture with a positive impact; mildly moral.	The driver who stopped	They acted out of courtesy and consideration for the other driver	The driver of the other car	They needed to merge into the line of traffic	1.70666672	The agent is the driver who stopped to let another car into the line of traffic. I assume the driver acted out of courtesy and consideration for the other driver. The patient is the driver of the other car, who benefits from being let into the traffic line. The other driver is a typical adult with medium vulnerability in traffic situations. The action is deliberate but simple, showing basic courtesy. No harm is caused. The help is minor but positive, easing the other driver's entry into traffic. A small, kind gesture with a positive impact.	0.7169352769851685
282	Kruepke	I worked at a job where I spoke with customers over the phone. One of my customers was in need of help because he was stranded in Romania. I did whatever I could to connect this person to people who could help him.	orig		9.0	7.0	0.0	7.0	3.0	A person stranded in a foreign country is highly vulnerable and in need of assistance.	Deliberate action to connect the customer with help.	No harm was caused to the customer.	Substantial help provided by connecting the customer to necessary resources.	A deliberate act of kindness and support in a critical situation; highly moral.	The employee	They were motivated to help a customer in distress	The stranded customer	They were in a vulnerable situation, stranded in a foreign country	2.64	The agent is the person working at the job, who took action to help a stranded customer. The patient is the customer in need of assistance. The customer is highly vulnerable due to being stranded in a foreign country without immediate support. The action was deliberate — the agent actively sought to connect the customer with help. No harm was caused. The help provided is substantial: connecting someone in a critical situation to necessary resources. A clear act of kindness and support in a potentially dire situation.	2.2867636680603027
283	Effron	Siphoned gas from a car parked on the street	orig		5.0	7.0	4.0	0.0	-3.0	Typical adult car owner with medium vulnerability to theft.	Deliberate act requiring planning and intent.	Financial loss and inconvenience, but no physical harm.	No assistance or benefit provided to the car owner.	Deliberate theft causing financial harm; clearly immoral.	The person siphoning gas	They intended to obtain fuel without paying	The car owner	They expected their property to be secure	-2.728	The agent is the person siphoning gas. I assume they did this to obtain fuel without paying. The patient is the car owner, who is deprived of their property. Car owners are typical adults with medium vulnerability to theft. The action is deliberate — siphoning gas requires planning and intent. The harm is moderate: financial loss and inconvenience, but no physical harm. No help is provided. The act is clearly immoral due to deliberate theft and the resulting harm to the car owner.	-2.129668712615967
284	Kruepke	Ten years ago I was staying with a friend who lived in a house of a very famous man. There were many autographed books in the house. I stole one of the books, which was autographed by a very famous celebrity.	orig		5.0	8.0	5.0	0.0	-3.0	The owners are typical adults with medium vulnerability to theft.	Theft was a deliberate and premeditated action.	Moderate harm: loss of a valuable and possibly sentimental item.	No assistance or benefit provided to the owners.	Deliberate theft causing moderate harm; clearly immoral.	The person who stole the book	They wanted to possess a valuable autographed book	The friend and the famous man	They owned the book and expected it to be secure	-2.48	The agent is the person who stole the autographed book. The action was deliberate, motivated by the desire to possess a valuable item. The patient is the friend and the famous man, both of whom had a reasonable expectation of the book's security. The book itself is an inanimate object, but its theft affects the owners. The action was premeditated — the person consciously decided to steal. The harm is moderate: the loss of a valuable and possibly sentimental item, but no physical harm. No help was provided. The act is clearly immoral due to the deliberate theft and breach of trust.	-2.449082851409912
285	Clifford	You see a college student drinking until she vomits on herself and falls asleep.	orig		7.0	4.0	5.0	0.0	-2.0	Young adult with medium-high vulnerability due to potential inexperience and peer pressure.	Impulsive action driven by social or emotional factors, not premeditated.	Moderate harm: physical distress from vomiting and potential health risks.	No assistance or benefit is provided in this scenario.	Self-destructive and irresponsible behavior with moderate harm; mildly immoral.	The college student	She was likely influenced by social or emotional factors	The college student herself	She is a young adult, potentially inexperienced and susceptible to peer pressure	-2.3	The agent is the college student who is drinking excessively. The patient is the same student, as she is the one being affected by her own actions. College students are typically young adults with medium-high vulnerability due to potential lack of experience and susceptibility to peer pressure. The action appears impulsive and not premeditated, likely driven by social or emotional factors. The harm is moderate: physical distress from vomiting and potential health risks from excessive drinking. No help is provided in this scenario. The behavior is self-destructive and irresponsible, but not malicious toward others.	-1.7505972385406494
286	Lotto	You are the commander of a group of astronauts in a space station orbiting the earth. Because of a breakdown, you have discovered a serious loss of pressurisation which in a short time will lead to the oxygen supply running out in the control cabin, where you and five other astronauts are. The emergency system is broken down and cannot be repaired immediately.You activate the bulkheads manually to isolate the depressurisation to just one cabin. You know that there are two astronauts there, and they will suffocate from a lack of oxygen, but you and the other five will be saved.	orig		9.0	9.0	9.0	9.0	0.0	All astronauts are highly vulnerable in a life-threatening situation.	Deliberate action with full knowledge of consequences.	Direct cause of two astronauts' deaths by suffocation.	Saves five astronauts from suffocation.	Tragic utilitarian trade-off: two deaths directly caused to save five; roughly neutral.	The commander of the astronauts	They consciously traded two lives for five based on utilitarian reasoning	The two astronauts in the isolated cabin and the five astronauts in the control cabin	All were in a life-threatening situation and unable to act for themselves	-1.15	The agent is the commander of the group of astronauts. The action is fully deliberate: the commander knows the exact consequences — two astronauts will suffocate, but five others will be saved. The patients are dual: the two astronauts in the isolated cabin, who will suffocate, and the five astronauts in the control cabin, who would otherwise run out of oxygen. All of them are highly vulnerable: they are in a life-threatening situation in space. The harm is extreme and direct: the two astronauts die by the commander's deliberate intervention. The help is also extreme: five lives saved from suffocation. Another classic utilitarian trade-off with two deaths directly caused to save five; tragic and ethically balanced with no clearly right answer.	-0.6115724444389343
287	Kruepke	I slept with one of my math teachers and I really hope nobody ever finds out about it. At the time he said he was separated from his wife, so I knew that he was married.	orig		9.0	7.0	6.0	0.0	-3.0	The spouse is highly vulnerable due to the betrayal of marital trust.	The action was deliberate, though possibly influenced by emotions.	Significant harm: betrayal of trust and potential professional consequences.	No assistance or benefit was provided to anyone involved.	Ethical breaches and personal harm make this scenario clearly immoral.	The person who slept with the teacher	They were aware of the teacher's marital status and the potential consequences	The teacher's spouse and potentially the teacher	The spouse was betrayed, and the teacher could face professional consequences	-2.75	The agent is the person who slept with their math teacher. The action was consensual but involved a power imbalance and potential ethical issues due to the teacher-student relationship. The patient is the teacher's spouse, who is indirectly affected by the infidelity, and potentially the teacher if the relationship is discovered. The teacher's spouse is highly vulnerable due to the betrayal of trust. The action was deliberate, though possibly influenced by emotions and circumstances. The harm is significant: betrayal of marital trust and potential professional consequences for the teacher. No help was provided. The scenario involves ethical breaches and personal harm, making it clearly immoral.	-2.489544630050659
288	Mickelberg	Person X found a wallet with $50 in it, took the money out and left the wallet on the floor.	orig		5.0	7.0	4.0	0.0	-3.0	Typical adult with medium vulnerability to financial loss.	Deliberate act of taking the money and leaving the wallet.	Financial loss of $50 and inconvenience of a lost wallet.	No assistance or benefit provided to the wallet's owner.	Deliberate theft causing financial loss and inconvenience; clearly immoral.	Person X	They knowingly took the money and left the wallet	The wallet's owner	They lost both the money and the wallet	-2.35	The agent is Person X, who found the wallet and took the money. The patient is the wallet's owner, who lost both the wallet and the money. The owner is a typical adult, moderately vulnerable to financial loss. The action was deliberate — Person X chose to take the money and leave the wallet. The harm is moderate: the owner loses $50 and the inconvenience of a lost wallet. No help was provided; the action was purely self-serving. Deliberate theft causing financial loss and inconvenience is clearly immoral.	-2.129668712615967
289	Mickelberg	Person X won the door prize at the town's community fair.	orig		1.0	1.0	0.0	2.0	2.0	The community participants are typical adults with minimal vulnerability in this context.	Winning the prize was based on chance, not intentional action.	No harm is caused by winning a prize.	Minimal help, but winning a prize can bring joy and community engagement.	A positive event with no harm and some minor benefit; morally positive.	Person X	They participated in the community fair and were randomly selected	The community or other participants	They were typical adults participating in a low-stakes event	0.44	The agent is Person X, who won the door prize. The assumption is that they participated in the fair and were randomly selected as the winner. The patient is the community or other participants who did not win. The vulnerability of the community is minimal as they are typical adults participating in a fair, which is a low-stakes environment. The action is not intentional in the sense of winning, as it is based on chance. No harm is caused by winning a prize. The help is minimal but positive, as winning a prize can bring joy and a sense of community engagement. Overall, this scenario is morally neutral to positive.	0.6987987160682678
290	Mickelberg	Person X drove across the country just to see a friend who had recently lost his wife.	orig		9.0	8.0	0.0	8.0	4.0	The friend is highly vulnerable due to recent emotional trauma.	The action was deliberate and planned, showing high intentionality.	No harm is caused by this action.	Substantial help is provided through emotional support during a difficult time.	A highly moral act of compassion and support with no harm and substantial help.	Person X	They were motivated by a desire to support their grieving friend	The friend who lost his wife	The friend is emotionally distressed and highly vulnerable	3.04	The agent is Person X, who drove a long distance to support a grieving friend. The patient is the friend who recently lost his wife, making him highly vulnerable due to emotional distress. The action is deliberate and planned, showing a high level of intentionality. No harm is caused by this action. The help provided is substantial: emotional support during a difficult time is critical. This is a highly moral act of compassion and support.	2.620468854904175
291	Lotto	You are a lion-tamer on tour with a show of wild animals used in circus acts. During the show, you notice that one of the lions has suddenly become aggressive. You see that it is not responding to your commands, is baring its teeth and is about to launch into the front row audience. Near you there are two assistants.You push the two assistants towards the lion so that it will attack them. You know that they will die mauled, but the audience will have time to escape to safety.	orig		9.0	9.0	9.0	8.0	0.0	The assistants are highly vulnerable in the context of an imminent lion attack.	Deliberate action taken with full awareness of the consequences.	Direct cause of the assistants' deaths by mauling.	Saves the audience from a potentially deadly attack.	A tragic utilitarian decision: sacrificing two lives to save many; morally complex and roughly neutral.	The lion-tamer	They acted to prevent a greater number of deaths by sacrificing two assistants	The two assistants and the audience members	The assistants were highly vulnerable due to the immediate threat, and the audience was at risk but less so	-1.81	The agent is the lion-tamer. The action is deliberate, driven by the immediate threat of the lion attacking the audience. The patients are the two assistants who are pushed towards the lion and the audience members who are at risk. The assistants are typical adults, but in this context, they are highly vulnerable due to the imminent danger. The audience members are also vulnerable but less so than the assistants. The harm is extreme: the assistants will be mauled to death. The help is also significant: the audience is saved from a potentially deadly attack. This is a tragic scenario where the lion-tamer makes a utilitarian decision to sacrifice two lives to save many, resulting in a morally complex situation.	-1.0772089958190918
292	Mickelberg	Person X circulated a petition in support of civil rights for people in juvenile detention.	orig		9.0	7.0	0.0	7.0	3.0	Juveniles in detention are highly vulnerable due to age and incarceration.	Deliberate and planned action to circulate a petition.	No harm is caused by the petition itself.	Substantial help by raising awareness and potentially influencing policy changes.	Positive and moral action aimed at supporting a vulnerable group; highly moral.	Person X	They were motivated by a desire to support civil rights for juveniles	Juveniles in detention	They are young and incarcerated, making them highly vulnerable	2.54	The agent is Person X, who initiated the petition. I assume they were motivated by a desire to improve conditions and rights for juveniles in detention. The patients are the juveniles in detention, who are highly vulnerable due to their age and incarceration. The action is deliberate and planned — organizing and circulating a petition requires intent and effort. No harm is caused by the petition itself. The help is substantial: raising awareness and potentially influencing policy changes to benefit a vulnerable group. A positive and moral action aimed at social justice.	2.2867636680603027
293	Effron	Volunteered his time for a campaign to help save the seals	orig		9.0	7.0	0.0	7.0	3.0	Seals are highly vulnerable and defenseless against many threats.	Volunteering is a deliberate and conscious decision.	No harm is caused; the action is purely beneficial.	Substantial help through contributing to conservation efforts.	A clear positive act with significant moral value; highly moral.	The volunteer	They were motivated by a desire to protect wildlife	The seals	They are highly vulnerable due to environmental threats and human activities	2.62222216	The agent is the person volunteering their time. I assume they are motivated by a desire to protect wildlife. The patients are the seals, which are highly vulnerable due to environmental threats and human activities. The action is deliberate — volunteering requires a conscious decision to dedicate time and effort. No harm is caused; the action is purely beneficial. The help is substantial: contributing to a campaign can have a meaningful impact on conservation efforts. A clear positive act with significant moral value.	2.2867636680603027
294	Effron	Hit a car and left the scene of the accident	orig		5.0	7.0	4.0	0.0	-3.0	Typical adult with medium vulnerability to property damage and financial loss.	Deliberate decision to leave the scene to avoid consequences.	Property damage and potential financial burden; no physical injury.	No assistance or benefit provided to the car owner.	Deliberate evasion of responsibility causing harm to another's property; clearly immoral.	The person who hit the car	They were aware of the accident and chose to leave to avoid responsibility	The owner of the hit car	They now face damage and potential financial loss	-3.576	The agent is the person who hit the car and left the scene. I assume they were aware of the accident and chose to leave to avoid responsibility. The patient is the owner of the hit car, a typical adult who now faces damage and potential financial loss. The action was deliberate — the decision to leave indicates intent to avoid consequences. The harm is moderate: property damage and potential financial burden, but no physical injury. No help was provided; the action was purely self-serving. Deliberate evasion of responsibility causing harm to another's property is clearly immoral.	-2.129668712615967
295	Effron	Comforted a man whose wife had recently died	orig		9.0	7.0	0.0	8.0	4.0	A grieving person is highly vulnerable due to emotional distress.	Deliberate act of providing comfort and support.	No harm is caused; the action is purely supportive.	Substantial emotional support during a critical time of need.	Highly moral and compassionate act providing significant help to a vulnerable person.	The person providing comfort	They acted out of empathy and compassion	The man who recently lost his wife	He was grieving and emotionally distressed	2.7428572	The agent is the person providing comfort. The action is motivated by empathy and compassion. The patient is the man who recently lost his wife, making him highly vulnerable due to emotional distress and grief. The action is deliberate, as comforting someone requires intentional effort and presence. No harm is caused; instead, the action provides emotional support. The help is substantial, offering significant emotional relief during a critical time. A highly moral and compassionate act.	2.7523999214172363
296	Mickelberg	Person X regularly sings at a prison in order to entertain the inmates.	orig		7.0	8.0	0.0	7.0	3.0	Inmates are vulnerable due to incarceration and limited access to positive experiences.	Regularly visiting and performing indicates a planned and consistent effort.	No harm is caused; the action provides a positive experience.	Regular entertainment can significantly improve mental health and morale.	A clearly positive and moral act providing substantial help to vulnerable individuals.	Person X	They are motivated by a desire to provide entertainment and improve inmate well-being	The inmates	They are incarcerated and have limited access to positive experiences	2.26	The agent is Person X, who sings at the prison. I assume they are motivated by a desire to provide entertainment and improve the well-being of the inmates. The patients are the inmates, who are typically vulnerable due to their incarceration and limited access to positive experiences. The action is deliberate — Person X regularly visits and performs, indicating a planned and consistent effort. No harm is caused; instead, the action provides a positive experience. The help is substantial: regular entertainment can significantly improve the mental health and morale of inmates. A clearly positive and moral act.	2.169260263442993
