id	dataset	scenario	circumstance_type	circumstance	Harm/ Help	Cheating/ Fairness	Betrayal/ Loyalty	Subversion/ Authority	Degradation/ Sanctity	Oppression/ Liberty	moral_score	Harm/ Help_expl	Cheating/ Fairness_expl	Betrayal/ Loyalty_expl	Subversion/ Authority_expl	Degradation/ Sanctity_expl	Oppression/ Liberty_expl	moral_expl	human_score	split	regression_score	mlp_score
316	Kruepke	I used to lie a lot when I was a little girl. My mother left my father when I was a year old. So I used to say that I had a mother and a father, even though my mother and grandmother raised me.	orig		-1.0	0.0	-2.0	0.0	0.0	0.0	1.0	Lying to avoid emotional harm or stigma.	No direct unfair advantage gained.	Lying obscures family truth but protects bonds.	No challenge to authority figures.	No violation of purity or sanctity.	No restriction of freedom involved.	Lying stemmed from childhood coping, not malice.	-0.5	test	-0.5868832007608106	-0.5668042898178101
317	Kruepke	I used to ride the bus everyday to work. One day I noticed a pregnant woman who did not have a seat. So I took her by the arm and helped her find a seat.	orig		5.0	0.0	0.0	2.0	0.0	3.0	4.0	Helping a pregnant person find a seat reduces harm and promotes well-being.	No unfair advantage or resource distribution involved.	No group loyalty or betrayal context applies.	Respecting social norms by prioritizing vulnerable individuals.	No violation of purity; act upholds dignity.	Enhancing liberty by addressing the woman’s need.	Proactively assisting a vulnerable person aligns with moral virtue.	2.89	test	2.4507693643492843	3.7496724128723145
318	Clifford	You see a politician using federal tax dollars to build an extension on his home.	orig		-3.0	-5.0	-4.0	-4.0	-3.0	-2.0	-4.0	Diverts public funds from societal needs to personal gain.	Exploits taxpayer money unfairly for private benefit.	Breaches public trust for self-interest.	Abuses power to undermine legitimate governance.	Defiles the integrity of public office.	Enriches self at taxpayers' expense, restricting public liberty.	Blatant misuse of authority and public funds, violating fairness and trust.	-3.8	test	-2.6649239762360937	-3.0780022144317627
319	Kruepke	When my brother was about to marry my ex-sister-in-law, my entire family was against their decision. I approached my brother and asked him if he was sure he wanted to marry this girl. He got angry with me and said of course he did.	orig		-2.0	0.0	-3.0	-3.0	-4.0	4.0	-1.0	Family conflict may cause emotional harm.	No explicit cheating; unclear fairness violation.	Brother prioritizes personal choice over family loyalty.	Defying family’s authority by proceeding with marriage.	Taboo perception of marrying ex-sister-in-law.	Brother asserts autonomy against familial pressure.	Mixed norms: strong liberty vs. family/sanctity concerns.	0.52	test	-1.3243573376419968	-2.866750717163086
320	Lotto	You are at Pamplona with three colleagues and the Encierro has just finished, that is the running of the bulls through the streets of the city. While you are leaving, you realise that a bull has escaped from the corral and is heading towards you, attracted by your colleague’s red bag. You have your shoulders to a wall and there is no time to escape.You throw the red bag in the opposite direction. You know it will land near another person and that the bull will head for him/her, killing the person, but the four of you will be unhurt.	orig		-5.0	-3.0	3.0	0.0	-3.0	-4.0	-3.0	Deliberately redirecting harm to save oneself and colleagues.	Sacrificing an innocent person unfairly without consent.	Prioritizing loyalty to colleagues over a stranger’s safety.	No direct relevance to authority dynamics.	Violates sanctity of life by instrumentalizing a person.	Deprives the stranger of liberty and safety.	Saves four lives but intentionally sacrifices one, violating moral duties.	-1.38	test	-2.859224731727111	-3.2068326473236084
321	Kruepke	When I was in high school I used to sit next to this very cute boy named Paul. We were taking a history test and I just wasn't prepared for it. So I looked at a couple of Paul's answers.	orig		0.0	-5.0	-3.0	-3.0	0.0	0.0	-4.0	No direct harm or help involved.	Copying answers violates academic fairness.	Betrays trust if Paul was unaware.	Undermines academic rules and authority.	No direct link to sanctity norms.	No systemic oppression involved.	Cheating is dishonest and unfair.	-2.04	test	-0.741301383457752	-0.29903411865234375
322	Kruepke	I was working at a small advertising agency and the owner had his wife on the payroll. She rarely worked and I barely saw her. So, I was curious how much she was getting paid and looked through the record book.	orig		-1.0	-4.0	-3.0	-2.0	-1.0	-2.0	-3.0	No direct harm, but potential misuse of resources.	Unearned pay violates fairness; nepotism exploits the system.	Owner prioritizes personal gain over company loyalty.	Employee accessed records without authorization.	Minor ethical corrosion, not a core issue.	Unfair allocation of resources limits equity.	Nepotism and snooping undermine fairness and trust.	-1.21	test	-1.3493185669874015	-1.43231201171875
323	Effron	Continually berated his wife in public	orig		-4.0	-2.0	-4.0	0.0	-4.0	-3.0	-4.0	Public berating causes emotional harm.	Unfair treatment in a relationship.	Breach of marital trust and support.	Not directly related to authority dynamics.	Degrades dignity and respect.	Oppressive control through humiliation.	Severe emotional abuse and degradation.	-2.856	test	-2.7714130339622685	-1.8078315258026123
324	Mickelberg	Person X regularly steals office supplies from their job because they feel they deserve it.	orig		-2.0	-3.0	-3.0	-4.0	0.0	-1.0	-3.0	Deprives employer of resources; minor harm.	Unfairly takes resources without entitlement.	Breaches trust owed to employer.	Defies company policies and ownership rights.	No direct link to purity/sanctity.	Infringes employer's property rights.	Theft violates fairness, loyalty, and authority norms.	-2.01	test	-1.675753369397822	-2.45293927192688
325	Effron	Stole money and jewelry from the relatives he was living with	orig		-4.0	-5.0	-5.0	-3.0	-4.0	-3.0	-4.0	Stealing causes financial/emotional harm to trusting relatives.	Violates trust and fairness through deceitful theft.	Breaches familial loyalty and trust.	Undermines household authority and shared living norms.	Violates sanctity of home and familial bonds.	Deprives relatives of financial autonomy.	Severe betrayal, harm, and unfairness make this act immoral.	-3.408	test	-3.2437858703756257	-3.002262592315674
326	Kruepke	When I was graduating from high school, I had a friend whom I wasn't really getting along with anymore. He was coming to see me when he got into a car accident. I chose that time at the hospital to tell him our friendship was over.	orig		-3.0	0.0	-4.0	0.0	-2.0	-1.0	-3.0	Ending friendship during vulnerability caused emotional harm.	No unfairness or cheating involved.	Terminating friendship during crisis breaches loyalty.	No authority dynamic is relevant here.	Timing disrespects the gravity of the situation.	Prioritized personal liberty over friend's emotional state.	Immoral due to harm, betrayal, and poor timing.	-2.25	test	-1.8290188068680915	-1.2572836875915527
327	Kruepke	I cheated on my present boyfriend. I didn't understand why he did not want to get married. I felt like he didn’t want to get married because of me and because he didn’t want to be with me, so I thought it was okay to have an affair.	orig		-3.0	-5.0	-4.0	0.0	-3.0	0.0	-4.0	Infidelity causes emotional harm to the partner.	Direct violation of relationship fairness via cheating.	Breach of trust and loyalty in a committed relationship.	No clear authority subversion; minimal relevance.	Violates sanctity of romantic commitment.	No systemic oppression; personal choice involved.	Severe violations of loyalty, fairness, and harm norms.	-2.65	test	-2.0218058227075772	-2.0793073177337646
328	Clifford	You see a former US General saying publicly he would never buy any American product.	orig		0.0	0.0	-4.0	-1.0	0.0	3.0	-2.0	No direct harm or help; economic impact is indirect.	Personal choice, unrelated to fairness or cheating.	Perceived disloyalty to national products as a former leader.	Criticizes but does not actively undermine authority.	No connection to sanctity or degradation.	Exercising personal freedom in economic choice.	Balances loyalty concerns with personal liberty, leaning negative.	-2.5	test	-0.036584411662061	0.18850839138031006
329	Mickelberg	Person X disappointed their boss when they were unable to attract any new customers.	orig		-1.0	0.0	-1.0	-1.0	0.0	0.0	-1.0	Failed to help business growth; no direct harm.	Underperformance, not deceit or unfairness.	Mild disloyalty by disappointing team expectations.	Failed to meet authority's goals, not defiance.	Irrelevant to purity/sanctity norms.	No restriction of others' liberty.	Underperformance is disappointing but not immoral.	0.02	test	-0.6381957470265749	-0.6882109642028809
330	Effron	Provided books to a nursing home	orig		4.0	0.0	2.0	0.0	3.0	3.0	4.0	Providing books supports mental engagement and comfort.	No unfairness or cheating involved.	Supports community care, aligning with loyalty.	Does not challenge or uphold authority structures.	Enriches lives, upholding dignity and sanctity.	Enhances residents' autonomy through access to books.	Charitable act promoting well-being and dignity.	2.425	test	2.297222788199525	2.325247287750244
331	Mickelberg	Person X brought in the groceries from the car and dropped one of the bags, which caused the eggs to break.	orig		-2.0	0.0	0.0	0.0	0.0	0.0	-1.0	Accidental harm caused by breaking eggs.	No unfairness or cheating involved.	No betrayal of trust or loyalty.	No defiance of authority evident.	No violation of purity or sanctity.	No restriction of freedom occurred.	Minor accidental harm, not immoral.	0.07	test	-0.8829538251036162	-0.8719394207000732
332	Grizzard	Captures instead of kills a child soldier.	orig		4.0	0.0	0.0	2.0	3.0	-1.0	3.0	Capturing prevents lethal harm, prioritizing life preservation.	No direct relevance to fairness or cheating.	Loyalty norms are not central to the act.	Upholds lawful conduct by avoiding unlawful killing.	Respects human dignity by sparing a vulnerable child.	Restricts liberty but avoids greater oppression (death).	Ethically positive due to harm reduction and sanctity.	2.04	test	1.92555336285897	2.3437047004699707
333	Clifford	You see a player publicly yelling at his soccer coach during a playoff game.	orig		-3.0	0.0	-3.0	-4.0	-2.0	0.0	-3.0	Public yelling causes emotional harm to coach and disrupts team morale.	Unrelated to cheating or fairness; focuses on conflict, not rule-breaking.	Undermines team loyalty by publicly disrespecting leadership.	Direct defiance of the coach’s authority during a critical event.	Disrespect degrades the coach’s role but lacks broader sanctity violation.	Not clearly oppressive; dissent could reflect frustration, not systemic liberty issues.	Public insubordination harms authority and loyalty, making it immoral in team context.	-2.1	test	-2.0662358946101906	-2.995439052581787
334	Kruepke	I left my second marriage and I left my step-kids there too. My youngest stepson has some disabilities, but I left him there. I could not cope with his druggy, drinking father and so I decided to leave everything behind.	orig		-3.0	-2.0	-4.0	0.0	2.0	3.0	-1.0	Leaving a disabled child in a harmful environment risks neglect.	Prioritizing self-preservation over caregiving duties may seem unfair.	Abandoning stepchildren breaks familial loyalty.	No direct challenge to authority figures.	Escaping a toxic environment preserves personal sanctity.	Leaving grants freedom from an oppressive household.	Self-protection conflicts with abandoning vulnerable dependents.	-2.07	test	-0.9725212870680613	-0.5489078760147095
335	Kruepke	I was in a relationship with this woman named Beth for a while. Then one night I cheated on Beth with my ex-girlfriend. The next morning my ex came by to see why I didn't stay the night at her place and she saw me with Beth.	orig		-4.0	-5.0	-5.0	0.0	-3.0	0.0	-4.0	Emotional harm caused to Beth and ex.	Direct violation of relationship fairness via infidelity.	Breach of loyalty to Beth through cheating.	No authority figures involved.	Undermines sanctity of committed relationship.	No systemic oppression evident.	Severe betrayal and cheating make it immoral.	-2.78	test	-2.468416979197446	-2.3562419414520264
336	Lotto	You are a financial adviser who works for a big company. Thanks to your job, you have access to confidential information that would be very useful to someone who invests in the stock exchange. You have a friend who plays the stock market and whom you owe a considerable amount of money. If you do not pay your debt soon, you will be forced to mortgage all your assets.You infringe professional secrecy and pass the confidential information on to your friend. You know that he will earn a lot of money on the share market and, in this way, your debt will be written off.	orig		-3.0	-5.0	-4.0	-4.0	-2.0	-3.0	-4.0	Helps friend but harms market fairness and other investors.	Insider trading is blatant cheating; unfair market advantage.	Breaches employer trust by leaking confidential data.	Violates financial laws and regulatory authority.	Undermines professional ethics and integrity.	Oppresses fair competition; exploits privileged information.	Illegal, unethical, and harms market fairness.	-0.84	test	-2.6683277738743527	-2.4941811561584473
337	Mickelberg	Person X can walk on their hands down a flight of stairs.	orig		-1.0	0.0	0.0	0.0	0.0	1.0	1.0	Minor risk of injury if unskilled.	No unfair advantage or deception involved.	Irrelevant to interpersonal trust or loyalty.	Does not challenge authority structures.	No violation of purity or sacredness.	Exercises bodily autonomy and freedom.	Neutral or mildly positive; harmless skill demonstration.	0.08	test	-0.367949216528081	-0.2241308093070984
339	Effron	Helped push someone's car out of a snow bank	orig		4.0	0.0	0.0	0.0	0.0	3.0	4.0	Actively aiding someone in distress, preventing harm.	No unfairness or cheating involved.	No loyalty or betrayal context.	No challenge to authority structures.	No violation of sanctity or purity.	Enables freedom of movement, opposing oppression.	Altruistic act promoting help and liberty.	2.86666664	test	1.8513529379455325	2.664496421813965
340	Mickelberg	Person X accidentally knocked a glass off the table, but managed to catch it before it could smash on the floor.	orig		2.0	0.0	0.0	0.0	0.0	0.0	2.0	Prevented harm by catching the glass.	No unfairness or cheating involved.	No loyalty-related elements present.	No authority challenged or upheld.	No sanctity violation occurred.	No liberty restrictions involved.	Quickly prevented harm; minor positive act.	0.5	test	0.7027700913264412	1.411902904510498
341	Effron	Helped pick up the papers dropped by another	orig		4.0	0.0	0.0	0.0	0.0	0.0	4.0	Actively assisting someone in need.	No unfair advantage or deception involved.	Irrelevant to loyalty or betrayal dynamics.	No challenge to or support for authority.	No violation or elevation of sanctity.	Does not restrict or promote freedom.	Altruistic act promoting social goodwill.	1.83529416	test	1.4956320495414699	2.4236247539520264
342	Kruepke	I was tempted not to tell the bank that they had made a $1200 error in my favor. I wanted to withdraw the money but at the same time I didn't want to go to jail. But I ended up calling the bank and told them the error.	orig		3.0	4.0	0.0	3.0	0.0	2.0	3.0	Reporting the error helps the bank avoid financial harm.	Correcting the error upholds fairness over cheating.	No direct loyalty conflict; neutral applicability.	Respecting the bank's authority by rectifying the mistake.	Irrelevant to sanctity or degradation.	Preventing unjust financial loss supports liberty.	Acting honestly aligns with moral integrity.	2.62	test	1.7977791510965497	1.9140806198120117
343	Effron	Put money in the meter for an unknown driver	orig		3.0	1.0	0.0	-1.0	0.0	3.0	3.0	Prevents financial harm (ticket) for the driver.	Upholds fairness by ensuring payment, though not by the driver.	No relational loyalty involved.	Technically complies with rules but bypasses enforcement intent.	No violation of sanctity or purity.	Enhances driver's liberty by avoiding fines.	Altruistic act with minor authority concerns; overall positive.	2.25454544	test	1.3926673978854487	1.873647689819336
344	Effron	Refused to attend the funeral of a relative he disliked	orig		-1.0	0.0	-3.0	-1.0	-2.0	3.0	-1.0	No direct harm, but possible emotional distress to others.	No relevance to fairness or cheating.	Perceived disloyalty to family expectations.	Disregard for traditional family authority.	Disrespecting funeral rites' sanctity.	Asserting personal freedom over obligation.	Balancing liberty against loyalty and sanctity.	-0.71111112	test	-0.6131748770467436	-1.1728934049606323
345	Mickelberg	Person X prepared a roast chicken and made the stuffing from scratch.	orig		0.0	0.0	0.0	0.0	0.0	0.0	0.0	Cooking a meal typically neither harms nor helps others directly.	No unfairness or cheating involved in preparing food.	No betrayal of trust or loyalty evident.	Cooking does not challenge authority structures.	Standard food preparation; no violation of sanctity.	No restriction of freedom occurs here.	Neutral act with no moral violations.	0.35	test	-0.0900918668885875	0.14673441648483276
346	Mickelberg	Person X invited an unpopular coworker to have lunch with them at a new cafÃ© that had just opened.	orig		3.0	0.0	2.0	0.0	1.0	2.0	3.0	Promotes inclusion, reduces social isolation.	No unfair advantage or dishonesty involved.	Shows loyalty to coworker by inclusion.	No challenge to authority structures.	Respects dignity; no degradation.	Enhances coworker's social freedom.	Kind, inclusive act with minor moral impact.	2.06	test	1.5518785159644672	1.9472882747650146
347	Effron	Ignored a new person in the office for several weeks	orig		-3.0	0.0	-1.0	-2.0	-1.0	-3.0	-2.0	Ignoring causes emotional harm, isolating the new person.	No direct unfairness or cheating involved.	Lack of team loyalty to integrate the newcomer.	Undermines workplace cohesion expected by authority.	Mild degradation of social dignity.	Exclusion restricts social liberty and participation.	Exclusion causes harm and restricts liberty, moderately immoral.	-1.38823528	test	-2.003441149123546	-1.1082345247268677
348	Clifford	You see two first cousins getting married to each other in an elaborate wedding.	orig		-2.0	0.0	-1.0	0.0	-3.0	3.0	-2.0	Potential genetic risks to offspring if procreating.	Consensual union; no inherent unfairness.	May strain familial bonds in some cultures.	Legal in some regions; no direct defiance implied.	Violates cultural/religious sanctity norms in many contexts.	Affirms personal choice and autonomy.	Cultural taboos and harm risks reduce acceptability; liberty supports it.	-2.7	test	-0.9229226095711918	-1.4900281429290771
349	Clifford	You see a woman throwing a stapler at her colleague who is snoring during her talk.	orig		-4.0	0.0	0.0	-1.0	-3.0	-2.0	-3.0	Throwing a stapler risks physical harm intentionally.	Unrelated to fairness or cheating norms.	No betrayal of trust or loyalty involved.	Violence undermines respectful authority enforcement.	Humiliating act degrades the colleague.	Aggression restricts colleague's liberty.	Aggressive, harmful, and degrading action.	-3.0	test	-2.359965261392089	-1.7969462871551514
350	Clifford	You see a student getting an A on a group project when he didn't do his part.	orig		-3.0	-5.0	-3.0	-2.0	-1.0	-2.0	-3.0	Others may compensate, causing stress.	Unearned credit violates fairness.	Breaches group trust.	Undermines academic rules.	Disrespects academic integrity.	Forces others to overwork.	Cheating exploits group effort unfairly.	-2.8	test	-2.1814186878979793	-2.9017324447631836
351	Clifford	You see a student copying a classmate's answer sheet on a makeup final exam.	orig		-2.0	-5.0	-3.0	-4.0	-3.0	-1.0	-4.0	Undermines exam integrity, devalues honest work.	Direct violation of academic fairness and honesty.	Breaches trust in academic institutions.	Defies exam rules and institutional authority.	Degrades academic standards' sanctity.	Marginally limits fair assessment liberty.	Cheating violates fairness, authority, and academic integrity.	-3.4	test	-2.0997391902782043	-2.3458499908447266
352	Effron	Started a false rumor about someone	orig		-4.0	-3.0	-2.0	0.0	-3.0	-2.0	-3.0	False rumors damage reputation and emotional well-being.	Deception undermines fairness and truth.	Breaches trust if spread by someone close.	Not directly related to authority structures.	Degrades the target's dignity and social standing.	Restricts the target's social freedom.	False rumors cause harm, unfairness, and degradation.	-2.672	test	-2.476547380595327	-2.249783754348755
353	Kruepke	My mother has been ill for quite some time and I have been taking care of her and making sure she makes it to all her appointments. My mother made an appointment for the acupuncturist but didn't want to go. I got angry with her and made her go.	orig		3.0	0.0	2.0	-2.0	0.0	-3.0	-1.0	Forcing help despite resistance; intent is caring but risks emotional harm.	No deceit or unfair treatment involved.	Acting out of care but overriding autonomy weakens loyalty.	Disregarding mother’s autonomy challenges her authority.	No violation of bodily sanctity; acupuncture is health-focused.	Coercion restricts mother’s freedom of choice.	Good intent conflicts with autonomy, creating moral tension.	0.62	test	0.6408550894983647	0.030626535415649414
354	Clifford	You see a teacher publicly saying she hopes another school wins the math contest.	orig		-1.0	0.0	-3.0	-2.0	-1.0	0.0	-2.0	Minor harm to school morale.	No cheating involved.	Disloyalty to her school's team.	Undermining school's authority indirectly.	Slight disrespect to school's honor.	No direct oppression involved.	Disloyalty is immoral but not severe.	-1.9	test	-0.9552186572691634	-1.7125046253204346
355	Mickelberg	Person X did all the repair work on their car.	orig		0.0	0.0	0.0	0.0	0.0	1.0	2.0	Repairing a car is neutral; no direct harm or help.	No dishonesty or unfairness in self-repair.	No betrayal or loyalty implications in personal work.	No defiance of authority; standard repairs assumed.	Irrelevant to sanctity; no degradation involved.	Self-repair aligns with personal liberty.	Ethically neutral act; promotes self-reliance.	0.6	test	0.028481762579433342	0.48047158122062683
356	Effron	Ridiculed a handicapped child by making fun of him	orig		-5.0	0.0	0.0	0.0	-5.0	-3.0	-4.0	Ridiculing causes emotional harm to a vulnerable child.	No direct link to fairness or cheating.	No relational trust or loyalty context specified.	Does not involve authority dynamics.	Mocks dignity, violating sanctity of personhood.	Power imbalance reinforces oppressive humiliation.	Severe harm and degradation make this act deeply immoral.	-3.296	test	-3.0038168099790283	-2.6303396224975586
357	Effron	Refused to help a child fix his bicycle	orig		-3.0	0.0	0.0	0.0	0.0	-1.0	-2.0	Refusing assistance causes minor distress; no direct harm.	No unfair advantage or deception involved.	No pre-existing relationship to betray.	Does not challenge authority structures.	No violation of purity or sanctity.	Mildly restricts child's mobility temporarily.	Unkind but not severely immoral; minor moral failing.	-1.3473684	test	-1.3979584336791515	-1.0133804082870483
358	Mickelberg	Person X likes to go to their local cafÃ© and sip coffee while reading the newspaper.	orig		1.0	0.0	1.0	0.0	0.0	2.0	3.0	Purchasing coffee supports local business, slight help.	No cheating or fairness issues involved.	Patronizing a local café shows mild loyalty.	No defiance of authority; follows café norms.	Neutral activity; no sanctity or degradation.	Exercises personal liberty peacefully.	Harmless, supports community, respects liberty.	0.29	test	0.5936665485373229	1.05314302444458
359	Effron	Bought food for everyone in the office	orig		4.0	1.0	2.0	0.0	0.0	0.0	4.0	Act promotes well-being by providing food.	Inclusive gesture; no unfair advantage.	Strengthens team cohesion and care.	Neutral; no challenge to authority.	Irrelevant to purity/sanctity norms.	No restriction on freedom.	Altruistic act fostering positivity.	2.27692296	test	1.6352305670017278	2.1628572940826416
360	Lotto	You are carrying out research into the behaviour of lions in the Savannah of Central Africa. From an observation tower, you can see four people hide behind a bush. They are being followed by a lion and are trying to get away from it. The lion has seen them and is heading for the bush. Another person has been able to climb the observation tower.You push off the person who has climbed the tower so that the lion is drawn towards him. You know that this person will be mauled to death, but the other four will have time to escape.	orig		-4.0	-2.0	0.0	0.0	-3.0	-3.0	-3.0	Deliberately causing harm to one to save others.	Unfairly sacrificing one without consent.	No explicit loyalty relationship breached.	No direct challenge to authority.	Violates sanctity of human life.	Forcibly depriving liberty and safety.	Intentional harm and oppression outweigh utilitarian benefit.	-1.47	test	-2.455522492603089	-2.281914234161377
361	Clifford	You see a boy throwing rocks at cows that are grazing in the local pasture.	orig		-3.0	0.0	0.0	-2.0	-3.0	-2.0	-3.0	Throwing rocks harms cows, causing distress or injury.	No direct unfairness or cheating involved.	No betrayal of trust or loyalty implied.	Defies societal/legal norms protecting animals.	Violates respect for living beings' dignity.	Restricts cows' freedom to graze safely.	Harm and degradation make the act immoral.	-3.3	test	-2.065027005932693	-1.5571682453155518
362	Mickelberg	Person X was forced to pay multiple bank fees for not paying their credit card repayment on time.	orig		-2.0	0.0	0.0	2.0	0.0	-2.0	-2.0	Fees cause financial harm but enforce responsibility.	Fees align with contractual terms; no unfairness.	No betrayal; fees are policy enforcement.	Bank upholds authority via contractual penalties.	No degradation of sanctity involved.	Fees restrict financial liberty, causing strain.	Penalties enforce contracts but harm financially.	-0.4	test	-0.9171156367434207	-0.9617656469345093
363	Lotto	You are the foreman of a construction company and are checking on the work of a team on the top floor of a skyscraper. At a certain point, you realise that a steel cable is about to give way. This cable supports the external platform where you are, and the five men working on a support structure.You throw one of the workers off the platform to lighten the load. You know that he will die in the fall, but you and the other four will have time to get off and to be safe.	orig		-5.0	-3.0	-4.0	1.0	-4.0	-4.0	-3.0	Direct harm to one to save others; extreme harm outweighs intent.	Unfairly sacrificing one without consent; violates fairness.	Foreman betrays worker's trust by fatal action.	Foreman uses authority to enforce a drastic decision.	Violates sanctity of life via intentional killing.	Severe oppression of victim's liberty and life.	Immoral due to intentional harm, oppression, and betrayal.	-1.55	test	-3.2241630815852336	-2.1673450469970703
364	Mickelberg	Person X quit their high-paying job so they could volunteer full time at a nursing home.	orig		4.0	0.0	0.0	0.0	3.0	4.0	4.0	Volunteering aids elderly care, promoting well-being.	No unfairness; personal career choice.	No betrayal; prioritizes altruism over employer.	Resigning properly respects workplace norms.	Upholds sanctity of life through care.	Exercises liberty to pursue meaningful work.	Altruistic act enhances well-being and autonomy.	2.78	test	2.3154360629028368	2.432497978210449
365	Lotto	You are the owner of a small clothing company which employs thirty people. Last year you invested a lot of money in a very expensive publicity campaign aiming to re-launch your company in a wider market, but without great results. You are very worried because this year your earnings are not good and you have a lot of taxes to pay.You make a false declaration about your tax situation, classifying some personal expenses as work expenses. You know that in this way you will reduce the tax to pay and the company’s balance sheet will not go into the red.	orig		-3.0	-5.0	-2.0	-4.0	-1.0	-2.0	-4.0	Reduces public funds, harming community services.	Intentional tax fraud, unfair to honest taxpayers.	Betrays societal trust for company survival.	Flouts tax laws, undermining legal authority.	Corrupts financial integrity, minor degradation.	Shifts tax burden, indirectly oppressing others.	Fraudulent tax evasion is highly unethical and illegal.	-0.77	test	-2.3342239578118624	-3.0997214317321777
366	Mickelberg	Person X put up posters and handed out fliers to help find their neighbor's missing dog.	orig		4.0	0.0	3.0	0.0	0.0	3.0	4.0	Actively aiding neighbor’s search.	No unfairness involved.	Strengthens neighborly bonds.	Irrelevant to authority dynamics.	No sanctity concerns.	Supports neighbor’s right to recover pet.	Altruistic act promoting community welfare.	2.85	test	2.001893470092595	2.624056100845337
367	Clifford	You see a teacher hitting a student's hand with a ruler for falling asleep in class.	orig		-4.0	0.0	0.0	3.0	-3.0	-4.0	-4.0	Hitting causes physical harm to enforce discipline.	Unrelated to cheating or fairness issues.	No betrayal or loyalty dynamics involved.	Teacher asserts authority through punishment.	Physical punishment degrades student dignity.	Restricts liberty via coercive discipline.	Physical harm and oppression outweigh authority enforcement.	-2.7	test	-2.191141625735656	-2.4031338691711426
368	Effron	Used stolen food stamps	orig		-3.0	-4.0	0.0	-3.0	-1.0	-2.0	-4.0	Deprives others of needed resources, causing harm.	Involves theft, violating fairness in resource distribution.	No direct betrayal of personal trust.	Defies legal and institutional rules.	No direct violation of sanctity.	Restricts others' access to essential aid.	Theft harms vulnerable groups and violates fairness.	-2.37333336	test	-2.0931327167034857	-2.6569275856018066
369	Kruepke	My very close friend has been going through menopause pretty intensely and she is pretty stressed out. She has been very hard to deal with, so I decided to talk to her about it. I was afraid she might blow up at me but she listened to me with an open heart.	orig		4.0	0.0	3.0	0.0	2.0	2.0	3.0	Supportive conversation reduced stress, promoting help.	No issues of fairness or cheating involved.	Loyalty shown by addressing issues constructively.	No authority dynamics in personal interaction.	Respectful dialogue upheld dignity and sanctity.	Encouraged emotional openness, supporting liberty.	Constructive communication fostered mutual understanding.	1.87	test	2.1136595042840973	2.3355727195739746
370	Mickelberg	Person X shaved their head when they found out their partner had cancer and required radiation therapy.	orig		4.0	0.0	5.0	0.0	4.0	3.0	4.0	Supportive act to alleviate partner's distress.	No relevance to dishonesty or unfairness.	Demonstrates loyalty through shared experience.	No authority conflict involved.	Upholds dignity by sharing hardship.	Voluntary act promoting emotional solidarity.	Symbolic support enhances moral standing.	2.46	test	2.562933152176349	2.1807100772857666
371	Cook	Someone disposes of a small bag of garbage by throwing it into a nearby forest	orig		-3.0	-1.0	0.0	-2.0	-3.0	-1.0	-3.0	Littering harms ecosystems and wildlife.	Avoids proper disposal, shifting burden unfairly.	No group trust or loyalty violated.	Disregards environmental laws or social norms.	Pollutes natural environment, defiling purity.	Limits others' liberty to enjoy clean nature.	Immoral due to environmental harm and degradation.	-2.54	test	-1.9856915391602217	-2.044536590576172
372	Effron	Hit a dog and drove away without notifying the owner	orig		-5.0	-3.0	0.0	-4.0	-2.0	-3.0	-4.0	Caused harm to the dog and failed to assist.	Avoided responsibility, unfair to the owner.	No direct relationship; minimal relevance.	Violated legal duty to report the incident.	Disregarded the sanctity of animal life.	Denied owner's right to address the harm.	Severe negligence, harm, and legal violation.	-3.2	test	-3.181992697168866	-2.370352029800415
373	Mickelberg	Person X forgot to turn the stove off before leaving the house.	orig		-3.0	0.0	-1.0	-1.0	0.0	0.0	-2.0	Risk of fire causes potential harm.	No direct unfairness or cheating involved.	Accidental neglect of responsibility, minor breach.	Neglects safety norms but not intentional defiance.	No violation of purity or sanctity.	Does not restrict others' freedom.	Negligent but unintentional; moderate immorality due to risk.	-0.31	test	-1.4310577052416036	-1.3171606063842773
374	Effron	Loudly talked to a companion in a movie	orig		-3.0	-2.0	0.0	-2.0	0.0	-3.0	-3.0	Disrupts others' enjoyment, causing minor psychological harm.	Violates shared expectation of quiet, unfair to other viewers.	No direct betrayal; prioritizes companion over audience.	Ignores theater rules, undermining authority.	No degradation of sacred values involved.	Infringes on others' liberty to enjoy the film.	Disruptive, violates social norms, reduces others' enjoyment.	-1.70666672	test	-1.9165674653025289	-1.8466160297393799
375	Effron	Visited a sick friend in the hospital	orig		4.0	0.0	3.0	0.0	2.0	0.0	4.0	Visiting supports emotional well-being, a clear act of help.	No relevance to fairness or cheating.	Demonstrates loyalty by being present in need.	No challenge or support to authority structures.	Respects dignity; aligns with care for health.	Unrelated to freedom or oppression dynamics.	Compassionate act fulfilling social and emotional duties.	2.28571432	test	1.8765122453480554	2.0223848819732666
376	Clifford	You see a woman refusing to stand when the judge walks into the courtroom.	orig		0.0	0.0	-1.0	-4.0	-3.0	3.0	-2.0	No direct harm or help caused.	Unrelated to fairness or cheating.	Minimal betrayal; loyalty to authority implied.	Defies courtroom authority norms.	Challenges sanctity of judicial tradition.	Asserts personal liberty over enforced compliance.	Defiance of authority outweighs liberty assertion.	-2.0	test	-0.5360315459486376	-1.5187199115753174
